"aa_id"|"school_id"|"course"|"entryyear"|"referral"|"registerdate"|"lastupdate"|"staffid"|"aa_remark"|"result_remark"|"remark_to_school"|"eventdate"|"eventtime"|"enroll_status"|"enroll_sub_status"|"coursedetail"|"s_detail"|"scholarship"|"event"
"S001463"|16|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001463"|573|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Hold"|" "|""|""|0|""
"S000789"|136|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S000637"|6|"Year 9"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S000637"|438|"Year 9"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Withdrawn"|" "|""|""|0|""
"S000599"|6|"Year 9"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001964"|17|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001964"|442|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001991"|113|"Year 12"|"201009"|"N"|"20090817"|"20090817000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001757"|2|"Year 12"|"201009"|"N"|"20090818"|"20090818000000"|""|""|""|""|""|""|"Waiting List"|" "|""|""|0|""
"S001757"|274|"Year 12"|"201009"|"N"|"20090818"|"20090818000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001741"|2|"Year 12"|"201009"|"N"|"20090818"|"20090818000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001434"|11|"Year 12"|"201009"|"N"|"20090818"|"20090818000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001434"|13|"Year 12"|"201009"|"N"|"20090815"|"20090818000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002026"|4|"Year 10"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001747"|3|"Year 12"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S007443"|22|"Year 10"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001963"|381|"Year 12"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001963"|10|"Year 12"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S000686"|582|"Year 9"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S000686"|585|"Year 9"|"201009"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S001624"|598|"Year 9"|"201209"|"N"|"20090819"|"20090819000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001715"|381|"Year 12"|"201009"|"N"|"20090813"|"20090819000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S002019"|2|"Year 10"|"201009"|"N"|"20090820"|"20090820000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002019"|7|"Year 10"|"201009"|"N"|"20090820"|"20090820000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001793"|501|"Year 12"|"201009"|"N"|"20090820"|"20090820000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001379"|61|"Year 10"|"201009"|"N"|"20090821"|"20090821000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001654"|133|"Year 12"|"201009"|"N"|"20090821"|"20090821000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001650"|528|"Year 12"|"201009"|"N"|"20090819"|"20090821000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001705"|22|"Year 9"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001705"|11|"Year 9"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001794"|607|"Year 12"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001794"|180|"Year 12"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S002086"|2|"Year 10"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001489"|442|"Year 12"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002089"|9|""|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002089"|7|"Year 8"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001547"|50|"Year 10"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001547"|61|"Year 10"|"201009"|"N"|"20090822"|"20090822000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001808"|4|"Year 12"|"201009"|"N"|"20090821"|"20090822000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001808"|6|"Year 12"|"201009"|"N"|"20090821"|"20090822000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001747"|345|"Year 12"|"201009"|"N"|"20090819"|"20090822000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S001793"|180|"Year 12"|"201009"|"N"|"20090820"|"20090822000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001793"|607|"Year 12"|"201009"|"N"|"20090820"|"20090822000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S002032"|345|"Year 9"|"201009"|"N"|"20090819"|"20090825000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S001846"|11|"Year 10"|"201009"|"N"|"20090826"|"20090826000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001833"|2|"Year 12"|"201009"|"N"|"20090826"|"20090826000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001489"|17|"Year 12"|"201009"|"N"|"20090822"|"20090826000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001847"|2|"Year 12"|"201009"|"N"|"20090827"|"20090827000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001847"|442|"Year 12"|"201009"|"N"|"20090828"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001847"|103|"Year 12"|"201009"|"N"|"20090828"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002165"|15|"Year 7"|"201009"|"N"|"20090828"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001946"|154|"Year 9"|"201009"|"N"|"20090828"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001946"|4|"Year 9"|"201009"|"N"|"20090828"|"20090828000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001438"|12|"Year 9"|"201109"|"N"|"20090820"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001438"|4|"Year 9"|"201109"|"N"|"20090820"|"20090828000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S002113"|598|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002113"|582|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002113"|4|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002113"|7|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001730"|345|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001730"|58|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001827"|20|"Year 12"|"201009"|"N"|"20090829"|"20090829000000"|""|"interview to be arranged in Oct expo"|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001984"|394|"Year 8"|"201001"|"N"|"20090901"|"20090901000000"|""|""|""|""|""|""|"DEPOSITED"|" "|""|""|0|""
"S002056"|154|"Year 10"|"201009"|"N"|"20090901"|"20090901000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001663"|12|"Year 12"|"201009"|"N"|"20090901"|"20090901000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002234"|1|"Year 12"|"200909"|"N"|"20090901"|"20090901000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002234"|12|"Year 12"|"200909"|"N"|"20090901"|"20090901000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001457"|11|"Year 12"|"201009"|"N"|"20090815"|"20090901000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001753"|154|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002216"|6|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002216"|4|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001565"|11|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001706"|130|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001706"|15|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001706"|400|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001706"|381|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002044"|411|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002044"|138|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002273"|12|"Year 9"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001723"|185|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001723"|380|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001723"|257|"Year 12"|"201009"|"N"|"20090902"|"20090902000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001897"|130|"Year 12"|"201009"|"N"|"20090901"|"20090902000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001641"|431|"Year 10"|"201009"|"N"|"20090903"|"20090903000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S002245"|431|"Year 9"|"201009"|"N"|"20090903"|"20090903000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S007443"|11|"Year 10"|"201009"|"N"|"20090903"|"20090903000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001733"|304|"Year 10"|"200909"|"N"|"20090828"|"20090903000000"|""|""|""|""|""|""|"DEPOSITED"|" "|""|""|0|""
"S001747"|381|"Year 12"|"201009"|"N"|"20090903"|"20090904000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002216"|274|"Year 12"|"201009"|"N"|"20090904"|"20090904000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002216"|323|"Year 12"|"201009"|"N"|"20090904"|"20090904000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002336"|4|"Year 12"|"201009"|"N"|"20090904"|"20090904000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001954"|130|"Year 12"|"201009"|"N"|"20090902"|"20090904000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002009"|528|"Year 12"|"201009"|"N"|"20090826"|"20090904000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S002195"|4|"Year 12"|"201009"|"N"|"20090905"|"20090905000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002134"|3|"Year 12"|"201009"|"N"|"20090827"|"20090905000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002134"|13|"Year 12"|"201009"|"N"|"20090827"|"20090905000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001829"|345|"Year 12"|"201009"|"N"|"20090907"|"20090907000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002259"|605|""|"201009"|"N"|"20090907"|"20090907000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002259"|62|""|"201009"|"N"|"20090907"|"20090907000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002277"|345|"Year 12"|"201009"|"N"|"20090902"|"20090907000000"|""|""|""|""|""|""|"FULL"|" "|""|""|0|""
"S001753"|345|"Year 12"|"201009"|"N"|"20090902"|"20090907000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002244"|500|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002244"|21|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001940"|9|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001940"|22|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001940"|2|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001940"|7|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001692"|130|"Year 9"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002195"|154|"Year 12"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001516"|506|"Year 9"|"201009"|"N"|"20090908"|"20090908000000"|""|""|""|""|""|""|"Awaiting Offer"|" "|""|""|0|""
"S001565"|345|"Year 12"|"201009"|"N"|"20090902"|"20090908000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002124"|13|"Year 12"|"201009"|"N"|"20090828"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002124"|22|"Year 12"|"201009"|"N"|"20090828"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002124"|11|"Year 12"|"201009"|"N"|"20090828"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002124"|3|"Year 12"|"201009"|"N"|"20090828"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001547"|130|"Year 10"|"201009"|"N"|"20090819"|"20090908000000"|""|""|""|""|""|""|"DEPOSITED"|" "|""|""|0|""
"S000789"|3|"Year 12"|"201009"|"N"|"20090815"|"20090908000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002163"|22|"Year 12"|"201009"|"N"|"20090909"|"20090909000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002244"|2|"Year 12"|"201009"|"N"|"20090908"|"20090909000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001404"|345|"Year 12"|"201009"|"N"|"20090909"|"20090909000000"|""|"closed application"|""|""|""|""|"FULL"|" "|""|""|0|""
"S002189"|381|"Year 10"|"201009"|"N"|"20090908"|"20090909000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S001833"|15|"Year 12"|"201009"|"N"|"20090826"|"20090909000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001833"|381|"Year 12"|"201009"|"N"|"20090826"|"20090909000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001747"|11|"Year 12"|"201009"|"N"|"20090909"|"20090909000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002094"|9|""|"201009"|"N"|"20090910"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002094"|2|""|"201009"|"N"|"20090910"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001747"|211|"Year 12"|"201009"|"N"|"20090910"|"20090910000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001430"|7|"Year 9"|"201009"|"N"|"20090910"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001218"|6|"Year 9"|"201009"|"N"|"20090910"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001995"|4|"Year 9"|"201009"|"N"|"20090910"|"20090910000000"|""|"not interested after sch visit"|""|""|""|""|"TNFA"|" "|""|""|0|""
"S002359"|12|"Year 12"|"201009"|"N"|"20090905"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002205"|12|"Year 12"|"201009"|"N"|"20090901"|"20090910000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002237"|12|"Year 10"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002094"|36|""|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S002405"|7|"Year 9"|"201001"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002126"|10|"Year 10"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001833"|211|""|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S001684"|61|"Year 12"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001597"|103|"Year 12"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002007"|501|"Year 12"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
"S002112"|10|"Year 10"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002237"|6|"Year 10"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002237"|11|"Year 10"|"201009"|"N"|"20090911"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S002056"|12|"Year 10"|"201009"|"N"|"20090901"|"20090911000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001952"|431|"Year 9"|"201009"|"N"|"20090819"|"20090911000000"|""|"sit exam in the UK"|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S001921"|345|"Year 9"|"201009"|"N"|"20090912"|"20090912000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002039"|442|"Year 12"|"201009"|"N"|"20090909"|"20090912000000"|""|"awt predicted CE grades"|""|""|""|""|"Waiting List"|" "|""|""|0|""
"S001632"|61|"Year 12"|"201009"|"N"|"20090829"|"20090912000000"|""|""|""|""|""|""|"Cannot Proceed"|" "|""|""|0|""
"S001379"|257|"Year 10"|"201009"|"N"|"20090821"|"20090912000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S001379"|504|"Year 10"|"201009"|"N"|"20090821"|"20090912000000"|""|"testing in Autumn term"|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S001929"|454|"Year 9"|"201009"|"N"|"20090913"|"20090913000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001758"|454|"Year 12"|"201009"|"N"|"20090913"|"20090913000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002453"|6|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002453"|4|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002453"|12|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002182"|462|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002009"|462|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002238"|381|"Year 10"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002238"|211|"Year 10"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S002332"|6|"Year 9"|"201009"|"Y"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S002319"|394|"Year 9"|"201109"|"N"|"20090914"|"20090914000000"|""|"May Expo"|""|""|""|""|"Hold"|" "|""|""|0|""
"S001697"|462|"Year 12"|"201009"|"N"|"20090914"|"20090914000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001602"|345|"Year 12"|"201009"|"N"|"20090901"|"20090914000000"|""|"1.9.09: e info to school"|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001144"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001447"|6|"Year 12"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S000582"|468|"Year 12"|"201009"|"N"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Awaiting Testing"|" "|""|""|0|""
"S000605"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S000600"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Awaiting Offer"|" "|""|""|0|""
"S000602"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S000603"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S000604"|6|"Year 9"|"201009"|"Y"|"20090815"|"20090914000000"|""|""|""|""|""|""|"TNFA"|" "|""|""|0|""
"S001603"|130|"Year 12"|"201009"|"N"|"20090915"|"20090915000000"|""|""|""|""|""|""|"Rejected"|" "|""|""|0|""
"S001603"|17|"Year 12"|"201009"|"N"|"20090915"|"20090915000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S001603"|154|"Year 12"|"201009"|"N"|"20090915"|"20090915000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S002398"|12|""|"201009"|"N"|"20090915"|"20090915000000"|""|""|""|""|""|""|"Awaiting Interview (WL)"|" "|""|""|0|""
"S002182"|102|"Year 12"|"201009"|"N"|"20090914"|"20090915000000"|""|""|""|""|""|""|"Proceed"|" "|""|""|0|""
