"aa_id"|"exam"|"results"|"maxscore"|"lastupdate"|"staffid"|"remarks"|"course"
"S030312"|"AA Test Maths"|"92"|"100"|"20130903180522"|"AA00038"|""|"Year 11"
"S045270"|"AA Test Eng"|"78"|"100"|"20250308143918"|"AA00011"|"A"|"Year 12"
"S045270"|"AA Test Maths"|"60"|"100"|"20250308143936"|"AA00011"|"A"|"Year 12"
"S008413"|"AA Test Maths"|"81"|"100"|"20130904150339"|"AA00038"|""|"Year 12"
"S011617"|"AA Test Maths"|"88"|"100"|"20130904161009"|"AA00038"|""|"Year 12"
"S006750"|"AA Test Maths"|"92"|"100"|"20140801123047"|"AA00011"|""|"Year 12"
"S043691"|"AA Test Eng"|"94"|"100"|"20240628131325"|"AA00107"|"B"|"Year 7"
"S030300"|"AA Test Maths"|"65"|"100"|"20130831152744"|"AA00011"|""|"Year 9"
"S043985"|"AA Test Eng"|"94"|"100"|"20240628165548"|"AA00107"|"A"|"Year 11"
"S044557"|"AA Test Eng"|"92"|"100"|"20240628165718"|"AA00011"|"B"|"Year 7"
"S031566"|"AA Test Maths"|"84"|"100"|"20140607115217"|"AA00011"|""|"Year 9"
"S011372"|"AA Test Maths"|"88"|"100"|"20130831155046"|"AA00038"|""|"Year 12"
"S012523"|"AA Test Maths"|"94"|"100"|"20130831160224"|"AA00038"|""|"Year 8"
"S044699"|"AA Test Eng"|"90"|"100"|"20240629104534"|"AA00011"|"B"|"Year 7"
"S044795"|"AA Test Eng"|"94"|"100"|"20240705102413"|"AA00107"|"A"|"Year 9"
"S030301"|"AA Test Maths"|"50"|"100"|"20130831162542"|"AA00038"|""|"Year 12"
"S008250"|"AA Test Maths"|"65"|"100"|"20130831162553"|"AA00025"|""|"Year 12"
"S011272"|"AA Test Maths"|"38"|"100"|"20130831162624"|"AA00038"|""|"Year 12"
"S044783"|"AA Test Eng"|"92"|"100"|"20240629120650"|"AA00078"|"B"|"Year 7"
"S030276"|"AA Test Maths"|"92"|"100"|"20130831163138"|"AA00038"|""|"Year 12"
"S043956"|"AA Test Eng"|"92"|"100"|"20240629120720"|"AA00011"|"A"|"Year 7"
"S030302"|"AA Test Maths"|"65"|"100"|"20130831163200"|"AA00011"|""|"Year 12"
"S044883"|"AA Test Eng"|"98"|"100"|"20240706150703"|"AA00107"|"A"|"Year 11"
"S033268"|"AA Test Maths"|"85"|"100"|"20150714175752"|"AA00044"|""|"Year 11"
"S043216"|"AA Test Eng"|"92"|"100"|"20240629141522"|"AA00011"|"B"|"Year 9"
"S030304"|"AA Test Maths"|"94"|"100"|"20130831173212"|"AA00011"|""|"Year 9"
"S043979"|"AA Test Eng"|"88"|"100"|"20240706170327"|"AA00011"|"B"|"Year 9"
"S012012"|"AA Test Maths"|"93"|"100"|"20130831175240"|"AA00038"|""|"Year 10"
"S044798"|"AA Test Maths"|"68"|"100"|"20241116120251"|"AA00107"|"B"|"Year 12"
"S044816"|"AA Test Eng"|"90"|"100"|"20240629153048"|"AA00011"|"B"|"Year 7"
"S011141"|"AA Test Maths"|"92"|"100"|"20130831110008"|"AA00011"|""|"Year 12"
"S043070"|"AA Test Eng"|"88"|"100"|"20240629154918"|"AA00011"|"A"|"Year 8"
"S009100"|"AA Test Maths"|"97"|"100"|"20130831111828"|"AA00038"|""|"Year 9"
"S012514"|"AA Test Maths"|"94"|"100"|"20130831111928"|"AA00011"|""|"Year 9"
"S007757"|"AA Test Maths"|"85"|"100"|"20130831113231"|"AA00011"|""|"Year 12"
"S044758"|"AA Test Eng"|"78"|"100"|"20240629161309"|"AA00011"|"B"|"Year 7"
"S044631"|"AA Test Eng"|"94"|"100"|"20240629163707"|"AA00107"|"B"|"Year 7"
"S030289"|"AA Test Maths"|"89"|"100"|"20130831113823"|"AA00011"|""|"Year 10"
"S044861"|"AA Test Eng"|"76"|"100"|"20240716130641"|"AA00107"|"A"|"Year 7"
"S012469"|"AA Test Maths"|"86"|"100"|"20130831114633"|"AA00038"|""|"Year 10"
"S030291"|"AA Test Maths"|"50"|"100"|"20130831115522"|"AA00025"|""|"Year 10"
"S033587"|"AA Test Maths"|"56"|"100"|"20151024124006"|"30012"|""|"Year 7"
"S041664"|"AA Test Eng"|"90"|"100"|"20240709164840"|"AA00107"|"A"|"Year 12"
"S012471"|"AA Test Maths"|"61"|"100"|"20130831120115"|"AA00011"|""|"Year 10"
"S012595"|"AA Test Maths"|"92"|"100"|"20130831121322"|"AA00011"|""|"Year 12"
"S012655"|"AA Test Maths"|"92"|"100"|"20130831121355"|"AA00025"|""|"Year 12"
"S044307"|"AA Test Eng"|"96"|"100"|"20240717151447"|"AA00011"|"B"|"Year 10"
"S008279"|"AA Test Maths"|"90"|"100"|"20130831121505"|"AA00038"|""|"Year 9"
"S030243"|"AA Test Maths"|"84"|"100"|"20130831122230"|"AA00038"|""|"Year 9"
"S012582"|"AA Test Maths"|"79"|"100"|"20130831122238"|"AA00011"|""|"Year 10"
"S043325"|"AA Test Eng"|"90"|"100"|"20240712114148"|"AA00097"|"A"|"Year 10"
"S044806"|"AA Test Eng"|"86"|"100"|"20240713120425"|"AA00011"|"B"|"Year 7"
"S007241"|"AA Test Maths"|"77"|"100"|"20130831123558"|"AA00038"|""|"Year 9"
"S040910"|"AA Test Eng"|"92"|"100"|"20240712121146"|"AA00097"|"A"|"Year 12"
"S030220"|"AA Test Maths"|"94"|"100"|"20130831124309"|"AA00011"|""|"Year 9"
"S012525"|"AA Test Maths"|"65"|"100"|"20130831134249"|"AA00011"|""|"Year 12"
"S044047"|"AA Test Eng"|"90"|"100"|"20240712144424"|"AA00011"|"B"|"Year 7"
"S030296"|"AA Test Maths"|"88"|"100"|"20130831141946"|"AA00040"|""|"Year 12"
"S030295"|"AA Test Maths"|"64"|"100"|"20130831143008"|"AA00040"|""|"Year 10"
"S044809"|"AA Test Eng"|"88"|"100"|"20240712171019"|"AA00088"|"B"|"Year 7"
"S012616"|"AA Test Maths"|"94"|"100"|"20130829175020"|"AA00011"|""|"Year 9"
"S044398"|"AA Test Eng"|"88"|"100"|"20241116122434"|"AA00107"|"B"|"Year 8"
"S044398"|"AA Test Maths"|"24"|"100"|"20241116122450"|"AA00107"|"B"|"Year 8"
"S036028"|"AA Test Eng"|"92"|"100"|"20240718132951"|"AA00078"|"A"|"Year 12"
"S041832"|"AA Test Eng"|"94"|"100"|"20240718174343"|"AA00011"|"B"|"Year 12"
"S012539"|"AA Test Maths"|"100"|"100"|"20130830113221"|"AA00038"|""|"Year 9"
"S042007"|"AA Test Eng"|"96"|"100"|"20240719114158"|"AA00107"|"A"|"Year 10"
"S012537"|"AA Test Maths"|"89"|"100"|"20130830113330"|"AA00038"|""|"Year 10"
"S030271"|"AA Test Maths"|"89"|"100"|"20130830115605"|"AA00038"|""|"Year 10"
"S043802"|"AA Test Eng"|"84"|"100"|"20240719121326"|"AA00107"|"A"|"Year 10"
"S030280"|"AA Test Maths"|"65"|"100"|"20130830122846"|"AA00011"|""|"Year 12"
"S007705"|"AA Test Maths"|"84"|"100"|"20130830122856"|"AA00038"|""|"Year 9"
"S030281"|"AA Test Maths"|"85"|"100"|"20130830123645"|"AA00011"|""|"Year 12"
"S044434"|"AA Test Eng"|"90"|"100"|"20240720120443"|"AA00011"|"A"|"Year 11"
"S009432"|"AA Test Maths"|"94"|"100"|"20130830150232"|"AA00011"|""|"Year 9"
"S043714"|"AA Test Eng"|"92"|"100"|"20240720182922"|"AA00011"|"A"|"Year 12"
"S032163"|"AA Test Maths"|"84"|"100"|"20141020141504"|"AA00011"|""|"Year 9"
"S030285"|"AA Test Maths"|"87"|"100"|"20130830170626"|"AA00011"|""|"Year 9"
"S044617"|"AA Test Eng"|"80"|"100"|"20240619104427"|"AA00011"|"B"|"Year 7"
"S032348"|"AA Test Maths"|"18"|"100"|"20141026184724"|"30012"|""|"Year 10"
"S030287"|"AA Test Maths"|"84"|"100"|"20130830172902"|"AA00011"|""|"Year 9"
"S044823"|"AA Test Eng"|"78"|"100"|"20240619165404"|"AA00078"|"A"|"Year 8"
"S012602"|"AA Test Maths"|"90"|"100"|"20130830175439"|"AA00011"|""|"Year 9"
"S030198"|"AA Test Maths"|"94"|"100"|"20130830175515"|"AA00011"|""|"Year 9"
"S044369"|"AA Test Eng"|"88"|"100"|"20240620112044"|"AA00107"|"A"|"Year 7"
"S044830"|"AA Test Eng"|"80"|"100"|"20240620114738"|"AA00107"|"A"|"Year 8"
"S043810"|"AA Test Eng"|"94"|"100"|"20240620121333"|"AA00107"|"A"|"Year 8"
"S012513"|"AA Test Maths"|"94"|"100"|"20130831105414"|"AA00025"|""|"Year 9"
"S044828"|"AA Test Eng"|"82"|"100"|"20240620145610"|"AA00107"|"A"|"Year 12"
"S012632"|"AA Test Maths"|"85"|"100"|"20130828155553"|"AA00011"|""|"Year 12"
"S030224"|"AA Test Maths"|"88"|"100"|"20130828160006"|"AA00038"|""|"Year 12"
"S044360"|"AA Test Eng"|"88"|"100"|"20240620153423"|"AA00011"|"A"|"Year 7"
"S030270"|"AA Test Maths"|"66"|"100"|"20130828160345"|"AA00038"|""|"Year 7"
"S030348"|"AA Test Maths"|"93"|"100"|"20130912152628"|"AA00011"|""|"Year 10"
"S030326"|"AA Test Maths"|"n/a"|"100"|"20130920163004"|"AA00007"|""|"Year 12"
"S045171"|"AA Test Eng"|"82"|"100"|"20241116140508"|"AA00011"|"A"|"Year 12"
"S005458"|"AA Test Maths"|"60"|"100"|"20130829103509"|"AA00019"|""|"Year 12"
"S030273"|"AA Test Maths"|"36"|"100"|"20130829113516"|"AA00025"|""|"Year 10"
"S044124"|"AA Test Eng"|"92"|"100"|"20240621111702"|"AA00107"|"A"|"Year 8"
"S012501"|"AA Test Maths"|"90"|"100"|"20130829113552"|"AA00011"|""|"Year 9"
"S030272"|"AA Test Maths"|"86"|"100"|"20130829114545"|"AA00011"|""|"Year 10"
"S044832"|"AA Test Eng"|"54"|"100"|"20240621132305"|"AA00084"|"A"|"Year 10"
"S041407"|"AA Test Eng"|"92"|"100"|"20240708170730"|"AA00011"|"A"|"Year 12"
"S044412"|"AA Test Eng"|"90"|"100"|"20240622175418"|"AA00107"|"B"|"Year 7"
"S012357"|"AA Test Maths"|"79"|"100"|"20130829135248"|"AA00011"|""|"Year 10"
"S044758"|"AA Test Eng"|"84"|"100"|"20240622182009"|"AA00107"|"A"|"Year 7"
"S012417"|"AA Test Maths"|"90"|"100"|"20130829144002"|"AA00011"|""|"Year 9"
"S044781"|"AA Test Eng"|"88"|"100"|"20240622182028"|"AA00011"|"A"|"Year 7"
"S030216"|"AA Test Maths"|"88"|"100"|"20130829145937"|"AA00011"|""|"Year 12"
"S030274"|"AA Test Maths"|"88"|"100"|"20130829150559"|"AA00011"|""|"Year 11"
"S044627"|"AA Test Eng"|"82"|"100"|"20240622182708"|"AA00107"|"A"|"Year 7"
"S044712"|"AA Test Eng"|"92"|"100"|"20240622182726"|"AA00011"|"A"|"Year 12"
"S032829"|"AA Test Maths"|"81"|"100"|"20150314161017"|"AA00044"|""|"Year 9"
"S030386"|"AA Test Maths"|"52"|"100"|"20130914141350"|"AA00025"|""|"Year 9"
"S044223"|"AA Test Eng"|"82"|"100"|"20240622182826"|"AA00107"|"A"|"Year 9"
"S044559"|"AA Test Eng"|"90"|"100"|"20240622182933"|"AA00107"|"A"|"Year 7"
"S030168"|"AA Test Maths"|"48"|"100"|"20130829160730"|"AA00011"|""|"Year 9"
"S012078"|"AA Test Maths"|"25"|"100"|"20140920112232"|"AA00011"|""|"Year 7"
"S030215"|"AA Test Maths"|"88"|"100"|"20130829163354"|"AA00011"|""|"Year 12"
"S007123"|"AA Test Maths"|"58"|"100"|"20130829171032"|"AA00011"|""|"Year 12"
"S044743"|"AA Test Eng"|"90"|"100"|"20240710151156"|"AA00078"|"B"|"Year 7"
"S008464"|"AA Test Maths"|"64"|"100"|"20130829172612"|"AA00011"|""|"Year 10"
"S042377"|"AA Test Eng"|"92"|"100"|"20240710171020"|"AA00011"|"A"|"Year 9"
"S012580"|"AA Test Maths"|"90"|"100"|"20130826184755"|"AA00003"|""|"Year 9"
"S044398"|"AA Test Eng"|"92"|"100"|"20240711113337"|"AA00011"|"A"|"Year 8"
"S012573"|"AA Test Maths"|"97"|"100"|"20130826185027"|"AA00003"|""|"Year 9"
"S012561"|"AA Test Maths"|"87"|"100"|"20130827103658"|"AA00040"|""|"Year 9"
"S012256"|"AA Test Maths"|"94"|"100"|"20140607120005"|"AA00011"|""|"Year 9"
"S043274"|"AA Test Eng"|"90"|"100"|"20240711114356"|"AA00011"|"B"|"Year 7"
"S043928"|"AA Test Eng"|"98"|"100"|"20240711123119"|"AA00011"|"A"|"Year 12"
"S012312"|"AA Test Maths"|"57"|"100"|"20130827111417"|"AA00038"|""|"Year 10"
"S030990"|"AA Test Maths"|"54"|"100"|"20140115150722"|"AA00038"|""|"Year 12"
"S043926"|"AA Test Eng"|"86"|"100"|"20240711154332"|"AA00011"|"A"|"Year 8"
"S008928"|"AA Test Maths"|"31"|"100"|"20130827121503"|"AA00038"|""|"Year 12"
"S044898"|"AA Test Eng"|"74"|"100"|"20240711154607"|"AA00097"|"A"|"Year 10"
"S009671"|"AA Test Maths"|"35"|"100"|"20130827141333"|"AA00025"|""|"Year 12"
"S009210"|"AA Test Maths"|"100"|"100"|"20140627162221"|"AA00011"|""|"Year 9"
"S031680"|"AA Test Maths"|"50"|"100"|"20140708115343"|"AA00040"|""|"Year 12"
"S009348"|"AA Test Maths"|"69"|"100"|"20130827142156"|"AA00025"|""|"Year 12"
"S040319"|"AA Test Eng"|"84"|"100"|"20240711155854"|"AA00011"|"A"|"Year 12"
"S030266"|"AA Test Maths"|"97"|"100"|"20130827151530"|"AA00038"|""|"Year 9"
"S012532"|"AA Test Maths"|"100"|"100"|"20130827153804"|"AA00038"|""|"Year 9"
"S012481"|"AA Test Maths"|"97"|"100"|"20130827154741"|"AA00038"|""|"Year 12"
"S012641"|"AA Test Maths"|"27"|"100"|"20130827155542"|"AA00040"|""|"Year 11"
"S009448"|"AA Test Maths"|"100"|"100"|"20130827160859"|"AA00038"|""|"Year 12"
"S044829"|"AA Test Eng"|"96"|"100"|"20240713095759"|"AA00011"|"B"|"Year 7"
"S030205"|"AA Test Maths"|"93"|"100"|"20130827165623"|"AA00038"|""|"Year 10"
"S044835"|"AA Test Eng"|"88"|"100"|"20240624160122"|"AA00011"|"A"|"Year 12"
"S044819"|"AA Test Eng"|"94"|"100"|"20240624171929"|"AA00011"|"B"|"Year 7"
"S030267"|"AA Test Maths"|"88"|"100"|"20130827173317"|"AA00025"|""|"Year 12"
"S030358"|"AA Test Maths"|"92"|"100"|"20130912160515"|"AA00025"|""|"Year 12"
"S012639"|"AA Test Maths"|"81"|"100"|"20130828111332"|"AA00038"|""|"Year 12"
"S030349"|"AA Test Maths"|"NA"|"100"|"20130919121510"|"AA00002"|""|"Year 12"
"S044265"|"AA Test Eng"|"92"|"100"|"20240624195349"|"AA00115"|"B"|"Year 7"
"S044241"|"AA Test Eng"|"92"|"100"|"20240625151804"|"AA00107"|"A"|"Year 7"
"S012587"|"AA Test Maths"|"81"|"100"|"20130828114556"|"AA00011"|""|"Year 12"
"S044093"|"AA Test Eng"|"92"|"100"|"20240625155411"|"AA00107"|"A"|"Year 8"
"S030222"|"AA Test Maths"|"90"|"100"|"20130828132721"|"AA00038"|""|"Year 9"
"S042802"|"AA Test Eng"|"90"|"100"|"20240625180901"|"AA00107"|"A"|"Year 12"
"S030213"|"AA Test Maths"|"88"|"100"|"20130828140600"|"AA00025"|""|"Year 12"
"S043726"|"AA Test Eng"|"90"|"100"|"20240626144043"|"AA00011"|"A"|"Year 12"
"S012553"|"AA Test Maths"|"84"|"100"|"20130828142301"|"AA00011"|""|"Year 9"
"S030221"|"AA Test Maths"|"93"|"100"|"20130828142958"|"AA00011"|""|"Year 10"
"S044834"|"AA Test Eng"|"78"|"100"|"20240627145538"|"AA00107"|"A"|"Year 12"
"S044649"|"AA Test Eng"|"90"|"100"|"20240627164815"|"AA00011"|"B"|"Year 7"
"S044501"|"AA Test Eng"|"94"|"100"|"20240528144745"|"AA00107"|"B"|"Year 9"
"S044773"|"AA Test Eng"|"84"|"100"|"20240529160044"|"AA00011"|"A"|"Year 7"
"S044765"|"AA Test Eng"|"82"|"100"|"20240529172243"|"AA00011"|"A"|"Year 8"
"S030244"|"AA Test Maths"|"38"|"100"|"20130824153246"|"AA00038"|""|"Year 12"
"S044689"|"AA Test Eng"|"86"|"100"|"20240529181732"|"AA00011"|"A"|"Year 9"
"S044709"|"AA Test Eng"|"88"|"100"|"20240704121923"|"AA00107"|"B"|"Year 7"
"S044720"|"AA Test Eng"|"86"|"100"|"20240530174300"|"AA00011"|"A"|"Year 7"
"S030195"|"AA Test Maths"|"79"|"100"|"20130824155247"|"AA00038"|""|"Year 10"
"S012366"|"AA Test Maths"|"54"|"100"|"20130824163702"|"AA00011"|""|"Year 12"
"S012353"|"AA Test Maths"|"100"|"100"|"20130824164159"|"AA00011"|""|"Year 9"
"S044808"|"AA Test Eng"|"90"|"100"|"20240617142916"|"AA00107"|"A"|"Year 7"
"S030246"|"AA Test Maths"|"58"|"100"|"20130824164729"|"AA00011"|""|"Year 12"
"S044529"|"AA Test Eng"|"96"|"100"|"20240601120818"|"AA00078"|"A"|"Year 7"
"S044237"|"AA Test Eng"|"90"|"100"|"20240601122737"|"AA00078"|"A"|"Year 7"
"S010878"|"AA Test Maths"|"92"|"100"|"20130824170631"|"AA00011"|""|"Year 12"
"S030247"|"AA Test Maths"|"65"|"100"|"20130824171354"|"AA00011"|""|"Year 12"
"S010012"|"AA Test Maths"|"100"|"100"|"20130824172239"|"AA00038"|""|"Year 12"
"S045169"|"AA Test Eng"|"56"|"100"|"20241116153553"|"AA00107"|"A"|"Year 10"
"S044879"|"AA Test Eng"|"84"|"100"|"20240706113145"|"AA00011"|"A"|"Year 12"
"S011027"|"AA Test Maths"|"81"|"100"|"20130826111816"|"AA00038"|""|"Year 12"
"S044656"|"AA Test Eng"|"78"|"100"|"20240601145018"|"AA00078"|"A"|"Year 7"
"S030252"|"AA Test Maths"|"42"|"100"|"20130826112936"|"AA00011"|""|"Year 11"
"S044655"|"AA Test Eng"|"88"|"100"|"20240601150259"|"AA00078"|"A"|"Year 7"
"S030253"|"AA Test Maths"|"40"|"100"|"20130826115026"|"AA00038"|""|"Year 10"
"S030251"|"AA Test Maths"|"65"|"100"|"20130826120121"|"AA00038"|""|"Year 12"
"S044723"|"AA Test Eng"|"90"|"100"|"20240601151900"|"AA00011"|"A"|"Year 7"
"S044691"|"AA Test Eng"|"86"|"100"|"20240601155629"|"AA00011"|"A"|"Year 7"
"S012570"|"AA Test Maths"|"85"|"100"|"20130826140557"|"AA00011"|""|"Year 12"
"S038632"|"AA Test Eng"|"90"|"100"|"20240601170623"|"AA00011"|"B"|"Year 12"
"S044775"|"AA Test Eng"|"86"|"100"|"20240601172548"|"AA00107"|"A"|"Year 12"
"S030257"|"AA Test Maths"|"79"|"100"|"20130826143732"|"AA00011"|""|"Year 10"
"S044643"|"AA Test Eng"|"76"|"100"|"20240601172626"|"AA00011"|"B"|"Year 11"
"S010234"|"AA Test Maths"|"100"|"100"|"20130826145717"|"AA00038"|""|"Year 12"
"S044718"|"AA Test Eng"|"86"|"100"|"20240601175302"|"AA00107"|"A"|"Year 7"
"S030255"|"AA Test Maths"|"86"|"100"|"20130826150214"|"AA00038"|""|"Year 10"
"S030390"|"AA Test Maths"|"93"|"100"|"20130914144314"|"AA00025"|""|"Year 10"
"S044730"|"AA Test Eng"|"94"|"100"|"20240608114359"|"AA00078"|"A"|"Year 9"
"S030256"|"AA Test Maths"|"96"|"100"|"20130826154145"|"AA00011"|""|"Year 12"
"S012559"|"AA Test Maths"|"97"|"100"|"20130826184552"|"AA00003"|""|"Year 9"
"S043709"|"AA Test Eng"|"88"|"100"|"20240608155843"|"AA00011"|"A"|"Year 8"
"S012574"|"AA Test Maths"|"97"|"100"|"20130826184642"|"AA00003"|""|"Year 9"
"S043519"|"AA Test Eng"|"74"|"100"|"20240608175039"|"AA00011"|"A"|"Year 7"
"S044798"|"AA Test Eng"|"90"|"100"|"20240611142929"|"AA00107"|"A"|"Year 12"
"S030230"|"AA Test Maths"|"92"|"100"|"20130823110959"|"AA00038"|""|"Year 12"
"S044784"|"AA Test Eng"|"90"|"100"|"20240611144714"|"AA00107"|"A"|"Year 7"
"S012357"|"AA Test Maths"|"79"|"100"|"20130823111739"|"AA00025"|""|"Year 10"
"S044802"|"AA Test Eng"|"94"|"100"|"20240611182416"|"AA00107"|"A"|"Year 7"
"S012465"|"AA Test Maths"|"96"|"100"|"20130823124347"|"AA00027"|""|"Year 12"
"S044804"|"AA Test Eng"|"94"|"100"|"20240612124953"|"AA00078"|"A"|"Year 10"
"S044805"|"AA Test Eng"|"86"|"100"|"20240612125641"|"AA00078"|"A"|"Year 12"
"S011152"|"AA Test Maths"|"96"|"100"|"20130823140522"|"AA00025"|""|"Year 10"
"S010986"|"AA Test Maths"|"81"|"100"|"20130823142857"|"AA00025"|""|"Year 12"
"S030344"|"AA Test Maths"|"77"|"100"|"20130914170617"|"AA00025"|""|"Year 12"
"S044303"|"AA Test Eng"|"92"|"100"|"20240613153553"|"AA00011"|"A"|"Year 7"
"S030236"|"AA Test Maths"|"88"|"100"|"20130823153747"|"AA00025"|""|"Year 12"
"S044906"|"AA Test Eng"|"94"|"100"|"20240716114721"|"AA00107"|"A"|"Year 8"
"S012493"|"AA Test Maths"|"62"|"100"|"20130823155758"|"AA00038"|""|"Year 12"
"S010026"|"AA Test Maths"|"97"|"100"|"20130823163738"|"AA00011"|""|"Year 9"
"S012620"|"AA Test Maths"|"69"|"100"|"20130823165755"|"AA00038"|""|"Year 12"
"S045169"|"AA Test Maths"|"64"|"100"|"20241116153602"|"AA00107"|"A"|"Year 10"
"S006237"|"AA Test Maths"|"75"|"100"|"20130823171119"|"AA00019"|""|"Year 10"
"S044810"|"AA Test Eng"|"62"|"100"|"20240614174748"|"AA00078"|"A"|"Year 12"
"S008373"|"AA Test Maths"|"81"|"100"|"20130823184637"|"AA00011"|""|"Year 12"
"S012622"|"AA Test Maths"|"100"|"100"|"20130823210040"|"AA00019"|""|"Year 12"
"S044006"|"AA Test Eng"|"88"|"100"|"20240615120916"|"AA00011"|"A"|"Year 12"
"S030163"|"AA Test Maths"|"84"|"100"|"20130824111312"|"AA00011"|""|"Year 7"
"S009425"|"AA Test Maths"|"64"|"100"|"20130919134605"|"AA00019"|""|"Year 10"
"S012197"|"AA Test Maths"|"85"|"100"|"20130824112648"|"AA00038"|""|"Year 12"
"S044908"|"AA Test Eng"|"92"|"100"|"20240717114836"|"AA00011"|"A"|"Year 11"
"S009448"|"AA Test Maths"|"77"|"100"|"20130824115127"|"AA00011"|""|"Year 12"
"S006434"|"AA Test Maths"|"50"|"100"|"20130824120429"|"AA00011"|""|"Year 12"
"S012194"|"AA Test Maths"|"58"|"100"|"20130824120810"|"AA00038"|""|"Year 9"
"S044778"|"AA Test Eng"|"92"|"100"|"20240615144611"|"AA00107"|"A"|"Year 10"
"S044736"|"AA Test Eng"|"74"|"100"|"20240615151358"|"AA00011"|"A"|"Year 7"
