"event_id"|"eventname"|"eventstartdate"|"eventenddate"|"eventlocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
13|"Giggleswick School Seminar (3 Mar 2017)"|"20170303"|"20170303"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20170217110724"|"AA00070"|"*N/A"
14|"Pre-Departure Briefing 2017"|"20170715"|"20170715"|"Theatre 1, 1/F, Hong Kong Convention and Exhibition Centre (Old Wing), 1 Harbour Road, Wanchai, Hong Kong
香港 灣仔 港灣道1號 會議展覽中心舊翼1樓 演講廳1"|"200000"|"220000"|120|"20170313105524"|"AA00070"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the HKCEC Theatre 1. 
所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of HKCEC Theatre 1. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the HKCEC Theatre 1. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the HKCEC Theatre 1 if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 
主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。"
20|"Sevenoaks School Seminar"|"20180413"|"20180413"|"6/F Recital Theatre, Congregation House, 
119 Leighton Road, Causeway Bay, Hong Kong.
香港銅鑼灣禮頓道119號
公理堂大樓6樓 演奏廳"|"190000"|"210000"|120|"20180214152959"|"AA00079"|"Tentative Rundown:

                19:00     Lorna Dolan welcomes people and introduces the school
                19:10     Chris Dyer talks about the music department and introduces musicians
                19:15     Concert, 1st half
                19:35     Student talk/interviews
                20:00     Concert, 2nd half
                20:15     Staff and students mill around with audience
                20:45     Pack up
                21:00     Exit (though the milling around could take longer, I suppose)"
18|"Quest Guardians Seminar (17 March 2018)"|"20180317"|"20180317"|"Auditorium, 1/F, Duke of Windsor Social Service Building,15 Hennessy Road, Wan Chai, Hong Kong 
香港灣仔軒尼詩道15號溫莎公爵社會服務大廈一樓禮堂"|"200000"|"220000"|120|"20180202171153"|"AA00075"|"N/A"
19|"Lancing College Seminar (17 March 2018)"|"20180317"|"20180317"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"170000"|120|"20180202171844"|"AA00075"|"N/A"
16|"Collyer's-The College of Richard Collyers Seminar (16 Mar 2018)"|"20180316"|"20180316"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"180000"|"190000"|60|"20171130175123"|"AA00061"|"N/A"
28|"Wellington School Seminar (25 May 2018)"|"20180525"|"20180525"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180505160219"|"AA00079"|""
22|"Christ College, Brecon and King Henry VIII College Seminar (10 March 2018)"|"20180310"|"20180310"|"6/F Recital Theatre, Congregation House, 
119 Leighton Road, Causeway Bay, Hong Kong.
香港銅鑼灣禮頓道119號
公理堂大樓6樓 演奏廳"|"190000"|"213000"|150|"20180224161514"|"AA00079"|"Rundown

7.00 pm         Welcome (by Battie Fung, MD of Academic Asia)?
7.10 pm         Simon Spencer on Christ College, Brecon and the establishment of King Henry VIII College
7.40 pm         First Q & A
7.50 pm         Break
8.10 pm         Phil Matthews on the UK Curriculum and Admissions procedures for the two schools
8.40 pm         Second Q & A
8.50 pm         Representations by current and former parents and students
9.00 pm         An opportunity to meet the speakers informally"
26|"Woodhouse Grove School Seminar (21 May 2018)"|"20180521"|"20180521"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180316130028"|"AA00079"|""
24|"Brockenhurst College Seminar (7 Apr 2018)"|"20180407"|"20180407"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"160000"|"170000"|60|"20180227121724"|"AA00079"|""
38|"Leighton Park School Seminar (12 Oct 2018)"|"20181012"|"20181012"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|10|"20180907171957"|"AA00079"|""
31|"Wymondham College – Welcome Meeting (18.00-19.30)@Exam Room"|"20180821"|"20180821"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"180000"|"193000"|90|"20180611172212"|"AA00079"|""
30|"Harrow School Concert (5 July 2018)"|"20180705"|"20180705"|"6/F Recital Theatre, Congregation House, 
119 Leighton Road, Causeway Bay, Hong Kong.
香港銅鑼灣禮頓道119號
公理堂大樓6樓 演奏廳"|"180000"|"200000"|10|"20180512110432"|"AA00079"|""
32|"Medefine Education, UCAS Medicine Application Information Day 2018, @Exam Room"|"20180804"|"20180804"|"Confucius Hall Secondary School, 77 Caroline Hill Road, Causeway Bay, Hong Kong 
香港孔聖堂中學禮堂，香港銅鑼灣加路連山道77號"|"110000"|"163000"|180|"20180730120955"|"AA00079"|""
35|"Burgess Hill School for Girls Seminar (30 October 2018)"|"20181030"|"20181030"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180810124930"|"AA00079"|""
37|"The Leys School Seminar (29 Oct 2018)"|"20181029"|"20181029"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180813152638"|"AA00079"|""
33|"Medefine Education, UCAS Medicine Application Information Day 2018, @Exam Room"|"20180811"|"20180811"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"110000"|"163000"|180|"20180611172620"|"AA00079"|""
36|"Norwich School Seminar (11 Oct 2018)"|"20181011"|"20181011"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180810124951"|"AA00079"|""
29|"Pre-Departure Briefing 2018 (17 Jul 2018)"|"20180717"|"20180717"|"Jockey Club Auditorium
The Hong Kong Polytechnic University, Hung Hom, Kowloon
九龍 紅磡 香港理工大學 賽馬會綜藝館"|"200000"|"220000"|120|"20180622114545"|"AA00079"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the Auditorium. 
所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of Jockey Club Auditorium. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the Auditorium. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the Auditorium if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 
主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。
Holder of the valid-for-the-day ticket can enjoy a privilege parking rate at $15/hour from 0700-0100 at the PolyU Car Park. 憑此門票可於節目當日上午7時至凌晨1時，以優惠價每小時十五元使用理大停車場。"
39|"Harrogate Ladies' College Seminar (17 Nov 2018)"|"20181117"|"20181117"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"160000"|60|"20181023145903"|"AA00079"|""
40|"Dauntsey's School Seminar 10 Jan 2019 @Exam Room"|"20190110"|"20190110"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|10|"20181029160618"|"AA00079"|""
41|"Loughborough Grammar School Seminar 2 Feb 2019 @Exam Room"|"20190202"|"20190202"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"160000"|60|"20181124101923"|"AA00079"|""
57|"Winchester College Seminar 2 Sep 2019 @TBC"|"20190902"|"20190902"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"103000"|"113000"|60|"20190803110656"|"AA00079"|""
43|"Quest Guardians Seminar (30 March 2019)"|"20190330"|"20190330"|"Auditorium, 1/F, Duke of Windsor Social Service Building,15 Hennessy Road, Wan Chai, Hong Kong 
香港灣仔軒尼詩道15號溫莎公爵社會服務大廈一樓禮堂"|"200000"|"220000"|120|"20190226110007"|"AA00079"|"N/A"
61|"John Leggott College Seminar"|"20200114"|"20200114"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20191224121846"|"AA00079"|""
59|"Sevenoaks School Summer Programme Seminar 25 Nov 2019 @Exam Room"|"20191125"|"20191125"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20191112154820"|"AA00079"|""
45|"CRGS Parents Meeting 2019 (27 Apr 2019) @Exam Room"|"20190427"|"20190427"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"170000"|180|"20190316115555"|"AA00079"|""
46|"Etherton Education Seminar 30 Apr 2019 @Exam Room"|"20190430"|"20190430"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20190423174236"|"AA00079"|""
42|"Exeter College Seminar 30 Mar 2019 @Exam Room"|"20190330"|"20190330"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"110000"|"120000"|60|"20190423174319"|"AA00079"|""
47|"Westonbirt Schools Seminar 4 May 2019 @Exam Room"|"20190504"|"20190504"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"160000"|60|"20190423174439"|"AA00079"|""
48|"Speaker from Sevenoaks School X AMF"|"20190503"|"20190503"|"6/F Recital Theatre, Congregation House, 
119 Leighton Road, Causeway Bay, Hong Kong.
香港銅鑼灣禮頓道119號
公理堂大樓6樓 演奏廳"|"180000"|"200000"|120|"20190423174615"|"AA00079"|""
49|"Mount St Mary’s College Seminar 25 May 2019 @Exam Room"|"20190525"|"20190525"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"160000"|60|"20190517102227"|"AA00079"|""
76|"TONBRIDGE SCHOOL YEAR 9 SEP2026-STAGE 2 ASSESSMENT ON 27 JAN 2024"|"20240127"|"20240127"|"Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong KOng"|"000000"|"235000"|180|"20240123215748"|"AA00007"|""
78|"Elite Entrance Seminar 2025"|"20250322"|"20250322"|"AA Office"|"150000"|"160000"|60|"20250321135900"|"AA00007"|""
44|"Pre-Departure Briefing 2019 (13 Jul 2019)"|"20190713"|"20190713"|"School Hall, Confucius Hall Secondary School, 77 Caroline Hill Road, Causeway Bay, Hong Kong
香港孔聖堂中學禮堂，香港銅鑼灣加路連山道77號"|"170000"|"190000"|120|"20190527172113"|"AA00079"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the School Hall. 
所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of School Hall. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the School Hall. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the School Hall if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 
主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。"
50|"Cheltenham Ladies’ College Seminar 11 Jun 2019 @CCC"|"20190611"|"20190611"|"6/F, Recital Theatre, Chinese Congregational Church, 119 Leighton Rd, Causeway Bay, Hong Kong

香港銅鑼灣禮頓道119號中華基督教會公理堂6樓演奏廳"|"183000"|"193000"|60|"20190601181437"|"AA00079"|""
51|"Abingdon Seminar 9 Jul 2019 @CCC"|"20190709"|"20190709"|"19/F, The Forum Theatre, Chinese Congregational Church, 119 Leighton Rd, Causeway Bay, Hong Kong

香港銅鑼灣禮頓道119號中華基督教會公理堂19樓聆風廳"|"183000"|"193000"|10|"20190719180110"|"AA00079"|""
52|"The College of Richard Collyer Seminar 1 Nov 2019 @Exam Room"|"20191101"|"20191101"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|10|"20190719180234"|"AA00079"|""
53|"Royal High Bath’s School Seminar 26 Oct 2019 @Exam Room"|"20191026"|"20191026"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"110000"|"120000"|10|"20190719181453"|"AA00079"|""
54|"Plymouth College Seminar 17 Oct 2019 @Exam Room"|"20191017"|"20191017"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20190719182153"|"AA00079"|""
55|"Norwich School Seminar 10 Oct 2019 @Exam Room"|"20191010"|"20191010"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|10|"20190720101750"|"AA00079"|""
58|"Cheltenham College Seminar 22 Sep 2019 @Exam Room"|"20190922"|"20190922"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"160000"|60|"20190911172432"|"AA00079"|""
60|"Hong Kong Chiropractic College Foundation Scholarship Seminar"|"20200104"|"20200104"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"153000"|"163000"|60|"20191223161812"|"AA00079"|""
62|"Quest Guardians Seminar (24 March 2020)"|"20200324"|"20200324"|"Auditorium, 1/F, Duke of Windsor Social Service Building,15 Hennessy Road, Wan Chai, Hong Kong 
香港灣仔軒尼詩道15號溫莎公爵社會服務大廈一樓禮堂"|"193000"|"213000"|120|"20200122181012"|"AA00079"|""
63|"Pre-Departure Briefing 2020 (24 Jul 2020)"|"20200724"|"20200724"|"China Congregational Church, 6/F, 119 Leighton Road, Causeway Bay, Hong Kong"|"190000"|"210000"|120|"20200704180305"|"AA00079"|"Live Online Pre-Departure Briefing"
65|"Tonbridge School Provisional Offer exams for Y9 Sep2023 (12 March 2022)"|"20220113"|"20220113"|"TBC"|"000000"|"183000"|10|"20220113170408"|"AA00007"|""
70|"Tonbridge School_Y9 Sep2024_Stage 2 Assessment on 21 May 2022"|"20220521"|"20220521"|"Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong"|"140000"|"170000"|15|"20220516113302"|"AA00007"|""
67|"Harrow School_Y9 Sep2022_Second Stage Academic Scholarship Exam_22-24 Feb 2022"|"20220222"|"20220224"|"Academic Asia Office, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong"|"100000"|"235000"|180|"20220207105413"|"AA00007"|""
66|"Tonbridge School Y9 Sep2023 Entry (Eng and Math Exam-March 2022)"|"20220312"|"20220312"|"14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"100000"|"190000"|20|"20220210154111"|""|""
68|"Sevenoaks_Year 9 Sep2023_Entrance Exam_16 April 2022 (Saturday)"|"20220416"|"20220416"|"Confucius Hall Secondary School, 77 Caroline Hill Road, Causeway Bay, Hong Kong
香港孔聖堂中學，香港銅鑼灣加路連山道77號"|"100000"|"170000"|180|"20220210115514"|"AA00007"|""
74|"TONBRIDGE SCHOOL Y9 Sep2025 - Stage 2 Assessment on 14 January 2023"|"20230114"|"20230114"|"Confucius Hall Secondary School, 77 Caroline Hill Road, Causeway Bay, Hong Kong"|"000000"|"234000"|180|"20230109193534"|""|""
69|"Tonbridge School_Y9 Sep2024 late application"|"20220414"|"20220414"|"."|"000000"|"235000"|10|"20220414131618"|"AA00007"|""
71|"Tonbridge School - Year 9 Sep2025 Application"|"20220521"|"20220521"|"."|"000000"|"011000"|10|"20220521152542"|"AA00007"|""
73|"ISEB CPT_2022-23"|"20220920"|"20220920"|"Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"000000"|"235000"|180|"20220920133307"|"AA00007"|""
75|"Tonbridge School - Year 9 Sep2026 Application"|"20230811"|"20230811"|"."|"000000"|"002000"|10|"20230811215615"|"AA00007"|""
77|"The College of Richard Collyer free seminar in Hong Kong (27 March 2024)"|"20240327"|"20240327"|"AA Office"|"000000"|"235000"|180|"20240619145217"|"AA00007"|""
80|"EPQ Seminar (28 May 2025 @ AA)"|"20250528"|"20250528"|"Webinar"|"180000"|"190000"|60|"20250606164815"|"AA00136"|""
81|"Exclusive Seminar by Cheltenham Ladies' College"|"20250629"|"20250629"|"29th June 2025 @ CCC"|"143000"|"170000"|150|"20250630175312"|"AA00136"|""
82|"Tonbridge School - Year 9 Sep2028 Application"|"20250709"|"20250709"|"."|"000000"|"235000"|10|"20250709132610"|"AA00007"|""
