"expo_id"|"exponame"|"expostartdate"|"expoenddate"|"expolocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
19|"UK EDUCATION EXPO (FEB 2020) - Postponed"|"20200222"|"20200223"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"110000"|"180000"|10|"20200204152443"|"AA00079"|"* please see application procedure"
14|"UK EDUCATION EXPO (FEB 2019)"|"20190223"|"20190224"|"INTERVIEW VENUE: LEVEL 27 & 28, THE PARK LANE HONG KONG, A PULLMAN HOTEL, 310 GLOUCESTER ROAD, CAUSEWAY BAY, HONG KONG
面試地點:香港銅鑼灣告士打道310號 香港栢寧酒店 27及28樓全層"|"100000"|"160000"|10|"20220927115927"|"AA00079"|""
12|"UK EDUCATION EXPO (OCT 2018)"|"20181020"|"20181021"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"110000"|"180000"|20|"20220927115949"|"AA00079"|""
13|"UK EDUCATION EXPO (OCT 2018) - WHITGIFT SCHOOL INTERVIEW"|"20181020"|"20181021"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"110000"|"180000"|15|"20220927120011"|"AA00079"|""
28|"AA EXPO 2025 (FEB 2025)"|"20250215"|"20250215"|"INTERVIEW VENUE: JW Marriott Hotel Hong Kong Ballroom Level 3, Pacific Place, 88 Queensway, Hong Kong
面試地點：香港JW萬豪酒店宴會廳3樓 (香港金鐘道88號太古廣場）"|"110000"|"160000"|10|"20250203175917"|"AA00082"|""
25|"UK EDUCATION EXPO (Oct 2023)"|"20231021"|"20231022"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"110000"|"180000"|20|"20231016104443"|"AA00098"|"* please see application procedure"
27|"UK EDUCATION EXPO (OCT 2024)"|"20241019"|"20241020"|"MEETING/INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"100000"|"180000"|20|"20241016174621"|"AA00007"|"* please see application procedure"
26|"UK EDUCATION EXPO (Feb 2024)"|"20240217"|"20240218"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"110000"|"180000"|20|"20240130171105"|"AA00098"|"* please see application procedure"
11|"UK EDUCATION EXPO (FEB 2018)"|"20180210"|"20180211"|"INTERVIEW VENUE: 3/F, THE EXCELSIOR HOTEL, 281 GLOUCESTER ROAD, CAUSEWAY BAY
面試地點:香港銅鑼灣告士打道281號 香港怡東酒店 3樓全層"|"102000"|"182000"|10|"20220927120304"|"AA00079"|"* please see application procedure"
10|"UK EDUCATION EXPO (OCT 2017)"|"20171021"|"20171022"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"102000"|"182000"|20|"20220927120346"|"AA00079"|"* Colchester Royal Grammar School: Exam date: 25 Oct 2017 Wed (from 4.30pm)
* Royal Grammar School: Exam Date: 26 Oct 2017 Thur (from 4.30pm)
* Caterham School: Exam Date: 28 Oct 2017 Sat (Time: To be Confirmed), for those who have not taken the exam"
9|"UK EDUCATION EXPO (FEB 2017)"|"20170211"|"20170212"|"INTERVIEW VENUE: 3/F, THE EXCELSIOR HOTEL, 281 GLOUCESTER ROAD, CAUSEWAY BAY
面試地點：香港銅鑼灣告士打道281號 香港怡東酒店 3樓全層"|"102000"|"182000"|10|"20220927120419"|"AA00079"|"* please see application procedure"
8|"UK EDUCATION EXPO (OCT 2016)"|"20161029"|"20161030"|"INTERVIEW VENUE: S421-S430, 4/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）4樓 S421-S430室"|"102000"|"182000"|20|"20220927120455"|"AA00079"|"* please see application procedure"
30|"Early Online Interviews and Parent Meetings with Top UK Schools"|"20250616"|"20250620"|"VIRTUAL PLATFORM"|"161000"|"210000"|20|"20250613205740"|"AA00007"|"Event Details:
Duration of the interview and meeting: 20 mins
· Student's interview: 15 mins, Receive feedback from the Interviewer
· Parents Q&A with the Interviewer: 5 mins
Academic Asia will send the online link to you nearly the time. Good luck with your interview. Thank you.
* Exam date to be confirmed"
