"school_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"|"ssyear"
423|"Holiday Arrangement"|"[7 Aug 2013] Pupils should arrive on either the day prior to the start of term, or early in morning on the first day of term (many of our pupils from Hong Kong arrive on the flights which arrive around 0530 on the first day of each term, and this can be accommodated without any difficulty.  Return flights should be booked for the day upon which ewe break up.  Again, if pupils are travelling on an 18-0- hours (or thereabouts) flight, then this is not a problem. 

For this September's arrival, if possible, Destiny should aim to arrive in time to attend an induction afternoon, which takes place on the afternoon of the 3rd September.  If he is able to arrive at LHR around 0530 then this would be absolutely fine."|"20130807154938"|"AA00025"|""|"2013-14"
250|"Others"|"[13 Jul 2013]  All students are issued with Macbooks (everywhere is wifi)"|"20130713100236"|"AA00025"|""|"2013-14"
597|"Holiday Arrangement"|"[9 Aug 2013] students attending the pre-sessional week need to arrive between 9am and 5pm on Tuesday 27th August."|"20130809100449"|"AA00025"|""|"2013-14"
472|"Uniform"|"[15 May 2013] St Bede’s School operates an online Uniform and Sportswear service with www.schoolblazer.com"|"20130515171703"|"AA00025"|""|"2013-14"
110|"Others"|"Bed measurements	                   Fitted sheet	   Flat sheet          Duvet over
UK Single
90 cm × 190 cm (35 in × 75 in)	90 × 190 × 20 cm	180 × 260 cm     135 × 200 cm

student only required to bring the duvet, duvet cover and pillow and pillow case as we can provide sheets, if the family prefers."|"20130724095938"|"AA00025"|""|"2013-14"
534|"Hotel / B&B"|"The Garden House hotel, Granta place, Cambridge (Sep 2006 update)
tel: 44 1223 259 988 fax: 44 1223 316605
reservations.cambridgegarden@moathoushotels.com
GBP 200 for family room

The Crowne Plaza, Downing Street, Cambridge
tel: 44 8704 009180 fax: 44 1223 464440
reservations-cambridgecp@ichotelsgroup.com
GBP 140 -180 for famiy rm

The Royal Cambridge Hotel, Trumpinton St, Camb
tel: 44 1223 351 631 fax: 44 1223 352 972
royalcambridge@forestdale.com
GBP 165 for family rm

The Lensfield Hotel, 53 Lensfield Rd, Camb
tel: 44 1223 355017 fax: 44 1223 312022
reservations@lensfieldhotel.co.uk
GBP 135 for family rm

The Gonville hotel, Gonvill Place, Camb
tel: 44 1223 366 611 fax: 44 1223 315 470
info@gonvillehotel.co.uk
GBP 150 per family rm

B&B information
The Tourist Office, Wheeler St, Cambridge
Tel: 44 1223 322 640 fax: 44 1223 463 385
Tourism@cambridge.gov.uk"|"20121128173648"|"AA00032"|""|""
30001|"Accommodation"|"Host Family & Residential"|"20130702122522"|"AA00025"|""|"2013-14"
517|"Accommodation Remark"|"Hall of Residences (FE/TC)
Host Family (FE/TC)

(19 Mar10)
Lewes has a higher proportion of Hong Kong and Chinese students. Lewes is popular with international students as there is a high level of pastoral support, and a diverse community of international students in Lewes."|"20130111134552"|"AA00032"|""|""
55|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
2|"Website"|"http://1234567.890.com.hk"|"20120525155444"|""|""|" "
23|"Alternative Pickup"|"Transfer: Taxi pick up from Heathrow or Gatwick costs GBP 85-90 or alternative is take the coach from heathrow (GBP15) or Gatwick(GBP20) to centre of Oxford, then take taxi to school (GBP 6)"|"20121126100219"|"AA00032"|""|" "
394|"Teacher/Pupil Ratio"|"1:8"|"20140215110243"|"AA00025"|""|"2013-14"
431|"Admission Procedures"|"[26 Jul 2013] In many cases you kindly send us screening reports before sending an application for registration and ask us if we will accept the registration.  However, we will always accept applications that are received by the registration deadline (two years ahead for Year 9; one year ahead for Year 7).  There is therefore no need to send the screening report ahead of the application form.  Indeed it would be very helpful if you could send your screening report and the application form and registration fee all at the same time, ahead of the registration deadline."|"20130726142120"|"AA00025"|""|"2013-14"
431|"Admission Procedures"|"[22 Aug 2013] For future reference, please note that there is no need to send through the screening test papers that you ask candidates to complete. All that is of interest to us is the most recent report and personal statement.

[26 Jul 2013] In many cases you kindly send us screening reports before sending an application for registration and ask us if we will accept the registration.  However, we will always accept applications that are received by the registration deadline (two years ahead for Year 9; one year ahead for Year 7).  There is therefore no need to send the screening report ahead of the application form.  Indeed it would be very helpful if you could send your screening report and the application form and registration fee all at the same time, ahead of the registration deadline."|"20130822095856"|"AA00025"|""|"2013-14"
272|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
208|"Long Weekend Arrangement"|"Cannot Stay"|"20130723170000"|""|""|"2013-14"
101|"Holiday Arrangement"|"[11 Apr 2013]
Accommodation during holidays is provided except summer break, you do not need to pay extra. During Half Term meals are also provided (if revision classes are taking place). During Christmas and Easter Holidays accommodation is provided but no meals. During Summer Break there is accommodation available but at an extra cost of approximately £125.00 / week for a cluster room and £149.00 / week for a Studio Flat. This fee does not include meals."|"20130411100219"|"AA00025"|""|"2012-14"
4|"Accommodation Remark"|"[2 Dec 2011]
 boarding; host family (FE/TC)
 All Sixth Form boys have single rooms"|"20121127153325"|"AA00032"|""|""
678|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
48|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
129|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
315|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
16|"Joining Pack"|"[26 Jun 2013]all bedding is provided (duvet, pillow, covers) which are all fire retardant material, so they will not need to bring anything like that with them.  They will, however, need towels and facecloths (I would recommend two sets)."|"20130626103411"|"AA00025"|""|"2013-14"
16|"Joining Pack"|"[26 Jun 2013]Apart from casual clothes and personal items there is really not much they will need to bring. All bedding is provided (duvet, pillow, covers) which are all fire retardant material, so they will not need to bring anything like that with them.  They will, however, need towels and facecloths (I would recommend two sets)."|"20130628110158"|"AA00025"|""|"2013-14"
209|"Accommodation Remark"|"Homestay only"|"20121128121052"|"AA00032"|""|""
336|"Accommodation"|"1) Staying in a family enviroment
2) Hallls of residence
3) Staying with a relatives, friends ot guardian"|"20130628151933"|"AA00025"|""|"2013-00"
153|"Accommodation Remark"|"Host family (FE/TC)"|"20121128104312"|"AA00032"|""|""
527|"Accommodation"|"East Kent College does not maintain halls of residence however we do offer homestay accommodation."|"20130628152326"|"AA00025"|""|"2013-00"
646|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
646|"Accommodation"|"Host Family"|"20130702121453"|"AA00025"|""|"2013-14"
68|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
30001|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
684|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
470|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
683|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
16|"Accommodation Remark"|"[24 May 2012]
Students don't need to bring any bedding; it is all provided"|"20121128105516"|"AA00032"|""|""
16|"Accommodation Remark"|"[26 Jun 2013]Apart from casual clothes and personal items there is really not much they will need to bring. All bedding is provided (duvet, pillow, covers) which are all fire retardant material, so they will not need to bring anything like that with them. They will, however, need towels and facecloths (I would recommend two sets).

 'Information for New pupils and parents 2013' is in server for more details
[24 May 2012]
Students don't need to bring any bedding; it is all provided"|"20130702142240"|"AA00019"|""|"2013-14"
23|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
691|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
55|"Accommodation Remark"|"[23 Sept 2011]
Hotel in Brighton
the hotel next to the school, the Jury’s Inn. You can book at:
http://brightonhotels.jurysinns.com/?gclid=COyL8vSfxpwCFUQA4wodRlKuIw
The hotel just 2mins walk away from the school.

[29 Aug 2011]
Accommodation List in Brighton
Most parents choose to stay at the hotel next to the school, the Jury’s Inn.
You can book at:
http://brightonhotels.jurysinns.com/?gclid=COyL8vSfxpwCFUQA4wodRlKuIw
The hotel just 2mins walk away from the school

Halls of Residences (FE/TC); Host Family (FE/TC)"|"20121126165106"|"AA00032"|""|""
55|"Hotels & B&B"|"[23 Sept 2011]
Hotel in Brighton
the hotel next to the school, the Jury’s Inn. You can book at:
http://brightonhotels.jurysinns.com/?gclid=COyL8vSfxpwCFUQA4wodRlKuIw
The hotel just 2mins walk away from the school.

[29 Aug 2011]
Accommodation List in Brighton
Most parents choose to stay at the hotel next to the school, the Jury’s Inn.
You can book at:
http://brightonhotels.jurysinns.com/?gclid=COyL8vSfxpwCFUQA4wodRlKuIw
The hotel just 2mins walk away from the school

Halls of Residences (FE/TC); Host Family (FE/TC)"|"20130705105324"|"AA00025"|""|"2011-12"
118|"Accommodation Remark"|"Please refer to server record of International Fees Sheet 2012 for Accommodation"|"20121127155602"|"AA00032"|""|""
30003|"Accommodation"|"Student accommodation"|"20130628152453"|"AA00025"|""|"2013-00"
455|"Airport Pickup Remark"|"[28 Mar 2013] Boarders should always arrive on the INSET Day at the beginning of the Spring and Summer Terms.

The Autumn Term is different as we have two start dates for boarders: 
NEW Boarders should arrive on Tuesday 3rd September (Induction Day on 4th).
CURRENT boarders should arrive on 4th September.
Lessons for everyone on 5th September."|"20130328102621"|"AA00025"|""|"2013-14"
18|"Long Weekend Arrangement"|"Yes"|"20130219114616"|""|""|"2012-14"
21|"Name Tages"|"[17.June.2013]
There is no set format, just the pupil’s full name and maybe their House if they wish."|"20130617173339"|"AA00007"|""|"2013-14"
219|"Accommodation"|"Host Family"|"20130713113442"|"AA00025"|""|"2013-14"
472|"Long Weekend Arrangement"|"Yes"|"20130219114616"|""|""|"2012-14"
464|"Long Weekend Arrangement"|"Yes"|"20130219114616"|""|""|"2012-14"
294|"Accommodation"|"Boarding"|"20130111134042"|""|""|"2013-14"
301|"Accommodation"|"Boarding"|"20121128170426"|"AA00032"|""|""
16|"Airport Pickup Remark"|"[5 Apr 2013] When this is not possible, the pupil may be able to return to the boarding house but must liaise with the Housemaster or Housemistress over timings. They should be asked well in advance of the expected return of the pupil. In addition, it would be very helpful for HMMs if they are informed of the expected time of arrival at the boarding house of the pupil.

[17 Jul 2010]
About GBP32-50 from Heathrow to school"|"20130405104641"|"AA00025"|""|"2013-14"
16|"Guardianship"|"[30 Apr 2010]
We have good connections with Brightworld www.brightworld.co.uk or Sutherland Guardians www.sutherland-education.com"|"20121128105639"|"AA00032"|""|""
101|"Airport Pickup Remark"|"[8 Jan 2013] The College does arrange airport pick from Heathrow at a cost of £195. We provide accommodation during end of term holidays (except summer).
 
[4 Jan 2013] Complimentary airport pickup will be offered on the 7th of September 2013 from Heathrow terminal 3.

[22 May 2012] 
The school organises airport transfers in any London from Heathrow Airport.
 
[17 Jan 2012]
 Complimentary airport pick up on 27th August at either 12 pm or 6pm. Airport Pick Up forms will be sent 3 months prior to the course."|"20130108151732"|"AA00032"|""|""
306|"Admission Procedures"|"(30 Mar 10)
 1. after we have screened the girl and felt she is suitable for MST and the family is interested to apply to your school.
 
2. we will send an email to ask MSJ-Jennifer whether they have any vacancy in that particular year group (at the moment, they can accept 5 enrolments from us for Y9,10,12, Diane-I would like u to talk to all the consultants and gather all the applications and send to Jennifer with the summary of the list of applicants, pls gather all the forms and fees and send together by courier, tks)
 
3. if vacancy is available, we will encourage the girl to complete the reg form and pay the reg fee (preferrably by Tele-transfer)
 
4. we then post/courier(depending on the time of the year) the reg form and fee to MSJ with the pupils information (school reports and any other supporting documents), when the form and fee are sent, send an email to Jennifer with the student name and year group applying for (without attachment of the reg form and fee), so that Jennifer is aware of the application 

5. when Jennifer receives the original reg form and fee, she will then write an email to authorize us to invigilate the exam
 
6. student will then take the exam
 
7. exam papers will be scanned and emailed to you, the originals will be courier/posted to Jennifer
 
8. await result (MSJ will only mark the original papers, so pls make sure the families are aware of the waiting time)"|"20130105121051"|"AA00032"|""|""
44|"Others"|"[23 Aug 2008]
- 100% pass rate on A2 exams for A-level 08 students
- Students can arrive one or two days before the term starts in September."|"20121207153233"|"AA00032"|""|" "
50|"Music Tuition"|"[5 Feb 2009] 
GBP224.4-299.2 (Indv), 100.9-135 (Shared)"|"20121126163854"|"AA00032"|""|" "
50|"Music Instrument"|"[5 Feb 2009] 
Violin - GBP15.7 per term, others GBP46.6 per term"|"20121126163922"|"AA00032"|""|" "
58|"Airport Pickup Remark"|"[1 Nov 2012]
Heathrow - £50 - £100, Gatwick - £80 - £120"|"20121126165920"|"AA00032"|""|""
526|"Long Weekend"|"Yes"|"20130219114616"|""|""|"2012-14"
89|"Airport Pickup Remark"|"[Aug 2007]
Coach from Heathrow"|"20121126183609"|"AA00032"|""|""
55|"Scholarships"|"As a general rule, Bellerbys College is unable to offer student scholarships. However, from time to time, opportunities do arise for students from certain countries to obtain discounts on course fees."|"20121207163308"|"AA00032"|""|""
89|"Airport Pickup Remark"|"[23 Apr 2013] Please note that there will be two days of induction for new boarders before the start of the Autumn Term in September. New boarders are therefore asked to arrive between 13.00 and 18.00 on Monday 2nd September 2013.

At the end of term student will be able to stay in the boarding house until 13.00 on the day after school has finished.

The Boarding Team will arrange a pick-up for student from Heathrow airport. This will be by coach or taxi, depending upon the arrival time

[Aug 2007]
Coach from Heathrow"|"20130423101837"|"AA00025"|""|"2013-14"
188|"6th Form Course"|"A Level"|"20121128112942"|"AA00032"|""|""
528|"Admission Procedures"|"Re: Application form - Please ask the families that are going to leave the Heads Declaration section (section 7) blank to write the reason for this on the form or in an accompanying letter so that the school is aware of the situation."|"20121127154405"|"AA00032"|""|""
172|"Airport Pickup Remark"|"Heathrow:Ã"|"20121128105918"|"AA00032"|""|""
631|"Others"|"there are cut-off times for the Internet/Wifi use at Park House. It’ll automatically shut down at 10.30pm and not come back on until 7am. Also, all student’s notebooks/laptops get ‘collected’ by the Matron in the evening to ensure that none of them is playing on their computers at night. (25 June 2011)"|"20130111120816"|"AA00032"|""|""
549|"Accomodation"|"Home Stay"|"20130617002222"|"AA00007"|""|"2013-14"
262|"Teacher/Pupil Ratio"|"1:8"|"20140215105854"|"AA00025"|""|"2013-14"
101|"Guardianship"|"[01 Feb 2013]
the college is the Guardian for the majority of the students under 18 and so should they fall ill and need to be taken to Hospital at any time the Warden does this. He also stays in the hospital until s/he has been seen by medical staff which can be most of the night depending on the case. Indeed any kind of difficulty including ones which require counselling is attended to. This service will continue as at present. 
Although, our students who are over 18 do not require a Guardian nonetheless they need the same services should they fall ill or have an accident. With the increasing numbers of students and the growing number of happily relative minor incidents which required Hospital visits this year the college has felt the impact on our services and consequently staffing. With an increase in staff commitments there has been a cost implication. 
So from September 2013 onwards there will be a charge of £500.00 per annum for students over 18 year in order to provide this service. 
Should a student decline this option they will need to make their own arrangements; provide their own designated person or Guardian who would undertake to provide them with a comparable assistance. However, in any case, rest assured the college will discharge its duty of care to all its students.

[4 Aug 2011]
 Any student under the age of 18 requires a guardian. 

[13 Aug 2011]
 We require guardians to live within 30 mins travelling time of the college so that they could be quickly available in the event of an emergency. One of the most important roles of a guardian is be a point of immediate, or very quick, contact."|"20130201105952"|"AA00032"|""|""
441|"Airport Pickup Remark"|"[7 Jun 2013] School transport can be arranged with GBP16 for each person"|"20130607164411"|"AA00025"|""|"2013-14"
554|"Holiday Arrangement"|"[10 May 2013] 
We usually invite boarders to return to school around 4pm / 5pm on the evening prior to the start of school. If students arrive in the UK earlier than that then their guardians should be making arrangements to care for them in the interim.

In the very first day of the Induction Week this September however, students can arrive at any time after 8:30am."|"20130510172700"|"AA00025"|""|"2013-14"
524|"Guardianship"|"Taunton Guardians, provided by Taunton School for their students at Senior, Prep and ISC only. Organized by Mrs Jenny Heubert, Guardianship Manager"|"20130109170834"|"AA00032"|""|""
524|"Guardianship"|"Taunton Guardians, provided by Taunton School for their students at Senior, Prep and ISC only. Organized by Mrs Jenny Heubert, Guardianship Manager"|"20130306100820"|"AA00025"|""|"2010-00"
655|"Others"|"[18 NOV 2011] 
Year 10 overseas students do English and Chinese - they do not have to do another modern language but they may choose to do French, German or Spanish additionally if they wish to. 

[18 NOV 2011] 
School are looking at the possibility of the overseas students taking IGCSE in English as a second language as from September 2012. School have only had Hong Kong students this year and those that have come into Year 10 have coped well with the English GCSE. However, School are aware that for some, next year, the IGCSE ESL option might be the right course.
 
[18 NOV 2011] 
School's International Student co-ordinators - Charlotte Mason and James Cherry - who provide an additional line of support for the international students. They hold regular meetings with the students, have a particular eye for their pastoral welfare and can relay back to the academic staff any issues/problems that arise that the students are a bit worried about raising direct with the staff. 

[20 Aug 2011] 
School Activities Short Form:
 MUN stands for ""Model United Nations""
 GIA stands for ""Geographers in Action""
 
[13 Jun 2011] 
GCSE subjs explanation on server
 
[15 Jun 2011] 
Attached is our term dates schedule which shows the induction day on Saturday 3rd September to which all children and their parents will be invited. We are still finalising the programme but, in outline, it will be:
 am arrive in boarding houses; get to know boarding parents; sort out uniform and practicalities:
 1.00pm Headmaster's Reception
 2.00pm Meet academic heads of department, tutors etc 
3.00pm Tours of the school for parents
 4.00pm Tea; parents depart
 All our HK students should have had the attached term dates schedule which (we had hoped) would have put this date into their diaries."|"20121127155509"|"AA00032"|""|""
323|"Others"|"- The boarders arrive on Sunday 31 August and then lessons start the following day. There will be a reception for new parents on Sunday 31 August. 
At the half-term holiday, the boys are supposed to leave the House at 4pm. (If the flights are booked for Friday evening then we arrange for the boys to leave at midday to go the airport and they will miss the last afternoon of School. If their flights do not go until the Saturday, it is normal that the boys would go and stay with their guardian. Occasionally if the Housemaster is in agreement, they can stay in the boarding House, but this cannot be relied upon. (29 May 08)
 
- An additional charge of first bill 100 and is returnable on final bill."|"20130108113712"|"AA00032"|""|""
211|"Airport Pickup Remark"|"[28 Feb 2012]
Yes, we do offer transport from airports to parents of those girls arriving for the first time in September. We charge the cost to the pupils’ school bill.

[Mar 2006]
Access: Train from London to Newport then taxi to School
National Express to Chepstow then taxi to school or route 69 to Monmouth then walk to school
London Paddington train to Newport then taxi to the school. (you can book the taxi in advance - JMC taxi 01600 890 998, bear in mind that the journey is long and cost about GBP 40)"|"20121128134051"|"AA00032"|""|""
575|"Airport Pickup"|"Yes** see consultant comment"|"20130110105300"|"AA00032"|""|""
575|"Hotel & B&B"|"The Canon Grange B&B (www.canongrange.co.uk) is very good, I hear, and a short walk from the school; our local tourist information office (+44 1749 672552), should be able to advise on other local hotels ?there are a number within a short walk of the school to suit most budgets. (18 Sep 08)"|"20130110105308"|"AA00032"|""|""
110|"Hotel / B&B"|"Local Hotels
 
Abbey Hotel, 14-16 Bath parade, Cheltenham, GL53 7HN Tel: 01242 516053
 
Georgian House, 77 Montpellier Terrace, Cheltenham Tel: 01242 515577
 
Hotel Kadinsky, Bayshill Road, Cheltenham Tel: 01242 527788
 
Lypiatt House, Lypiatt Road, Cheltenham Tel: 01242 224994
 
Montpellier Hotel, 33 Montpellier Terrace, Cheltenham Tel: 01242 526009
 
Willoughby House Hotel, 1 Suffolk Square, Cheltenham Tel: 01242 522798"|"20121127154126"|"AA00032"|""|""
214|"No. of Chinese Students"|"[5 Jan 08]
Year 12 Entry is 75 Girls in total .....the breakdown of Girls from United Kingdom and Internationals is listed below ...
>27 from the UNITED KINGDOM
>13 from Hong Kong/ 7 China recruited in Hong Kong
>8 from Germany
>7 from Nigeria
>5 from Russia
>3 from Ukraine
>4 from Brunei
>2 from Switzerland
>3 from Thailand
>2 from Czech Republic
>1 from the USA
[16 June 2012]

About 70% of our sixth form girls are Chinese"|"20121128134742"|"AA00032"|""|""
554|"EFL Cost"|"£20 for 30 minutes
£33 for 50 minutes"|"20140509130118"|"AA00044"|""|"2014-15"
214|"No. of Chinese Students"|"[9 Mar 2013]6th form is 50% Boarding and 50% Day ( long stay 8am to 19.00hrs ) The 50% Boarding is 24 Nationalities. (25% of the Boarders are HK and Chinese )"|"20130319175052"|"AA00025"|""|"2012-00"
322|"Others"|"Internet Access:
 1. Is there Wi-Fi access in the boarding house and in individual room? 
At the moment this is being trialled in 2 boarding houses. Access is in the sixth form rooms at the moment but may be made more widely available soon.
 2. How is the use of internet being controlled? 
The students need to log in to the Wi-Fi as it is on the School Network system and therefore has all the same controls and filters as the school network. There is also a program that picks up any foul langauge and inappropriate material which is easily traced to the students' log in address.
 3. How many computers are there in the boarding houses for students to use, in case they haven’t brought their own laptop with them? 
This varies. In some, there are 8 - 10, in others, they can use the main ICT rooms which have up to 30. There is always one avaiable somewhere if the students have not brought their own.
 [07 Dec 2011]
 
- A sample of joining instruction is kept in master for ref. (8/8/2005)
 - school provides guardian
 - Psychology is only available in AS and No I.T at A level.
 - a spared Yr12 joining pack filed in master (13 Jul 09)"|"20130108113534"|"AA00032"|""|""
36|"OIthers"|"[28 Feb 2013] The decision as to whether students take double or single award Science is made after the ‘mock’ GCSE exams in Year 11. The Head of Science, in consultation with all the Science teachers makes a decision as to which award will get each student the best possible grades."|"20130305114153"|"AA00025"|""|"2012-13"
16|"Airport Pickup Remark"|"[17 Jul 2010]
About GBP32-50 from Heathrow to school"|"20121128105629"|"AA00032"|""|""
549|"Scolarship"|"[3 Nov 12] yes, students must attend the scholarship testing day in Cambridge (November 2012). Alternatively, honorary scholarships can be awarded to overseas students meeting our criteria"|"20130111121933"|"AA00032"|""|" "
2|"Exeat Weekend Arrangement"|"[07 Jul 2009] 
6th form boarders may stay; Year 9 -11 may stay at school but have to pay certain fee"|"20121126154429"|"AA00032"|""|" "
325|"Airport pickup"|"The nearest airport for student to arrive is Manchester - about 1 hour from school. If we send school with student flight details, school will arrange to send a driver to collect the student from the airport. [18 April 2012]"|"20130108113905"|"AA00032"|""|" "
17|"Airport Pickup Remark"|"[3 Nov 2012] 
Free of charge at start of year"|"20121127160850"|"AA00032"|""|" "
577|"Airport Pickup"|"School can arrange coach from Heathrow to West Buckland"|"20130110105540"|"AA00032"|""|" "
17|"Airport Pickup Remark"|"[31 Jan 2013] We will pickup boarders arriving at Heathrow on Monday 2nd September (early morning flights only 0430-0730 approx). There will be no charge.

[3 Nov 2012] 
Free of charge at start of year"|"20130131100627"|"AA00032"|""|" "
101|"Guardianship"|"[4 Aug 2011]
 Any student under the age of 18 requires a guardian. 

[13 Aug 2011]
 We require guardians to live within 30 mins travelling time of the college so that they could be quickly available in the event of an emergency. One of the most important roles of a guardian is be a point of immediate, or very quick, contact."|"20121127152356"|"AA00032"|""|" "
634|"No. of Chinese Students"|"[21 Aug 2012]
about 35 in total"|"20121128164934"|"AA00032"|""|""
61|"EFL"|"[8 May 2007]
Provided (free of charge)"|"20121126170616"|"AA00032"|""|" "
634|"EFL"|"[19 Mar 2010]
The basic termly fee includes two ESL lessons per week"|"20121128164952"|"AA00032"|""|""
323|"Guardianships"|"Use Study Links"|"20130108113652"|"AA00032"|""|""
634|"Airport Pickup Remark"|"[14 Jul 2012]
Free airport minibus transfers are provided for boarders only on designated dates and times between Lucton School and London Heathrow International Airport/Birmingham Airport. Times and dates are saved in file from Server.
Heathrow Airport is at least 3 hours by car from Lucton and Birmingham is approximately 1½ hours.

[11 May 2012]
There will be two buses which will collect pupils from Heathrow Airport on Tuesday 4th September, 2012. The first bus will be at Heathrow from approximately 8:00am to 10:00am and the second from 2:00pm to 4:00pm.
For return journey at the end of term, again there will be two buses for Heathrow Airport, the first leaves Lucton School at 8:00am and the second at 12:00 noon."|"20121128165017"|"AA00032"|""|""
634|"Others"|"[11 May 2012]
School Name Tapes: showing student English name and Last name would be enough and Mrs. Tidd, who will help student with the school uniform can deal with the labelling of the school uniform when the student arrived."|"20121128165055"|"AA00032"|""|""
288|"Accommodation"|"Boarding"|"20121128172958"|"AA00032"|""|""
288|"Accommodation"|"[16 Feb 2013]New sixth form boarding house, single rooms and double rooms available. Wifi in School. Boarders max capacity: 200. Most of their British boarders stay in school over the weekend, they are from families who work in army or embassy, and parents are not living in the UK most of the time

Boarding"|"20130216105455"|"AA00025"|""|"2013-02"
2|"Exeat Weekend Arrangement"|"[12 Jan 2013] Exeat weekends are flexible for sixth formers so they can choose whether to stay in the boarding house

[07 Jul 2009] 
6th form boarders may stay; Year 9 -11 may stay at school but have to pay certain fee"|"20130112120007"|"AA00032"|""|""
330|"No. of Chinese Students"|"10.6% are overseas students; 18 students in Year 12 are Hong Kong and Chinese students (7/10/10)"|"20130108114437"|"AA00032"|""|""
87|"EFL"|"Provided at extra cost"|"20121126183142"|"AA00032"|""|""
87|"EFL Costs"|"GBP100"|"20121126183152"|"AA00032"|""|""
87|"Exeat Charges"|"No charge"|"20121126183131"|"AA00032"|""|""
87|"Exeat Weekend Arrangement"|"Can Stay"|"20121126183122"|"AA00032"|""|""
87|"Others"|"[21 June 2011] Buckswood is now an IB World School, having been authorised to offer the Diploma from September 2011.

Internet access in all rooms"|"20121126183217"|"AA00032"|""|""
87|"No. of Chinese Students"|"50% overseas students"|"20121126183114"|"AA00032"|""|""
