"scheduledate"|"scheduletimeslot"|"staffid"|"aa_id"|"remarks"|"scheduletype"|"scheduleaction"|"school_id"
"20250428"|31|"AA00129"|""|"Consultation meeting"|"Others"|""|0
"20250428"|32|"AA00129"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00129"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00129"|""|"Consultation meeting"|"Others"|""|0
"20250428"|31|"AA00115"|""|"Consultation meeting"|"Others"|""|0
"20250428"|32|"AA00115"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00115"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00115"|""|"Consultation meeting"|"Others"|""|0
"20250428"|31|"AA00084"|""|"Consultation meeting"|"Others"|""|0
"20250428"|32|"AA00084"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00084"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00084"|""|"Consultation meeting"|"Others"|""|0
"20250428"|31|"AA00133"|""|"Consultation meeting"|"Others"|""|0
"20250428"|32|"AA00133"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00133"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00133"|""|"Consultation meeting"|"Others"|""|0
"20250428"|7|"AA00007"|""|""|""|""|0
"20250428"|8|"AA00007"|""|""|""|""|0
"20250426"|25|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|26|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|27|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|28|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|29|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20240814"|44|"AA00111"|""|""|""|""|0
"20250426"|30|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|31|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20250426"|32|"AA00084"|""|"tim.  see family"|"Others"|"Show Up"|0
"20240814"|45|"AA00111"|""|""|""|""|0
"20250426"|23|"AA00007"|"S045469"|"(Confirmed)
start time: 1pm
finish time: 2:05pm"|"AA Test"|"Show Up"|0
"20250426"|24|"AA00007"|"S045469"|"(Confirmed)
start time: 1pm
finish time: 2:05pm"|"AA Test"|"Show Up"|0
"20250426"|25|"AA00007"|"S045469"|"(Confirmed)
start time: 1pm
finish time: 2:05pm"|"AA Test"|"Show Up"|0
"20250426"|26|"AA00007"|"S045469"|"(Confirmed)
start time: 1pm
finish time: 2:05pm"|"AA Test"|"Show Up"|0
"20250426"|29|"AA00007"|"S045000"|""|""|"Show Up"|0
"20250426"|28|"AA00007"|"S045000"|""|""|"Show Up"|0
"20250426"|31|"AA00007"|""|"ftf meeting, reserved for 9745 8000, Mrs Lee, she is on biz trip so no time to fill out enquiry form. 

fyi. 

Mrs Lee has a boy and a girl. They both go to ISF.
DOB: boy April 12, 2013
DOB: girl Sep 6th, 2014

she and her husband are thinking about sending their kids when they are older, may not be year 9"|"Others"|"Show Up"|0
"20250426"|32|"AA00007"|""|"ftf meeting, reserved for 9745 8000, Mrs Lee, she is on biz trip so no time to fill out enquiry form. 

fyi. 

Mrs Lee has a boy and a girl. They both go to ISF.
DOB: boy April 12, 2013
DOB: girl Sep 6th, 2014

she and her husband are thinking about sending their kids when they are older, may not be year 9"|"Others"|"Show Up"|0
"20250428"|35|"AA00007"|"S045472"|"(Confirmed)

finish at 5:30 pm"|"AA Test"|"Show Up"|0
"20250426"|15|"AA00007"|"S045483"|"ftf Daniel, his son is looking for Y12 in Sep 2027, referred by Avyanna Chan’s parents. want to meet with B first, waiting to fill enquiry form, 9031 8087"|""|""|0
"20250426"|18|"AA00007"|"S045483"|"ftf Daniel, his son is looking for Y12 in Sep 2027, referred by Avyanna Chan’s parents. want to meet with B first, waiting to fill enquiry form, 9031 8087"|""|"Show Up"|0
"20250426"|17|"AA00007"|"S045483"|"ftf Daniel, his son is looking for Y12 in Sep 2027, referred by Avyanna Chan’s parents. want to meet with B first, waiting to fill enquiry form, 9031 8087"|""|"Show Up"|0
"20250426"|16|"AA00007"|"S045483"|"ftf Daniel, his son is looking for Y12 in Sep 2027, referred by Avyanna Chan’s parents. want to meet with B first, waiting to fill enquiry form, 9031 8087"|""|"Show Up"|0
"20250429"|11|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250429"|12|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250429"|13|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250429"|14|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250429"|15|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250429"|16|"AA00007"|""|"Lunch with Edwin and mum"|"Lunch with Edwin"|""|0
"20250426"|9|"AA00115"|"S045482"|"Con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|10|"AA00115"|"S045482"|"Con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|11|"AA00115"|"S045482"|"Con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|12|"AA00115"|"S045482"|"Con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|12|"AA00007"|"S041641"|"meet Gordon and discuss plan"|""|"Show Up"|0
"20250426"|11|"AA00007"|"S041641"|"meet Gordon and discuss plan"|""|"Show Up"|0
"20240821"|19|"AA00111"|""|""|""|""|0
"20250426"|10|"AA00007"|"S041641"|"meet Gordon and discuss plan"|""|"Show Up"|0
"20250426"|9|"AA00007"|"S041641"|"meet Gordon and discuss plan"|""|"Show Up"|0
"20250426"|9|"AA00084"|"S045481"|"Face con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|10|"AA00084"|"S045481"|"Face con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|11|"AA00084"|"S045481"|"Face con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|12|"AA00084"|"S045481"|"Face con only (Confirmed)"|"AA Test"|"Show Up"|0
"20250426"|13|"AA00084"|"S045414"|"Finish AA test at 11:37 am and Reasoning at 12:15 pm"|"AA Test"|"Show Up"|0
"20250426"|14|"AA00084"|"S045414"|"Finish AA test at 11:37 am and Reasoning at 12:15 pm"|"AA Test"|"Show Up"|0
"20250426"|16|"AA00084"|"S045476"|"Finish AA test at 11:37 am and Reasoning at 12:15 pm"|"AA Test"|"Show Up"|0
"20250426"|17|"AA00084"|"S045476"|"Finish AA test at 11:37 am and Reasoning at 12:15 pm"|"AA Test"|"Show Up"|0
"20250426"|18|"AA00084"|"S045476"|"Finish AA test at 11:37 am and Reasoning at 12:15 pm"|"AA Test"|"Show Up"|0
"20250501"|7|"AA00007"|""|"Tonbridge Hayley and Rugby Laura"|"Meeting"|""|0
"20250501"|8|"AA00007"|""|"Tonbridge Hayley and Rugby Laura"|"Meeting"|""|0
"20250501"|9|"AA00007"|""|"Tonbridge Hayley and Rugby Laura"|"Meeting"|""|0
"20250501"|10|"AA00007"|""|"Tonbridge Hayley and Rugby Laura"|"Meeting"|""|0
"20250425"|9|"AA00084"|""|"Job Interview - Education Consultant
Kay Tang (Shakespeare)"|"Interview with Kay"|"Show Up"|0
"20250425"|10|"AA00084"|""|"Job Interview - Education Consultant
Kay Tang (Shakespeare)"|"Interview with Kay"|"Show Up"|0
"20240821"|1|"AA00111"|""|""|""|""|0
"20240821"|2|"AA00111"|""|""|""|""|0
"20250425"|11|"AA00084"|""|"Job Interview - Education Consultant
Kay Tang (Shakespeare)"|"Interview with Kay"|"Show Up"|0
"20250425"|12|"AA00084"|""|"Job Interview - Education Consultant
Kay Tang (Shakespeare)"|"Interview with Kay"|"Show Up"|0
"20250430"|29|"AA00113"|""|"Iris from EdCity (LTE2025)"|"Others"|""|0
"20250430"|30|"AA00113"|""|"Iris from EdCity (LTE2025)"|"Others"|""|0
"20250430"|31|"AA00113"|""|"Iris from EdCity (LTE2025)"|"Others"|""|0
"20250430"|32|"AA00113"|""|"Iris from EdCity (LTE2025)"|"Others"|""|0
"20250502"|26|"AA00007"|""|"Meet Mrs Li, with Giles"|""|""|0
"20250502"|27|"AA00007"|""|"Meet Mrs Li, with Giles"|""|""|0
"20250502"|28|"AA00007"|""|"Meet Mrs Li, with Giles"|""|""|0
"20250428"|9|"AA00007"|"S044319"|"https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZWUzNjAwNWMtYjY1NC00ZTZiLWFkNjQtMTg1MWMyM2UyOTRi%40thread.v2/0?context=%7b%22Tid%22%3a%22d0733720-5464-4acf-9eeb-3253a2fb6e5e%22%2c%22Oid%22%3a%22c716dd3b-bad0-4384-93d4-bc3ae636c924%22%7d

Meeting ID: 476 020 546 529 
Passcode: XX2eE9Nk"|"Consultation"|""|0
"20250428"|10|"AA00007"|"S044319"|"https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZWUzNjAwNWMtYjY1NC00ZTZiLWFkNjQtMTg1MWMyM2UyOTRi%40thread.v2/0?context=%7b%22Tid%22%3a%22d0733720-5464-4acf-9eeb-3253a2fb6e5e%22%2c%22Oid%22%3a%22c716dd3b-bad0-4384-93d4-bc3ae636c924%22%7d

Meeting ID: 476 020 546 529 
Passcode: XX2eE9Nk"|"Consultation"|""|0
"20250428"|11|"AA00007"|"S044319"|"https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZWUzNjAwNWMtYjY1NC00ZTZiLWFkNjQtMTg1MWMyM2UyOTRi%40thread.v2/0?context=%7b%22Tid%22%3a%22d0733720-5464-4acf-9eeb-3253a2fb6e5e%22%2c%22Oid%22%3a%22c716dd3b-bad0-4384-93d4-bc3ae636c924%22%7d

Meeting ID: 476 020 546 529 
Passcode: XX2eE9Nk"|"Consultation"|""|0
"20250428"|12|"AA00007"|"S044319"|"https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZWUzNjAwNWMtYjY1NC00ZTZiLWFkNjQtMTg1MWMyM2UyOTRi%40thread.v2/0?context=%7b%22Tid%22%3a%22d0733720-5464-4acf-9eeb-3253a2fb6e5e%22%2c%22Oid%22%3a%22c716dd3b-bad0-4384-93d4-bc3ae636c924%22%7d

Meeting ID: 476 020 546 529 
Passcode: XX2eE9Nk"|"Consultation"|""|0
"20250426"|15|"AA00084"|""|""|"AA Test"|""|0
"20250426"|15|"AA00084"|"S045414"|""|"AA Test"|"Show Up"|0
"20250426"|12|"AA00115"|""|"Con only, temporary reserved for Jack, waiting for parent' s islash (GL 25/4)"|"AA Test"|""|0
"20250426"|12|"AA00084"|""|"temporary reserved"|"AA Test"|""|0
"20250429"|7|"AA00007"|"S043919"|""|""|""|0
"20250429"|8|"AA00007"|"S043919"|""|""|""|0
"20250429"|9|"AA00007"|"S043920"|""|""|""|0
"20250429"|10|"AA00007"|"S043920"|""|""|""|0
"20250425"|33|"AA00084"|"S044493"|"phone call: 9685 6596

唔叫"|"Others"|""|0
"20250425"|15|"AA00007"|""|""|"lunch with Giles"|""|0
"20250425"|16|"AA00007"|""|""|"lunch with Giles"|""|0
"20250425"|17|"AA00007"|""|""|"lunch with Giles"|""|0
"20250425"|18|"AA00007"|""|""|"lunch with Giles"|""|0
"20250425"|11|"AA00007"|"S044691"|""|"Consultation"|"Show Up"|0
"20250425"|10|"AA00007"|"S044691"|""|"Consultation"|"Show Up"|0
"20250425"|9|"AA00007"|"S044691"|""|"Consultation"|"Show Up"|0
"20250425"|29|"AA00007"|""|"call martin"|""|""|0
"20250425"|30|"AA00007"|""|"call martin"|""|""|0
"20250425"|31|"AA00007"|""|"meeting with Rita to discuss AA's Audited accounts"|"Others"|""|0
"20250425"|22|"AA00007"|""|"call Markus Kwan mum  at 9107-9866."|""|""|0
"20250425"|23|"AA00007"|""|"call Markus Kwan mum  at 9107-9866."|""|""|0
"20250425"|24|"AA00007"|""|"call Markus Kwan mum  at 9107-9866."|""|""|0
"20250508"|12|"AA00084"|""|"Job Interview - Education Consultant
Chelsea Chan - (Shakespeare)"|"Interview"|""|0
"20250425"|25|"AA00007"|"S043292"|"call mum - want to change s"|""|""|0
"20250425"|26|"AA00007"|"S043292"|"call mum - want to change s"|""|""|0
"20250425"|27|"AA00007"|"S043292"|"call mum - want to change s"|""|""|0
"20250428"|13|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|14|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|15|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|16|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|17|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|18|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|19|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|20|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|21|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|22|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|23|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250428"|24|"AA00007"|""|"lunch with malvern college head 
Ye Shanghai, 3f Pacific Place, Admiralty on Monday.  

The table is booked for us for 12.30pm and I’ve booked for 7, so if Canny does make it, we have the space."|""|""|0
"20250425"|13|"AA00007"|""|"meet Leanne"|""|""|0
"20250425"|14|"AA00007"|""|"meet Leanne"|""|""|0
"20250424"|19|"AA00084"|""|""|"Others"|""|0
"20250424"|20|"AA00084"|""|""|"Others"|""|0
"20250424"|21|"AA00084"|""|""|"Others"|""|0
"20250424"|22|"AA00084"|""|""|"Others"|""|0
"20250424"|19|"AA00115"|""|""|"Others"|""|0
"20250424"|20|"AA00115"|""|""|"Others"|""|0
"20250424"|21|"AA00115"|""|""|"Others"|""|0
"20250424"|22|"AA00115"|""|""|"Others"|""|0
"20250424"|23|"AA00115"|""|""|"Others"|""|0
"20250424"|24|"AA00115"|""|""|"Others"|""|0
"20250429"|21|"AA00115"|"S044430"|"Meet with Father"|"Others"|""|0
"20250429"|22|"AA00115"|"S044430"|"Meet with Father"|"Others"|""|0
"20250424"|12|"AA00115"|""|""|"Meeting"|"Show Up"|286
"20250424"|11|"AA00115"|""|""|"Meeting"|"Show Up"|286
"20250424"|10|"AA00115"|""|""|"Meeting"|"Show Up"|286
"20250424"|9|"AA00115"|""|""|"Meeting"|"Show Up"|286
"20250424"|23|"AA00007"|""|"Ellen-Kevin"|"Call_Ellen-Kevin"|""|0
"20250424"|24|"AA00007"|""|"Ellen-Kevin"|"Call_Ellen-Kevin"|""|0
"20250424"|25|"AA00007"|""|"Ellen-Kevin"|"Call_Ellen-Kevin"|""|0
"20250424"|27|"AA00115"|"S045088"|"Meet with Giles on Elite Entrance Consultation"|"Others"|""|0
"20250424"|28|"AA00115"|"S045088"|"Meet with Giles on Elite Entrance Consultation"|"Others"|""|0
"20250425"|29|"AA00133"|"S045337"|""|"Video Interview"|""|533
"20250425"|30|"AA00133"|"S045337"|""|"Video Interview"|""|533
"20250425"|31|"AA00133"|"S045337"|""|"Video Interview"|""|533
"20250425"|32|"AA00133"|"S045337"|""|"Video Interview"|""|533
"20250508"|9|"AA00084"|""|"Job Interview - Education Consultant
Chelsea Chan - (Shakespeare)"|"Interview"|""|0
"20250508"|10|"AA00084"|""|"Job Interview - Education Consultant
Chelsea Chan - (Shakespeare)"|"Interview"|""|0
"20250508"|11|"AA00084"|""|"Job Interview - Education Consultant
Chelsea Chan - (Shakespeare)"|"Interview"|""|0
"20250423"|27|"AA00007"|"S044190"|"AA test at 2 pm, oral and con after

start at 1:48pm
finish at 3:18pm"|"AA Test"|"Show Up"|0
"20250423"|28|"AA00007"|"S044190"|"AA test at 2 pm, oral and con after

start at 1:48pm
finish at 3:18pm"|"AA Test"|"Show Up"|0
"20250423"|29|"AA00007"|"S044190"|"AA test at 2 pm, oral and con after

start at 1:48pm
finish at 3:18pm"|"AA Test"|"Show Up"|0
"20250423"|30|"AA00007"|"S044190"|"AA test at 2 pm, oral and con after

start at 1:48pm
finish at 3:18pm"|"AA Test"|"Show Up"|0
"20250423"|38|"AA00007"|""|"meet edwin with grace"|"Others"|"Show Up"|0
"20250423"|37|"AA00007"|""|"meet edwin with grace"|"Others"|"Show Up"|0
"20250423"|36|"AA00007"|""|"meet edwin with grace"|"Others"|"Show Up"|0
"20250423"|35|"AA00007"|""|"meet edwin with grace"|"Others"|"Show Up"|0
"20250428"|9|"AA00122"|""|""|"Interview"|""|0
"20250428"|10|"AA00122"|""|""|"Interview"|""|0
"20250428"|11|"AA00122"|""|""|"Interview"|""|0
"20250428"|12|"AA00122"|""|""|"Interview"|""|0
"20250424"|27|"AA00007"|""|"meet jennifer with janet
alastair wong mum"|""|""|0
"20250424"|28|"AA00007"|""|"meet jennifer with janet
alastair wong mum"|""|""|0
"20250426"|35|"AA00007"|"S042498"|""|""|""|0
"20250426"|36|"AA00007"|"S042498"|""|""|""|0
"20250426"|37|"AA00007"|"S042498"|""|""|""|0
"20250426"|38|"AA00007"|"S042498"|""|""|""|0
"20250424"|29|"AA00007"|""|"arthur tang
video call"|""|""|0
"20250424"|30|"AA00007"|""|"arthur tang
video call"|""|""|0
"20250423"|41|"AA00007"|""|""|"Teams-Mia Iida"|""|0
"20250423"|42|"AA00007"|""|""|"Teams-Mia Iida"|""|0
"20250423"|43|"AA00007"|""|""|"Teams-Mia Iida"|""|0
"20250423"|44|"AA00007"|""|""|"Teams-Mia Iida"|""|0
"20250425"|19|"AA00129"|""|""|"Others"|""|0
"20250425"|20|"AA00129"|""|""|"Others"|""|0
"20250423"|9|"AA00084"|""|""|"Others"|""|0
"20250423"|10|"AA00084"|""|""|"Others"|""|0
"20250423"|11|"AA00084"|""|""|"Others"|""|0
"20250423"|12|"AA00084"|""|""|"Others"|""|0
"20250424"|17|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250424"|18|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250424"|19|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250424"|20|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250424"|21|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250424"|22|"AA00007"|""|"with Amanda Kwong - reserved"|"lunch"|""|0
"20250423"|45|"AA00007"|""|"Rugby Japan summer school"|"Others"|""|0
"20250424"|9|"AA00007"|""|"meet Mrs Li with Giles (Aiden and Aiken)"|"Others"|""|0
"20250424"|10|"AA00007"|""|"meet Mrs Li with Giles (Aiden and Aiken)"|"Others"|""|0
"20250423"|29|"AA00084"|""|"Job Interview - Education Client Success Specialist
Bernsy Kwong - (By Grace & Jesse - Shakespeare)"|""|""|0
"20240821"|3|"AA00111"|""|""|""|""|0
"20250423"|30|"AA00084"|""|"Job Interview - Education Client Success Specialist
Bernsy Kwong - (By Grace & Jesse - Shakespeare)"|""|""|0
"20250423"|31|"AA00084"|""|"Job Interview - Education Client Success Specialist
Bernsy Kwong - (By Grace & Jesse - Shakespeare)"|""|""|0
"20250423"|32|"AA00084"|""|"Job Interview - Education Client Success Specialist
Bernsy Kwong - (By Grace & Jesse - Shakespeare)"|""|""|0
"20250422"|27|"AA00007"|"S045473"|"finish AA test at 4:05pm"|"AA Test"|"Show Up"|0
"20250422"|28|"AA00007"|"S045473"|"finish AA test at 4:05pm"|"AA Test"|"Show Up"|0
"20250422"|29|"AA00007"|"S045473"|"finish AA test at 4:05pm"|"AA Test"|"Show Up"|0
"20250422"|30|"AA00007"|"S045473"|"finish AA test at 4:05pm"|"AA Test"|"Show Up"|0
"20250422"|31|"AA00007"|"S041084"|"meet winson- want to change school"|""|"Show Up"|0
"20250422"|32|"AA00007"|"S041084"|"meet winson- want to change school"|""|"Show Up"|0
"20250417"|31|"AA00084"|"S045107"|"f2f"|""|"Show Up"|0
"20250417"|30|"AA00084"|"S045107"|"f2f"|""|"Show Up"|0
"20250417"|29|"AA00084"|"S045107"|"f2f"|""|"Show Up"|0
"20250417"|34|"AA00007"|"S045152"|""|"Consultation"|"Show Up"|0
"20250417"|33|"AA00007"|"S045152"|""|"Consultation"|"Show Up"|0
"20250417"|32|"AA00007"|"S045152"|""|"Consultation"|"Show Up"|0
"20250417"|31|"AA00007"|"S045152"|""|"Consultation"|"Show Up"|0
"20250417"|38|"AA00115"|"S045470"|"f2f con only

File at reception"|"AA Test"|"Show Up"|0
"20250417"|37|"AA00115"|"S045470"|"f2f con only

File at reception"|"AA Test"|"Show Up"|0
"20250417"|36|"AA00115"|"S045470"|"f2f con only

File at reception"|"AA Test"|"Show Up"|0
"20250417"|35|"AA00115"|"S045470"|"f2f con only

File at reception"|"AA Test"|"Show Up"|0
"20250514"|35|"AA00007"|""|"Abingdon reception"|""|""|0
"20250514"|36|"AA00007"|""|"Abingdon reception"|""|""|0
"20250514"|37|"AA00007"|""|"Abingdon reception"|""|""|0
