"aa_id"|"examschool"|"examschooltype"|"subject"|"result"|"gov"|"cat"|"qualification"|"piece"|"composer"|"piority"|"lastupdate"|"staffid"|"remarks"|"event"
"S004273"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [result pending] Aug 2012"|"Intermezzo in A Op.118 No.2"|"Brahms"|2|"20120908200506"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004273"|""|"Music Audition"|"Cello"|""|"N/A"|""|"Trinity ATCL exam to be taken in Nov 2012"|"Prelude Suite No.1 BWV 1007 1st Movement"|"Bach"|1|"20120908200611"|"AA00003"|"Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005373"|""|"Music Audition"|"Viola"|""|"N/A"|""|"ABRSM G5 [114] May 2007"|""|""|2|"20120908202458"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005373"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [86] Nov 2011"|"Partita No.2 (Allemande)"|"Bach"|1|"20120908202524"|"AA00003"|"Member of Dr Yip's"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006132"|""|"Music Audition"|"Alto Saxophone"|""|"N/A"|""|"ABRSM G8 [133] Oct 2010"|"Sonata G minor BWV1020 1st Movement"|"Bach"|1|"20120908203622"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005373"|""|"Music Audition"|"Viola"|""|"N/A"|""|"ABRSM G8 [121] Oct 2010"|"Viola Concerto in B flat 3rd Movement"|"A. Stamitz"|2|"20120908204651"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009576"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [126] Nov 2011"|"4 Romantic Pieces Op.75 for Violin and Piano, Cavatina, Allegro Moderato"|"Antonín Dvořák"|1|"20120908210125"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007155"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G8 [103] Nov 2010"|"Suite No.1 in G 1st Movement"|"Bach"|1|"20120908210226"|"AA00003"|"Member of: School Full Orchestra, School String Orchestra, School Wind Band"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S003935"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [130] Oct 2009"|"Sonata in E flat major Hob. XVI:52 2nd Movement"|"Haydn"|1|"20120908211653"|"AA00003"|"Member of Diocesan Boys' School Senior Choir (member and accompanist)
Member of Diocesan Boys' School and Diocesan Girls' School Senior Mixed Choir (member and accompanist)"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S003935"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G5 [133] Apr 2007"|""|""|2|"20120908212202"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S003935"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G8 [133] Aug 2011"|"Danza, danza, fanciulla gentile"|"Francesco Durante"|2|"20120908212202"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009641"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [133] Apr 2012"|"Sonata in C minor Op.13 3rd Movement"|"Beethoven"|1|"20120908212923"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009641"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [111] Nov 2008"|"King for a Day"|"Dave Brubeck"|1|"20120908212923"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005378"|""|"Music Audition"|"Oboe"|""|"N/A"|""|"ABRSM G5 [108] May 2010"|"Six Metamorphoses after Ovid No.3"|"Britten"|1|"20120913191418"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005378"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [100] Sep 2010"|"Allegro: 1st Movement from Sonata in D, K. 284/205b"|"Mozart"|2|"20120913191910"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005378"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G4 [110] Oct 2008"|""|""|2|"20120913191910"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010005"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G5 [126] Sep 2008"|"Sonata in F Major HOB.XVI:23 1st Movement"|"Haydn"|1|"20120913193139"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010005"|""|"Music Audition"|"Violin"|""|"N/A"|""|"N/A"|""|""|2|"20120913193222"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010005"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [130] Nov 2010"|"French Suite No.5 in G BWV 816 1. Allemande 2. Courante"|"Bach"|1|"20120913193256"|"AA00003"|"Member of Dr Yip's"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009342"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [74] Apr 2012"|"Concerto in D major, K218 1st Movement"|"Mozart"|1|"20120913200204"|"AA00003"|"Member of Dr Yip's"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009696"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [122] Oct 2008"|"The Puppet's Dance, No.5 from Puppets, Book 1"|"Martinů"|2|"20120913201524"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009696"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [125] Sep 2006"|""|""|2|"20120913201524"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009696"|""|"Music Audition"|"Viola"|""|"N/A"|""|""|"Notturno for Viola and Piano, Op.42 2nd Movement"|"Beethoven"|1|"20120913201914"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009696"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Violin- No exam taken"|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211924"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009696"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [Pass] Jul 2012 (Cert to be issued in Oct 2012)"|""|""|3|"20120913212451"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009704"|""|"Music Audition"|"Percussion"|""|"N/A"|""|"ABRSM G7 [120] Sep 2010"|"Sicilienne"|"Kevin Hathway"|1|"20120913215138"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009704"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G8 [126] Oct 2011"|"The Sunshine of Your Smile"|"Lilian Ray"|2|"20120913222005"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009704"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G6 [135] Sep 2009"|""|""|2|"20120913222005"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009704"|""|"Music Audition"|"Percussion"|""|"N/A"|""|"ABRSM G8 [123] Oct 2011"|"Czardas"|"Monti"|1|"20120913222107"|"AA00003"|"Member of Hong Kong Youth Wind Philharmonia
Member of Hong Kong Children's Choir"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [140] Oct 2007"|"Sonate KV 310 2nd Movement"|"Mozart"|1|"20120916170817"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 exam to be taken in Oct 2012"|"Sonata in G major Op.13 3rd Movement"|"Edvard Grieg"|2|"20120916170830"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010006"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [137] Oct 2010"|"Czardas"|"Monti"|1|"20120916185608"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010101"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G6 [130] Sep 2009"|"Cantabile"|"Nicolò Paganini"|1|"20120916190002"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010101"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [118] Nov 2010 / G8 exam to be taken in Oct 2012"|"Sonata in F# minor Kp.25"|"Domenico Scarlatti"|2|"20120916190337"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010101"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G4 [126] Nov 2008"|""|""|2|"20120916190337"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010101"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [113] May 2012"|"Concerto in E major Op.3 No.12 1st Movement"|"Antonio Vivaldi"|1|"20120916190419"|"AA00003"|"Member of Hong Kong Music Academy"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009621"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity LTCL [74] Apr 2012"|"Partita No.5 Praeambulum"|"Bach"|1|"20120916191058"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009621"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [70] Nov 2010"|"Allegro de Concierto"|"Enrique Granados"|1|"20120916191058"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [124] Aug 2008"|"Sonata in A minor K310 1st Movement"|"Mozart"|1|"20120916191720"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Viola"|""|"N/A"|""|"ABRSM G6 [116] May 2008"|""|""|2|"20120916192248"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G8 [126] Sep 2010"|"Hong Dou Ci"|"Cao Xueqin"|3|"20120916192550"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G6 [124] Nov 2008"|""|""|3|"20120916192550"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] Nov 2010"|"Impromptu in B-flat D.935 3rd Movement"|"Schubert"|1|"20120916192832"|"AA00003"|"Member of Dr Yip's
Member of Diocesan Girls' School - String Orchestra
Member of Diocesan Girls' School - School Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006360"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [134] Aug 2009"|""|""|2|"20120916193515"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009570"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G7 [123] Sep 2009"|""|""|2|"20120916194405"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004683"|""|"Music Audition"|"Flute"|""|"N/A"|""|"ABRSM G7 [121] Oct 2010"|"Sonate für Flöte und Klavier, I. Heiterbewegt"|"Hindemith"|1|"20120916195141"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004683"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [111] Oct 2009"|""|""|2|"20120916195626"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009640"|""|"Music Audition"|"Trombone"|""|"N/A"|""|"ABRSM G7 [124] Nov 2008"|"Concerto Pour Trombone et Piano ou Orchestre 1st Movement"|"Launy Grøndahl"|1|"20120916214147"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009640"|""|"Music Audition"|"Trombone"|""|"N/A"|""|"ABRSM G8 [136] Sep 2009"|"Concerto for Trombone (arr. & ed Christopher Mowat)"|"Rimsky-Korsakov"|1|"20120916214500"|"AA00003"|"Member of School Wind Orchestra
Member of School Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007676"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G7 [134] Sep 2011"|"Romance Op 69 in A major"|"Gabriel Fauré"|1|"20120916215320"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007676"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G5 [131] Apr 2010"|"Rondo"|"Boccherini"|1|"20120916215320"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007676"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [133] Oct 2011"|"Prelude in D major"|"Bach"|2|"20120916215531"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007676"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G2 [131] Oct 2007"|""|""|2|"20120916215531"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [121] Sep 2009"|"Melodies 2nd Movement"|"Sergey Prokofiev"|1|"20120916215925"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [127] May 2011"|"Sonate Opus 24 1st Movement"|"Beethoven"|1|"20120916215930"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [61] Apr 2011"|"Intermezzo"|"Johannes Brahms"|2|"20120916215952"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [124] Oct 2009"|""|""|2|"20120916215956"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006827"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity ATCL [76] Nov 2010"|"Zigeunerweisen (Gypsy Airs) Op.20 No.1"|"Sarasate"|1|"20120916220654"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006827"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [133] Apr 2011"|"Sonata in C minor Op.13 1st Movement"|"Beethoven"|2|"20120916220959"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006827"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [95] May 2012"|"Sonata for Piano and Violin in A major 4th Movement"|"César Franck"|1|"20120916221009"|"AA00003"|"Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S002666"|""|"Music Audition"|"French Horn"|""|"N/A"|""|"ABRSM G3 [mark sheet misplaced] 2010"|"Romanze"|"Mozart"|1|"20120916221937"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S002666"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"N/A (please refer to the attached singing certificate)"|"Caro Mio Ben Thou All My Bliss Arietta"|"Giordanello"|2|"20120916222318"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S002666"|""|"Music Audition"|"French Horn"|""|"N/A"|""|"ABRSM G5 [mark sheet misplaced] 2012"|"March of the Gimps Gnomemarsh Marche des bioreux"|"Richard Bissill"|1|"20120916222439"|"AA00003"|"Member of Diocesan Boys' School Wind Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009810"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G5 [133] Oct 2007"|"Concerto No.2 in E major 1st Movement"|"Bach"|1|"20120916223209"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009810"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [120] Nov 2010"|"Cavatina from ""Six Morceaux"""|"Joseph Joachim Raff"|1|"20120916223232"|"AA00003"|"Member of Dr Yip's (2004-2011)"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009685"|""|"Music Audition"|"Piano"|""|"N/A"|""|""|"Sonetto 123 del Petrarca"|"Liszt"|1|"20120916224515"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009685"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Please refer to the attached certificates"|"Variations Brillantes in B-Dur Op.12"|"Chopin"|1|"20120916224722"|"AA00003"|"Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008487"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [128] Apr 2012"|"Partita No.2 in D minor BWV1004 4th Movement (GIGA)"|"Bach"|1|"20120916225300"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008487"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G5 [133] Oct 2010"|"Remembrances"|"John Williams"|1|"20120916225300"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008487"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G5 [118] Oct 2011"|"Theme from ""Schindler's List"" (Reprise)"|"John Williams"|2|"20120916225505"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008487"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G3 [135] Oct 2009"|""|""|2|"20120916225505"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009793"|""|"Music Audition"|"Percussion"|""|"N/A"|""|"ABRSM G8 [132] Sep 2009"|"Sonata For Timpani 2nd & 3rd Movements"|"John Beck"|1|"20120916230918"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009793"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [74] Nov 2010"|"Sonata Op.14 No.2 1st Movement"|"Beethoven"|2|"20120916231143"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009793"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [125] Sep 2008"|""|""|2|"20120916231143"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009954"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G8 [125] Apr 2012"|"Sonata in D minor, Op.40 1st Movement"|"Shostakovich"|1|"20120916235655"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009954"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G7 [121] Oct 2011"|"Sonate cis-Moll, Hob. XVI:36"|"Haydn"|2|"20120917000013"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009954"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G5 [130] Apr 2010"|""|""|2|"20120917000013"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007538"|""|"Music Audition"|"Cello"|""|"N/A"|""|"Trinity ATCL [78] Apr 2012"|"Suite III, Bourree I & II"|"Bach"|1|"20120917000945"|"AA00003"|"Member of HK 18 Symphony Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007538"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G8 [120] Aug 2010"|"Cello Concerto in C, 1st Movement"|"Haydn"|1|"20120917000945"|"AA00003"|"Member of HK 18 Symphony Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007538"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [113] Apr 2009"|"Sonata in C K.545 1st Movement"|"Mozart"|2|"20120917001306"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008050"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [140] Oct 2010"|"Trois Nocturnes I Larghetto"|"Chopin"|1|"20120917001838"|"AA00003"|"Member of Metropolitan Youth Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008050"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G7 [133] Oct 2009"|"Sonata in F Allegro"|"Mozart"|1|"20120917001838"|"AA00003"|"Member of Metropolitan Youth Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008050"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [138] Apr 2011"|"Sonata for Piano and Violin in F major Op.24 (Spring) Allegro"|"Beethoven"|2|"20120917002139"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008050"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G6 [120] May 2009"|""|""|2|"20120917002139"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009576"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G5 [122] Aug 2009"|"Sonata for Violin and Keyboard No.1 in B minor, BWV 1014 4th Movement"|"Bach"|1|"20120917005713"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006132"|""|"Music Audition"|"Alto Saxophone"|""|"N/A"|""|"Trinity ATCL [65] May 2012"|"Histoires pour Saxophone et Piano 1st, 2nd, 6th, 7th, 8th & 9th Movement"|"Jacques Ibert"|1|"20120917010122"|"AA00003"|"Member of Ying Wah College Band
Member of Ying Wah College Treble Choir"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010006"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [75] Oct 2011"|"Praeludium and Allegro"|"Kreisler"|1|"20120917011317"|"AA00003"|"Member of Dr Yip's
Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009954"|""|"Music Audition"|"Cello"|""|"N/A"|""|"Trinity ATCL [87] May 2012"|"Concerto in C major 1st Movement"|"Haydn"|1|"20120917014415"|"AA00003"|"Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008097"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [130] Sep 2008"|"Alligator Crawl"|"Fats Waller"|1|"20120918212623"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] May 2011"|"Rondo Capriccioso Op.14"|"Mendelssohn-Bartholdy"|1|"20120918213532"|"AA00003"|"Programme for Musically Gifted at St Paul's College
See also ""Summary of Achievements"""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
