"topschool_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
8|13|"20150924161645"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate and passport with the Reg Form."|"HK age ok"|"GBP75"|"Warwick School"
19|12|"20200924133158"|"AA00007"|""|""|"GBP200"|""
7|1|"20141002113342"|"30012"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque or bank transfer. 
Payment by direct bank transfers can be made both from within the UK and from abroad using the following bank details:
Account No: 61580430; Account Name: Abingdon School; Sort Code: 60-01-01; IBAN: GB52 NWBK 6001 0161 5804 30; BIC: NWBK GB 2L. Please use your child’s full name as the reference. eg. ""CHAN Man Ming - Reg Fee""
* Photo is needed for completing the Reg Form."|""|"GBP175"|"Abingdon School"
7|533|"20150924155143"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP100"|"The King’s School"
7|13|"20141002121135"|"AA00003"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate and passport with the Reg Form."|""|"GBP75"|"Warwick School"
7|4|"20141002124226"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please ignore the deadline of application (3 Oct 2014) on the application form, the deadline is revised to 7 Oct 2014 Tuesday."|""|"GBP250"|"GBC General"
11|4|"20141002160051"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please ignore the deadline of application (3 Oct 2014) on the application form, the deadline is revised to 7 Oct 2014 Tuesday."|""|"GBP250"|"GBC General"
7|2|"20140709114639"|"AA00003"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your daughter's birth certificate with the Reg Form.
* Please note that after you have registered, Badminton School will write to your present school to ask for a reference, please inform your present school."|""|"GBP100"|"Badminton School Limited"
12|4|"20141002160104"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please ignore the deadline of application (3 Oct 2014) on the application form, the deadline is revised to 7 Oct 2014 Tuesday."|""|"GBP250"|"GBC General"
7|16|"20141002180407"|""|"* Epsom College will use UKiset as their entrance exam.
* Complete the UKiset Application Form and return with a recent headshot photograph and the payment receipt to Academic Asia. The UKiset Test Fee is GBP200, can be paid either by bank transfer (bank details are available on the Application Form), credit card over the phone (3% charge), debit card (applicable to students applying in the UK).

* Academic Asia will send to UKiset for confirmation and get back to you with the test date. All UKiset test must be completed by 31st October, 2014. We would encourage you to apply to UKiset as early as possible."|""|""|""
7|9|"20141001130847"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form."|""|"GBP190"|"Lancing College"
18|4|"20190926114556"|"AA00029"|"Registration with Charterhouse is completed through the weblink below:

https://www.charterhouse.org.uk/admissions/registration-details

*The Registration Fee is GBP250 and can be paid through the weblink at the time when you register with the school. Please print out the online payment record and send it to your consultant-in-charge as a proof of payment. 

** Please note that 1 Oct 2019 is a public holiday, we suggest you email your proof of application to your Consultant-In-Charge by 30 Sep 2019. Thank you.

***Once applicants have completed the online registration, Charterhouse will email details of the entrance exam preparation notes to you. Please pay attention to school's email."|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam
-Iona is happy for us to send regff back to them on 2 Oct since 1 Oct is a public holiday in HK."|"GBP250"|"GBC General"
7|21|"20140709114820"|"AA00003"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport and parents business cards with the Reg Form."|""|"GBP350"|"Brighton College"
8|4|"20150916220316"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam"|"GBP250"|"GBC General"
7|7|"20141001130518"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate with the Reg Form.
* Please be reminded that after registration, Headington SchooI will conduct a second interview in HK. The interviewer is Mrs Herrmann, the charge will be HKD1730, please make payment direct to her. The Interview Venue: Island Shangri La Hotel. Time: Weekday mornings. The details will be informed later."|""|"GBP250"|"Headington School"
7|6|"20140709115253"|"AA00003"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|""|"GBP225"|"Harrow School General Fund"
7|12|"20140709115737"|"AA00003"|"* Tonbridge School prefers to receive original Reg Form, please go to Academic Asia office to collect a copy for completion.
* After you collect the original Reg Form, please complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP150"|"Tonbridge School"
7|22|"20140709115815"|"AA00003"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP125"|"Uppingham School"
19|3|"20200924172652"|"AA00029"|"Please find the following forms to facilitate your application to Bromsgrove School:

1. Registration Form
2. School Bank Details
3. Scholarship Application Form

* If you wish to apply, please complete the Registration Form and return to your consultant-in-charge by email together with the payment receipt of the Registration Fee. 
* Please arrange the payment by bank transfer only. 
* Please also submit a copy of your child's passport with the Reg Form.
* Photo is needed for completing the Reg Form."|""|"GBP200"|""
18|1|"20190802120054"|"AA00029"|"Registration with Abingdon School is completed through the weblink below:

https://www.abingdon.org.uk/registration_form

*The Registration Fee is GBP150 and can be paid through the weblink at the time when you register with the school. Please print out the online payment record and send it to your consultant-in-charge as a proof of payment. Thank you."|"HK age: accept dob from Jan

can consider Y9 Sep2021, if interested to apply, pls arrange interview, after interview, if school is happy with the interview, Pre-test date (12 Oct 2019), exam format:
(1) English Grammar (45mins)
(2) English Paper 1 (45mins)
(3) English Paper 2 - Writing (40 mins)
(4) Mathematics (50mins)
(5) Verbal Reasoning (60mins)
school then offer a place, but still need to do exam one year ahead for setting purpose"|"GBP150"|"Abingdon School"
14|13|"20170921114521"|"AA00071"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate and passport with the Reg Form."|"HK age ok, will interview Y9,10,12"|"GBP75"|"Warwick School"
14|1|"20170928222729"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque or bank transfer. 
Payment by direct bank transfers can be made both from within the UK and from abroad using the following bank details:
Account No: 61580430; Account Name: Abingdon School; Sort Code: 60-01-01; IBAN: GB52 NWBK 6001 0161 5804 30; BIC: NWBK GB 2L. Please use your child’s full name as the reference. eg. ""CHAN Man Ming - Reg Fee"""|"HK age: accept dob from Jan, 
can consider Y9 Sep2019, if interested to apply, pls arrange interview, after interview, if school is happy with the interview, the students will do a pre-test on 14 Oct 2017, exam format:
English essay - 30mins
English grammar - 45mins
Maths - 50 minutes (no calculator)
VR - 1 hour
Grammar - 45 minutes
school then offer a place, but still need to do exam one year ahead for setting purpose"|"GBP150"|"Abingdon School"
8|1|"20150916220142"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque or bank transfer. 
Payment by direct bank transfers can be made both from within the UK and from abroad using the following bank details:
Account No: 61580430; Account Name: Abingdon School; Sort Code: 60-01-01; IBAN: GB52 NWBK 6001 0161 5804 30; BIC: NWBK GB 2L. Please use your child’s full name as the reference. eg. ""CHAN Man Ming - Reg Fee""
* Photo is needed for completing the Reg Form."|"HK age: accept dob from Jan"|"GBP175"|"Abingdon School"
9|21|"20160921104103"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form."|"HK age ok"|"GBP350"|"Brighton College"
18|22|"20190803162110"|"AA00029"|"- If you wish to register with the school, please click onto the following link:  http://www.uppingham.co.uk/Registration

- The non-refundable registration fee of GBP200 is to be made online.  Alternatively, for telegraphic transfer, please refer to the attached bank details.

- Please kindly inform us after registration is successfully completed so we can follow up with the school.  Thank you."|"-Happy to consider Y9 Sep2021 entry
-HK age ok"|"GBP200"|"Uppingham School General Fund"
21|4|"20170928225253"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.

*Deadline is extended to 07-Oct-2017"|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam"|"GBP250"|"GBC General"
14|2|"20170929111502"|"AA00029"|"Registration with Badminton School is completed through the weblink below:

https://www.badmintonschool.co.uk/admissions/the-admissions-process

*The Registration Fee is GBP150 and can be payable through the weblink at the time when you register with the school. Please print out the online payment record and send it to your consultant in charge as proof of payment.
* Please also submit a copy of your child's birth certificate to your consultant in charge.

Badminton School will use UKiset to replace their own entrance exam. If your child has not taken UKiset, please find attached the application procedure for UKiset. If your child has taken UKiset within the past sixth months, there is no need to do the test again. When making application to UKiset, please add ""Badminton School"" to the one of the 5 selected schools on the online form."|"HK age ok

exam: will use UKiset, deadline of UKiset: (TBC)"|"GBP150"|"Badminton School Limited"
9|22|"20160921104842"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"HK age ok

20160616:

For 2017 entry:
 
•         We will have space for girls to join year 9 and to join year 10. 
 
•         There will be very few, if any, places for boys to join in year 10 in 2017. We have already taken our maximum number of HK pupils into year 9 in 2016, hence it’s unlikely there will be space for more HK pupils to join us in year 10.
 
•         There was a larger number of boys pre-testing in September 2015 for entry than usual which limits scope for further year 9 applicants but history suggests spaces do become available. We would be happy to consider a few candidates here. 
 
For 2018 entry: 
 
•         We would be very pleased to meet and interview prospective year candidates to join us in 2018."|"GBP125"|"Uppingham School General Fund"
8|22|"20150924161607"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"HK age ok"|"GBP125"|"Uppingham School General Fund"
9|3|"20160921104130"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* Photo is needed for completing the Reg Form."|"HK age ok"|"GBP100"|"Bromsgrove School"
16|6|"20160921105810"|"AA00029"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|"HK age : accept dob fom Feb
Dr Sie however prefers correct age if possible"|"GBP300"|"Harrow School General Fund"
19|22|"20201014235811"|"AA00007"|"Please register with Uppingham School via the weblink below:

https://www.uppingham.co.uk/admissions/registration

The non-refundable Registration Fee of GBP200 is payable through the weblink at the time of registration. 

*Please email the online payment record to your consultant in charge as proof of payment.
** Please also email a colour copy of your child's birth certificate to your consultant-in-charge."|""|"GBP200"|""
9|11|"20160921104748"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"HK age ok"|"GBP100"|"Shrewsbury School"
14|22|"20170919130603"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-very limited space available for year 9 girls 2018 entry.
-if a candidate has sat a UKiset for another school, pls send school the same information would exempt the pupil from writing another essay.
-happy to consider Y9 Sep2019 entry
-HK age ok"|"GBP125"|"Uppingham School General Fund"
15|4|"20160921105849"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam"|"GBP250"|"GBC General"
14|12|"20170919130112"|"AA00007"|"* Tonbridge School prefers to receive original Reg Form, please go to Academic Asia office to collect the form for completion.
* After you collect the original Reg Form, please complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft/sterling pound cheque or bank transfer. The school bank details are stated on the Registration Form."|"-HK age: accept dob fr March
-Exam cannot be rescheduled if clash other school exam, move other school exam
-past paper available on school web
-deadline on website is 1 Sep 2017, not applicable to TS students
MD is happy to meet 2019 students and if interview slot is available, can arrange 2019 students to attend interview
20170809: TB's development director is also visiting HK in Sep in TS time with Mr Leale and he is organising an event for current parents and Old Tonbridgians, they will not invite prospective families on this occasion.
The school will hold another event in March 2018 in HK and will be inviting parents of those who have been offered and have accepted places for 2018 entry to this one.
(it does mean that the school will not hold any event for prospective families. by B)"|"GBP200"|"Tonbridge School"
8|533|"20150924155148"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"Junior King's will send exam papers on 6 Jan 2015_cfmed by school
HK age ok
past paper available on school web"|"GBP200(SeniorY9-13)/GBP100(Junior Y7-8)"|"The King’s School"
8|11|"20150924123615"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"HK age ok"|"GBP100"|"Shrewsbury School"
9|4|"20160921104205"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam"|"GBP250"|"GBC General"
14|11|"20170927213259"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"HK age ok
school website provides sixth form past papers"|"GBP100"|"Shrewsbury School"
8|2|"20150924130334"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your daughter's birth certificate with the Reg Form.
* Please note that after you have registered, Badminton School will write to your present school to ask for a reference, please inform your present school."|"HK age ok
Badminton will have a seminar and reception in BC on 17 Sep. Details below:
Event:                   Badminton School Information Reception 
Date:                    Thursday 17th September 2015 
Time:                    7.00pm to 9.00pm 
Location:             The British Council Offices, 3/F, British Council, 3 Supreme Court Road, Admiralty"|"GBP100"|"Badminton School Limited"
8|21|"20150924131219"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form."|"HK age ok"|"GBP350"|"Brighton College"
8|3|"20150924131604"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* Photo is needed for completing the Reg Form."|"20150605: school will not consider Y10 application for Sep2016+
-HK age ok"|"GBP100"|"Bromsgrove School"
9|9|"20160921104711"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* Lancing College will use UKiset as their entrance exam. 
* Please apply UKiset through their Online Registration, please find attached the application procedure for your reference. 
* Please notify Academic Asia after you have made the Online Registration and advise us the date and time your child wish to take UKiset, all UKiset test must be completed by 31st October, 2016. We would encourage you to apply to UKiset as early as possible.
* If your child has already taken UKiset within the past 6 months, there is no need to do the UKiset again, please kindly send us the UKiset scores and we will instruct UKiset to send the full report to Lancing College for assessment."|"20160606: Lancing will continue to use UKiset to replace their entrance exam for all year group. All students have to do UKiset by 31-Oct-2016

HK age ok"|"GBP190"|"Lancing College"
9|12|"20160921104818"|"AA00029"|"* Tonbridge School prefers to receive original Reg Form, please go to Academic Asia office to collect the form for completion.
* After you collect the original Reg Form, please complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-HK age: accept dob fr March
-Exam cannot be rescheduled if clash other school exam, move other school exam
-past paper available on school web"|"GBP200"|"Tonbridge School"
14|6|"20170919132338"|"AA00007"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|"MD will pre-audition 2019 students
HK age : accept dob from Feb
Dr Sie however prefers correct age if possible"|"GBP325"|"Harrow School General Fund"
13|4|"20150924162208"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|"-HK age ok
-Exam cannot be rescheduled if clash other school exam, move other school exam"|"GBP250"|"GBC General"
17|384|"20180705204829"|"AA00007"|"Your Consultant-In-Charge will email to you separately regarding the application procedure as soon as possible."|"-For Y9 Sep2019 & 2020 entry, schools are looking for scholarship applications only. Must meet benchmark.After interview, school will encourage them to apply for scholarship and the students will have to fly to the UK for the assessment.
-Y12 Sep2019: Assessment day is 22 Nov 2018. students are allowed to do 2 subjects papers nearer the assessment day in HK, but have to fly to the UK before 1 Dec when result released
-MD & Interviewer: special request, ideally, free interviewer with the slots when MD has auditions, interviewer wants to attend audition 
-can interview Sep2021 students"|""|""
18|13|"20190803162458"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.

* Please also submit a copy of your child's birth certificate with the Reg Form."|"HK age ok, will interview Y9,10,12"|"GBP75"|"Warwick School"
14|384|"20170929143720"|"AA00007"|"Your Consultant-In-Charge will email to you separately regarding the application procedure as soon as possible."|"-For Y9 Sep2018 & 2019 entry, schools are looking for scholarship applications only. Must meet benchmark.After interview, school will encourage them to apply for scholarship and the students will have to fly to the UK for the assessment.
-Y12 Sep2018: entrance exam on 16 Nov 2017. all students have to fly to the UK before 1 Dec before result released
-MD: will be in HK on sat only, will see 2018 & 2019 students
-can interview Sep2020 students"|""|""
14|16|"20170919132416"|"AA00007"|"* Epsom College will use UKiset as their entrance exam. There is no need to complete Epsom's registration form and pay for the fee before the school receives the UKiset score.
* Apply UKiset through their Online Registration, please find attached the application procedure for your reference. 
* Please notify Academic Asia after you have made the Online Registration and advise us the date and time your child wish to take UKiset, all UKiset test must be completed by 31st October, 2017. We would encourage you to apply to UKiset as early as possible.
* If your child has already taken UKiset within the past 6 months, there is no need to do the UKiset again, please kindly send us the UKiset scores and we will instruct UKiset to send the full report to Epsom College for assessment."|"-HK age ok
-Will continue to use UKiset, DL to complete UKiset is 31.Oct.2017, school will advise if students are invited to apply after they have seen UKiset score.
-when prepare student details, pls put UKiset score after BI if available"|""|""
9|13|"20160921104904"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate and passport with the Reg Form."|"HK age ok"|"GBP75"|"Warwick School"
9|16|"20160923084554"|"AA00007"|"* Epsom College will use UKiset as their entrance exam. There is no need to complete Epsom's registration form and pay for the fee before the school receives the UKiset score.
* Apply UKiset through their Online Registration, please find attached the application procedure for your reference. 
* Please notify Academic Asia after you have made the Online Registration and advise us the date and time your child wish to take UKiset, all UKiset test must be completed by 31st October, 2016. We would encourage you to apply to UKiset as early as possible.
* If your child has already taken UKiset within the past 6 months, there is no need to do the UKiset again, please kindly send us the UKiset scores and we will instruct UKiset to send the full report to Epsom College for assessment."|"Will continue to use UKiset, DL to complete UKiset is 31.Oct.2016
HK age ok"|""|""
8|6|"20160921104939"|"AA00029"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|"HK age : accept dob fom Feb"|"GBP300"|"Harrow School General Fund"
9|6|"20160921105225"|"AA00029"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|"HK age : accept dob fom Feb
Dr Sie however prefers correct age if possible"|"GBP300"|"Harrow School General Fund"
9|7|"20160922175121"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* There will be an examination form which also needed to be completed. We will email the examination form to you once we have received from the school.
* Please be reminded that after registration, Headington SchooI will conduct a second interview in HK. The interviewer is Mrs Herrmann, the charge will be HKD1860, please make payment direct to her. The Interview Venue: Island Shangri La Hotel. Time: Weekday mornings. The details will be informed later."|"HK age ok
HEADINGTON WILL NOT CONSIDER UNDERAGED STUDENTS EVEN THEY HAVE IGCSE RESUULT-VERY FIRM POLICY"|"GBP250"|"Headington School"
14|7|"20170906151047"|"AA00029"|"* Complete the Registration Form and Examination Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* Please be reminded that after registration, Headington SchooI will conduct a second interview in HK. The interviewer is Mrs Herrmann, the charge will be HKD1920, please make payment direct to her. The Interview Venue: Island Shangri La Hotel. Time: Weekday mornings. The details will be informed later."|"HK age ok
HEADINGTON WILL NOT CONSIDER UNDERAGED STUDENTS EVEN THEY HAVE IGCSE RESUULT-VERY FIRM POLICY
THE SCHOOL WILL NO LONGER CONSIDER YEAR8 ENTRY.
Drinks Reception 23 Sep 2017 6.30pm-8.30pm HK Bankers Club"|"GBP250"|"Headington School"
8|16|"20150925095936"|"AA00007"|"* Epsom College will use UKiset as their entrance exam. There is no need to complete Epsom's registration form and pay for the fee before the school receives the UKiset score.
* Apply UKiset through their Online Registration, please find attached the application procedure for your reference. 
* Please notify Academic Asia after you have made the Online Registration and advise us the date and time your child wish to take UKiset, all UKiset test must be completed by 31st October, 2015. We would encourage you to apply to UKiset as early as possible.
* If your child has already taken UKiset within the past 6 months, there is no need to do the UKiset again, please kindly send us the UKiset scores and we will instruct UKiset to send the full report to Epsom College for assessment."|"Will continue to use UKiset, DL to complete UKiset is 31.Oct.2015
HK age ok"|""|""
9|1|"20160921103604"|"AA00029"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque or bank transfer. 
Payment by direct bank transfers can be made both from within the UK and from abroad using the following bank details:
Account No: 61580430; Account Name: Abingdon School; Sort Code: 60-01-01; IBAN: GB52 NWBK 6001 0161 5804 30; BIC: NWBK GB 2L. Please use your child’s full name as the reference. eg. ""CHAN Man Ming - Reg Fee""
* Photo is needed for completing the Reg Form."|"HK age: accept dob from Jan"|"GBP150"|"Abingdon School"
