"topschool_id"|"topschoolname"|"topschoolstartdate"|"topschoolenddate"|"topschoollocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
22|"TOP SCHOOLS WEEKEND 2017 FRIDAY"|"20170922"|"20170922"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"161500"|"164500"|15|"20190925162307"|"AA00079"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2017. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
17|"TOP SCHOOLS WEEKEND 2018"|"20180922"|"20180924"|"INTERVIEW VENUE: 2/F & 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong 
面試地點：香港銅鑼灣告士打道 281 號,怡東酒店2 及3樓"|"090000"|"190000"|15|"20190924120337"|"AA00079"|"On the day of interview/s, please report to 3/F for registration and submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請到3樓登記及親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2018. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
34|"TOP SCHOOLS 2021_TONBRIDGE_SCHOOL"|"20210917"|"20210917"|"tbc"|"051000"|"090500"|5|"20220927115418"|"AA00079"|""
8|"TOP SCHOOLS WEEKEND 2015"|"20150919"|"20150921"|"INTERVIEW VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"091500"|"183000"|15|"20150925173104"|"AA00007"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2015. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
13|"TOP SCHOOLS WEEKEND 2015 TUESDAY"|"20150922"|"20150922"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"093000"|"180000"|15|"20150925173127"|""|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2015. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
15|"TOP SCHOOLS WEEKEND 2016 TUESDAY"|"20160920"|"20160920"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"093000"|"144500"|15|"20160904114720"|""|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2016. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
36|"TOP SCHOOLS 2022_VIRTUAL (MONDAY)"|"20220926"|"20220926"|"INTERVIEW VENUE: Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, HK
面試地點： Academic Asia, 香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"205500"|20|"20220822104709"|"AA00079"|"On the day of interview/s, please report to 14/F for registration.The duration of the interview is 15 mins. For student attending music audition, please report to HKFA, the duration is 30 mins. *Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements Result of the interviews and auditions will be announced online on 28 Sep after 5.30pm, the login ID and password will be sent on 27 Sep by email. 
面試當日，請到14樓。面試為15分鐘。如學生申請音樂獎學金，請到香港長笛藝術學院登記，試奏為30分鐘。考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，將另行安排。面試結果將於9月28日下午五時三十分後於網上公佈，學生將於9月27日透過電子郵件收到附有登入賬號和密碼的附件。"
7|"TOP SCHOOLS WEEKEND 2014"|"20140927"|"20140929"|"INTERVIEW VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"091500"|"183000"|15|"20140925111643"|"AA00003"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2014. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
10|"TOP SCHOOLS WEEKEND 2013 TUESDAY"|"20130924"|"20130924"|"VENUE: Room 2007-9, Hang Lung Centre, 2-20 Paterson Street, Causeway Bay, Hong Kong
香港銅鑼灣百德新街2-20號恆隆中心2007-9室"|"093000"|"131500"|15|"20130927175909"|"AA00003"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school, don't forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表(護照尺寸)，請在相片後面寫上學生名字。
* Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements.考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2013. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
6|"TOP SCHOOLS WEEKEND 2013"|"20130921"|"20130923"|"3/F, The Excelsior Hotel, 281 Gloucester Road , Causeway Bay, Hong Kong
香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"091500"|"183000"|15|"20130927182707"|""|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school, don't forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表(護照尺寸)，請在相片後面寫上學生名字。
* Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements.考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2013. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
4|"TOP SCHOOLS WEEKEND 2012"|"20120922"|"20120924"|"3/F, The Excelsior Hotel, 281 Gloucester Road , Causeway Bay, Hong Kong"|"093000"|"183000"|15|"20160718111236"|"AA00007"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school, don't forget to put your name at the back of the photo.
面試當日，請親身遞交一張近照給學校代表(護照尺寸)，請在相片後面寫上學生名字。"
19|"TOP SCHOOLS 2020_VIRTUAL"|"20200914"|"20200920"|"INTERVIEW VENUE: Confucius Hall Secondary School, 77 Caroline Hill Road, Causeway Bay, Hong Kong 
面試地點：香港銅鑼灣加路連山道77號孔聖堂中學"|"140000"|"220000"|20|"20210929105038"|"AA00079"|"On the day of interview/s, please report to 1/F for registration.The duration of the interview is 15 mins. For student attending music audition, the duration is 30 mins.  面試當日，請到1樓登記。面試為15分鐘, 音樂獎學金試奏為30分鐘。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, the login ID and password will be given on 22 Sep by email. 面試結果將於網上公佈，學生將於9月22日透過電子郵件收到附有登入賬號和密碼的附件。"
35|"TOP SCHOOLS 2022_TONBRIDGE SCHOOL"|"20220919"|"20220923"|"Tonbridge School Sep2023 Entry_Y9, Y10, Y12 Applicant_Deadline to attend AA test (10 Sep 2022)
See separate application procedure"|"000000"|"235500"|15|"20220623151705"|"AA00007"|""
20|"TOP SCHOOLS 2021_VIRTUAL"|"20210920"|"20210925"|"INTERVIEW VENUE: 10/F, Regal HongKong Hotel, 88 Yee Wo Street, Causeway Bay, Hong Kong 
面試地點：富豪香港酒店10樓, 香港銅鑼灣怡和街88號"|"150000"|"205500"|20|"20220927115401"|"AA00079"|"On the day of interview/s, please report to 10/F Regal HongKong Hotel for registration.The duration of the interview is 15 mins. For student attending music audition, please report to HKFA, the duration is 30 mins. *Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements Result of the interviews and auditions will be announced online on 2 Oct after 5.30pm, the login ID and password will be sent on 28 Sep by email. 
面試當日，請到富豪香港酒店10樓登記。面試為15分鐘。如學生申請音樂獎學金，請到香港長笛藝術學院登記，試奏為30分鐘。考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，將另行安排。面試結果將於10月2日下午五時三十分後於網上公佈，學生將於9月28日透過電子郵件收到附有登入賬號和密碼的附件。"
23|"TOP SCHOOLS 2022_VIRTUAL"|"20220919"|"20220924"|"INTERVIEW VENUE: 10/F, Regal HongKong Hotel, 88 Yee Wo Street, Causeway Bay, Hong Kong 
面試地點：富豪香港酒店10樓, 香港銅鑼灣怡和街88號"|"150000"|"205500"|20|"20220822103114"|"AA00079"|"On the day of interview/s, please report to 10/F Regal HongKong Hotel for registration.The duration of the interview is 15 mins. For student attending music audition, please report to HKFA, the duration is 30 mins. *Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements Result of the interviews and auditions will be announced online on 28 Sep after 5.30pm, the login ID and password will be sent on 27 Sep by email. 
面試當日，請到富豪香港酒店10樓登記。面試為15分鐘。如學生申請音樂獎學金，請到香港長笛藝術學院登記，試奏為30分鐘。考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，將另行安排。面試結果將於9月28日下午五時三十分後於網上公佈，學生將於9月27日透過電子郵件收到附有登入賬號和密碼的附件。"
33|"TOP SCHOOLS 2021_VIRTUAL (MONDAY)"|"20210927"|"20210927"|"INTERVIEW VENUE: Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, HK
面試地點： Academic Asia, 香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"150000"|"210000"|20|"20220927115343"|"AA00079"|"On the day of interview/s, please report to 14/F for registration.The duration of the interview is 15 mins. For student attending music audition, please report to HKFA, the duration is 30 mins. *Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements Result of the interviews and auditions will be announced online on 2 Oct after 5.30pm, the login ID and password will be sent on 28 Sep by email. 
面試當日，請到14樓。面試為15分鐘。如學生申請音樂獎學金，請到香港長笛藝術學院登記，試奏為30分鐘。考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，將另行安排。面試結果將於10月2日下午五時三十分後於網上公佈，學生將於9月28日透過電子郵件收到附有登入賬號和密碼的附件。"
25|"TOP SCHOOLS WEEKEND 2023"|"20230923"|"20230925"|"INTERVIEW VENUE: (23-24 Sep) Crowne Plaza Hong Kong, 8 Leighton Road, Causeway Bay. 
INTERVIEW VENUE: (25 Sep) Academic Asia Office"|"090000"|"184500"|15|"20230912004553"|"AA00007"|"On 23-24 Sep, please report to 6/F Crowne Plaza for registration. On 25 Sep, please come to AA Office. The interview is 15 mins.  Each student is required to submit a recent passport-sized photo to the interviewer/s, with their name written on the back. Result of the interviews will be announced online on Friday, 29 Sept at 12.30pm. The login ID and password will be sent on or before 28 Sept by email. For students attending music auditions, please report to AA Office and the duration is 30 mins.* The exam dates listed are for your reference. Shortlisted students will be invited to register with the schools and attend their entrance exams. Separate arrangements will be made if the exam dates are clashed. 面試當日，請學生到香港銅鑼灣皇冠假日酒店6樓登記。面試時間為15分鐘。學生須於面試時親身遞交一張近照給學校代表（護照尺寸），請於相片後面寫上名字。面試結果將於9月29日上午12時半於網上公佈。學生將於9月28日或之前透過電子郵件收到登入賬號和密碼。如學生申請音樂獎學金，請到AA辦公室登記，試奏為30分鐘。考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。"
37|"TOP SCHOOLS WEEKEND 2024 (MONDAY)"|"20240923"|"20240923"|"INTERVIEW VENUE: Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, HK
面試地點： Academic Asia, 香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"090000"|"120000"|30|"20240917165021"|"AA00082"|""
26|"TOP SCHOOLS WEEKEND 2024"|"20240921"|"20240922"|"INTERVIEW VENUE: Level 12, The Park Lane Hotel, 310 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道310號 香港栢寧酒店 12樓"|"090000"|"190000"|15|"20240907132200"|"AA00098"|"On 21-22 Sep, please report to 12/F Park Lane Hotel for registration.  The interview is 15 mins.  Each student is required to submit a recent passport-sized photo to the interviewer/s, with their name written on the back. Results of the interviews will be announced by email on Friday, 27 Sept at 5.00 pm. For students attending music auditions, please report to 26/F Park Lane Hotel and the duration is 30 mins. *The exam dates listed are for your reference. Shortlisted students will be invited to register with the schools and attend their entrance exams. Separate arrangements will be made if the exam dates are clashed.
面試當日，請學生到香港銅鑼灣柏寧酒店12樓登記。面試時間為15分鐘。學生須於面試時親身遞交一張近照給學校代表（護照尺寸），請於相片後面寫上名字。面試結果將於9月27日下午5時由顧問發電子郵件公佈。如學生申請音樂獎學金，請到柏寧酒店26樓登記，演奏為30分鐘。*考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。"
27|"TOP SCHOOLS WEEKEND 2025"|"20250920"|"20250922"|"INTERVIEW VENUE: The Park Lane Hotel, 310 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道310號 香港栢寧酒店 12樓"|"090000"|"200000"|20|"20250811180941"|"AA00007"|""
