"school_id"|"banktype"|"currency"|"bankname"|"bankacc"|"bankaddress"|"ibankacc"|"swift"|"sortcode"|"ibanno"|"remarks"|"lastupdate"|"staffid"|"billingname"
89|"Course"|"GBP"|"Barclays Bank Plc"|"90225762"|"The Old Bank, High Street, Lewes, East Sussex, BN7 2JP"|"Burgess Hill School for Girls No 4 Account"|""|"20-49-76"|""|""|"20130525"|""|""
136|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"03331173"|""|"Dauntsey School"|"LOYDGB21202"|"30-92-63"|"GB87LOYD30926303331173"|"Could you please ensure that the transaction includes the name of the pupil concerned, this will enable the Accounts Department to identify the payment when it is received. Thank you."|"20130525"|""|""
107|"Course"|"GBP"|"Allied Irish Bank"|"1302 7585"|"9 Waterloo Road, Wolverhampton, WV1 4NB"|"Chase Academy Ltd"|"AIBKGB2L"|"23-85-85"|"GB30AIBK23858513027585"|"Please make sure you write the student's name on the transfer document so that fees can be allocated to the correct account."|"20130525"|""|"Chase Grammar School"
507|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"02178912"|"64 Fore Streetm Trowbridge, Wilts, BA14 8EU"|"Stonar School"|"LOYDGB21205"|"30-98-75"|"GB92LOYD30987502178912"|""|"20130525"|""|"Stonar School"
303|"Course"|"GBP"|"National Westminster Bank Plc"|"67743811"|"5 Broad Street, Wokingham, RG40 1AX"|"Luckley-Oakfield School"|"NWBKGB2L"|"60-24-21"|"GB61NWBK60242167743811"|""|"20130525"|""|"Luckley House School"
547|"Course"|"GBP"|"Barclays Bank Plc"|"80772208"|"Farnham, Surrey"|"The Royal School"|"BARCGB22"|"20-31-06"|"GB75BARC20310680772208"|""|"20130525"|""|"Royal School Haslemere"
547|"Course"|"GBP"|"Barclays Bank plc"|"93367665"|"Farnham, Surrey"|"The Royal School Haslemere"|"BARCGB22"|"20-31-06"|"GB80 BARC 2031 0693 3676 65"|""|"20131210104043"|"AA00025"|""
337|"Course"|"GBP"|"National Westminster Bank Plc"|"44562985"|"44 High Street, Oakham Rutland LE15 6NZ"|"Oakham School General Fund"|"NWBKGB2L"|"01-06-34"|"GB03NWBK01063444562985"|""|"20130525"|""|"Oakham School"
373|"Course"|"GBP"|"National Westminster Bank Plc"|"80810012"|"169 Victoria Street, London, SW1E 5BT"|"The Royal Foundation of Grey Coat Hospital (QAS Account)"|"NWBKGB2L"|"51-50-14"|"GB30NWBK51501480810012"|"Please give the name of the girl on all correspondence"|"20130525"|""|"Queen Anne's School"
373|"Course"|"GBP"|"Natwest Bank"|"8081 0012"|"169 Victoria Street SW1E 5BT"|"The Royal Foundation of Grey Coat Hospital (QAS Account)"|"NWBKGB2L"|"51-50-14"|"GB30NWBK51501480810012"|""|"20131212140841"|"AA00038"|""
373|"Course"|"GBP"|"National Westminster Bank Plc"|"80810012"|"169 Victoria Street, London, SW1E 5BT"|"The Royal Foundation of Grey Coat Hospital (QAS Account)"|"NWBKGB2L"|"51-50-14"|"GB30NWBK51501480810012"|"Please give the name of the girl on all correspondence"|"20131212141022"|"AA00038"|"Queen Anne's School"
377|"Course"|"GBP"|"Yorkshire Bank"|"25467810"|"46 Coney Street, York, YO1 9NQ"|"Queen Margaret's School York Ltd"|"YORKGB21994"|"05-09-84"|"GB98YORK05099425467810"|""|"20130525"|""|"Queen Margaret's School"
213|"Course"|"GBP"|"Barclays Bank Plc"|"20470929"|"8 Market Place, Kettering, Northants, NN16 0AX"|"United Church schoolbank Trust Hampshire Collegiate"|"BARCGB22"|"20-45-77"|"GB12BARC20457720470929"|""|"20130525"|""|"Hampshire Collegiate School"
213|"Course"|"GBP"|"Barclays Bank Plc"|"20470929"|"8 Market Place, Kettering, Northants, NN16 0AX"|"United Church schoolbank Trust Hampshire Collegiate"|"BARCGB22"|"20-45-77"|"GB12BARC20457720470929"|"Reg Fees and Deposit only"|"20140109163856"|"AA00025"|"Hampshire Collegiate School"
524|"Course"|"GBP"|"HSBC"|"81781235"|"17 North Street, Taunton, Somerset TA1 1NA"|"Taunton School (TISC)"|"MDLGB2112B"|"40-44-04"|"GB15MIDL40440481781235"|""|"20130525"|""|"Taunton School"
40|"Registration Fee"|"GBP"|"Barclays Bank Plc"|"70307807"|"8 Market Place, Kettering, Northants, NN16 0AX"|"Ashford School"|"BARCGB22"|"20-45-77"|"GB43BARC20457770307807"|"Please include the PUPIL NAME on the transfer reference"|"20130525"|""|"Ashford School"
40|"Deposit"|"GBP"|"Barclays Bank Plc"|"90576506"|"8 Market Place, Kettering, Northants, NN16 0AX"|"Ashford School"|"BARCGB22"|"20-45-77"|"GB61BARC20457790576506"|"Please state 'ASH' followed by PUPIL NAME on the transfer reference"|"20130525"|""|"Ashford School"
507|"Course"|"GBP"|"Lloyds Banking Group"|"59597468"|"-"|"NACE Educational Services Limited – Stonar School"|"-"|"30-96-96"|"-"|""|"20131101181708"|"AA00025"|""
58|"Course"|"GBP"|"National Westminster Bank Plc"|"06607578"|"199 High Street, Berkhamsted, HP4 1AW"|"Berkhamsted School"|"NWBKGB2L"|"60-02-21"|"GB64NWBK600221066075"|""|"20130525"|""|"Berkhamsted School"
641|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00871833"|""|"Westbourne School"|"LOYDGB21553"|"30-96-52"|"GB88LOYD30965200871833"|""|"20130525"|""|"Westbourne School"
101|"Others"|"GBP"|"Lloyd TSB"|"41362860"|"514 Cowbridge Road East, Victoria Park, Cardiff, CF5 1BL"|"Ayass Ltd"|"LOYDGB21454"|"30-98-94"|"GB43LOYD30989441362860"|"For Summer Course"|"20140220095236"|"AA00025"|""
554|"Course"|"GBP"|"Royal Bank of Scotland"|"11927778"|"Long Eaton branch"|""|"RBOSGB2L"|"16-24-21"|"GB14RBOS16242111927778"|""|"20130528120211"|"AA00025"|"Trent College"
21|"Course"|"GBP"|"National Westminster Bank Plc"|"04275977"|"Churchill Square, 56 Churchill Square, Brighton BN1 2ES"|"Brighton College"|"NWBKGB2L"|"01-01-23"|"GB66NWBK01012304275977"|"To assist us with tracing your payment, when making a bank transfer, please use the child's full name and date of birth as the ‘Transaction Reference or Payment Details'."|"20130525"|""|"Brighton College Services"
89|"Course"|"GBP"|"Barclays Bank Plc"|"90225762"|"Barclays Business Banking, Sussex & Gatwick Team, PO Box 165, 90/92 High Stree, Crawley, BX3 2BB"|"Burgess Hill School for Girls No 4 Account"|"BARCGB22"|"20-49-76"|"GB38 BARC 2049 7690 2257 62"|""|"20130831102102"|"AA00025"|"Burgess Hill School For Girls"
53|"Course"|"GBP"|"Barclays Bank Plc"|"50526223"|"73-75 Calverley Road, Tunbridge Wells, Kent, TN1 2UZ"|"Beechwood Sacred Heart School"|""|"20-88-13"|"GB03BARC20881350526223"|"Please state the pupil's name"|"20130525"|""|"Beechwood Sacred Heart"
20|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00070500"|"City Office"|"City of London Freemen's School Fees Account"|""|"30-00-02"|"GB04LOYD30000200070500"|""|"20130525"|""|"City of London Freemen's School"
55|"Course"|"GBP"|"National Westminster Bank Plc"|"09821392"|"Hove Town Hall Branch, 103 Church Road, Hove, BN3 2BF"|"Bellerbys Educational Services Ltd"|""|"53-61-02"|""|""|"20130525"|""|"Bellerbys College"
694|"Course"|"GBP"|"Barclays Bank plc"|"93284301"|"9-11 St Andrews Street, Cambridge CB2 3AA, UK"|"Bell Educational Services Ltd"|"BARCGB22"|"20-17-19"|"GB08BARC20171993284301"|""|"20140324133515"|"AA00044"|""
686|"Course"|"GBP"|"Barclays Corporate Banking"|"60274054"|"PO Box 165, Crawley, RH10 1YX"|"Collyer’s College Account"|"BARCGB22"|"20-42-58"|"GB06 BARC 2042 5860 2740 54"|""|"20140322100150"|"AA00044"|""
251|"Course"|"GBP"|"HSBC"|"90010103"|"HSBC Bank, Central Hall, Westminster, London SW1P 3AS"|"Kent College Pembury"|"MIDLGB2110E"|"40-02-06"|"GB25MIDL40020690010103"|""|"20130525"|""|"Kent College (Pembury) Enterprises Limited"
413|"Course"|"GBP"|"Barclays Bank Plc"|"00775142"|"1 North End, Croydon, Surrey, CR9 1RN"|"Russell School Trust"|"BARCGB22"|"20-24-61"|"GB73BARC20246100775142"|""|"20130525"|""|"Ballards Services Ltd"
413|"Course"|"GBP"|"Barclays Bank"|"00775142"|"1 North End, Croydon, Surrey, CR9 1RN"|"Russell School Trust"|"BARCGB22"|"20-24-61"|"GB73BARC20246100775142"|""|"20140403150108"|"AA00044"|"Ballards Services Ltd"
103|"Course"|"GBP"|"HSBC"|"62474581"|"60 Queen Victoria Street, London, EC4N 4TR"|"Caterham School Ltd Re Fees account"|"MIDLGB2141W"|"40-05-30"|"GB94MIDL40053062474581"|""|"20130525"|""|"Caterham School"
312|"Course"|"GBP"|"Barclays Bank Plc"|"40624128"|"6 Clarence Street, Kingston. Surrey. KT1 1NY."|"Marymount International School"|"BARCGB22"|"20-46-73"|"GB33BARC20467340624128"|""|"20130525"|""|"Marymount School Enterprises Ltd."
208|"Course"|"GBP"|"Barclays Bank Plc"|"60426717"|"Holt Branch, 17 Market Place, Fakenham, Norfolk, NR2I 9BE"|"Gresham's School"|"BARCGB22"|"20-30-81"|"GB33BARC203081604261 17"|"Please ensure all transfers use the pupil's name as a reference"|"20130525"|""|"Gresham's"
208|"Course"|"GBP"|"Barclays Bank Plc"|"60426717"|"Holt Branch, 17 Market Place, Fakenham, Norfolk, NR2I 9BE"|"Gresham's School"|"BARCGB22"|"20-30-81"|"GB33BARC20308160426717"|"Please ensure all transfers use the pupil's name as a reference"|"20140408122451"|"AA00044"|"Gresham's"
377|"Course"|"GBP"|"Yorkshire Bank"|"25467810"|"46 Coney Street, York, YO1 9NQ"|"Queen Margaret's School York Ltd"|"YORKGB21994"|"05-09-94"|"GB98YORK05099425467810"|""|"20131219102514"|"AA00025"|"Queen Margaret's School"
435|"Course"|"GBP"|"Lloyds TSB Bank PLC"|"01884627"|"75 Cheap Street, Sherborne, Dorset   DT9 3BD"|"SHERBORNE SCHOOL"|"LOYDGB2L"|"30-99-98"|"GB12 LOYD 3099 9801 8846 27"|"Recognised Credit Card (VISA, MASTERCARD, AMEX).  
Please note there is a 4% surcharge if paying by credit card.

***PLEASE QUOTE THE STUDENT’S NAME ON ALL PAYMENTS***"|"20140114153835"|"AA00025"|""
136|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"03331173"|"38 Market Place, Devizes Wiltshire, SN10 1JD"|"Dauntsey School"|"LOYDGB21202"|"30-92-63"|"GB87LOYD30926303331173"|"Could you please ensure that the transaction includes the name of the pupil concerned, this will enable the Accounts Department to identify the payment when it is received. Thank you."|"20130903114915"|"AA00025"|"Dauntsey's School"
634|"Course"|"GBP"|"Co-operative Bank"|"68461429"|"Po Box 82, 118/120 Colmore Row, Brimingham, B3 3BA"|"Lucton School"|"CPBKGB22"|"08-90-01"|"GB65CPBK08900168461429"|""|"20130525"|""|"Lucton School"
412|"Course"|"GBP"|"HSBC"|"71599682"|"8 Victoria Street, London, SW1H 0NJ"|"Royal Hospital School"|"MIDGBL22"|"40-07-13"|"GB40MIDL40071371599682"|""|"20130525"|""|"Royal Hospital School"
150|"Course"|"GBP"|"Barclays Bank Plc"|"90330965"|"37 Milsom Street, Bath, BA1 1DN"|"Downside Abbey Trustees"|"BARCGB22"|"20-05-06"|"GB44BARC20050690330965"|""|"20130525"|""|"Downside School"
150|"Course"|"GBP"|"Barclays Bank Plc"|"90330965"|"37 Milsom Street, Bath, BA1 1DN"|"Downside Abbey Trustees Registered"|"BARCGB22"|"20-05-06"|"GB44BARC20050690330965"|""|"20140415132356"|"AA00044"|"Downside School"
628|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"03235008"|"82 High Street, Lewes, East Sussex, BN7 1XW"|"St. George's England"|""|"30-95-01"|"GB42LOYD30950103235008"|""|"20130525"|""|"Buckswood St George's England"
288|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00914215"|"21 High Street, Ascot, Berkshire, SL5 7JE"|"Licensed Victuallers' School"|"LOYDGB21248"|"30-90-24"|"GB96LOYD30902400914215"|""|"20130525"|""|"Licensed Victuallers' School"
211|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00096360"|"18 Monnow Street, Monmouth NP25 3XH"|"Haberdashers' Monmouth School for Girls"|"LOYDGB21493"|"30-95-71"|"GB46LOYD30957100096360"|""|"20130525"|""|"Haberdashers' Monmouth School for Girls"
211|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00096360"|"18 Monnow Street, Monmouth NP25 3XH"|"Haberdashers' Monmouth School for Girls"|"LOYDGB21493"|"30-95-71"|"GB46LOYD30957100096360"|"[17May14] Payment with either ‘Haberdashers’ Monmouth School for Girls’ or ‘HMSG’ is acceptable by the bank. School usually finds it easier for parents to just write ‘HMSG’"|"20140517100134"|"AA00044"|"Haberdashers' Monmouth School for Girls"
316|"Course"|"GBP"|"National Westminster Bank plc"|"05105625"|"55 The Broadway, Mill Hill, London, NW7 3WF, England"|"Mill Hill School"|"NWBKGB2L"|"60-14-27"|"GB10NWBK60142705105625"|""|"20140522171832"|"AA00044"|""
602|"Course"|"GBP"|"National Westminster Bank Plc"|"89276353"|"30 Church Street, Malvern, WR14 2AY"|"Hekmat Kaveh T/A The Abbey College TAC"|"NWBKGB2L"|"53-81-33"|"GB87NWBK53813389276353"|""|"20130525"|""|"Abbey College, Malvern"
687|"Course"|"GBP"|"Co-operative Bank"|"65029437"|"91 George Street, Croydon CR0 1LD"|"The Whitgift Foundation"|"CPBK GB22"|"08-90-79"|"GB77 CPBK 0890 7965 0294 37"|"Ref: W5003 - plus full name of the applicant (for Entrance account)"|"20131107171237"|"AA00025"|""
383|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00699634"|"5 The Square, Wimborne, Dorset, BH21 3AE"|"Quest Guardians Ltd"|"LOYDGB21400"|"30-99-68"|"GB90LOYD30996800699634"|""|"20130525"|""|"Quest Guardians"
100|"Course"|"GBP"|"Barclays Bank Plc"|"10257311"|"32 Bridge Street, Banbury, Oxfordshire OX16 8PS"|"Canford School Limited"|"BARCGB22"|"20-03-84"|"GB95BARC20038410257311"|"Please quote Student's name as a reference for our Finance Department to recognise the transfer when it comes in, and could you also please ensure that bank charges for the transfer are not deducted from the full GBP200. (This happens quite a lot and causes our Finance people a bit of bother!)"|"20130525"|""|"Canford School"
248|"Course"|"GBP"|"National Westminster Bank Plc"|"32106211"|"Tavistock Branch, Bedford Square, Tavistock, Devon, PL19 0AQ"|"Kelly College Bursars Account"|"NWBKGB2L"|"60-21-49"|"GB56NWBK60214932106211"|"Please quote your name"|"20130525"|""|"Kelly College"
136|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"03331173"|"38 Market Place, Devizes Wiltshire, SN10 1JD"|"Dauntsey School"|"LOYDGB8721202"|"30-92-63"|"GB87LOYD30926303331173"|"Under ‘Reference’ please quote the parent account number on the bottom left corner of the invoice
(eg ABCD10). For international bank transfers, please ensure that all bank transfer charges are paid locally.

Could you please ensure that the transaction includes the name of the pupil concerned, this will enable the Accounts Department to identify the payment when it is received. Thank you."|"20140410181154"|"AA00044"|"Dauntsey's School"
670|"Course"|"GBP"|"Clydesdale Bank PLC"|"20316463"|"35 Regent Street, London, SW1Y 4ND"|"Discovery Summer Ltd."|"CLYDGB21647"|"82-04-03"|"GB18CLYD82040320316463"|""|"20130525"|""|"Discovery Summer"
496|"Course"|"GBP"|"National Westminster Bank Plc"|"22595813"|"York Street, Clitheroe, Lancashire, BB7 2DN"|"Stonyhurst"|"NWBKGB2L"|"01 02 14"|"GB16NWBK01021422595813"|""|"20140722114355"|"AA00044"|""
36|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"01697259"|"99-101 South Road, Haywards Heath, West Sussex, R16 4ND"|"Ardingly College Ltd, Scholar's Account"|"LOYDGB21173"|"30-18-30"|"GB03LOYD30183001697259"|""|"20130525"|""|"Ardingly College"
435|"Course"|"GBP"|"Lloyds TSB Bank PLC"|"01884627"|"75 Cheap Street, Sherborne, Dorset   DT9 3BD"|"SHERBORNE SCHOOL"|"LOYDGB2L"|"30-99-98"|"GB12 LOYD 3099 9801 8846 27"|"Recognised Credit Card (VISA, MASTERCARD, AMEX).  
Please note there is a 4% surcharge if paying by credit card.

***PLEASE QUOTE THE STUDENT’S NAME ON ALL PAYMENTS***"|"20140410133608"|"AA00044"|""
345|"Course"|"GBP"|"Barclays Bank Plc"|"10679259"|"Po Box 422, 1 Church Street, Peterborough, PE1 1QR"|"Oundle School Fees in Suspense"|"BARCGB22"|"20-67-37"|"GB30BARC20673710679259"|"Please make sure you quote your child's name so that we know the payment is from you."|"20130525"|""|"Oundle School"
248|"Course"|"GBP"|"National Westminster Bank Plc"|"32106211"|"Tavistock Branch, Bedford Square, Tavistock, Devon, PL19 0AQ"|"Mount Kelly Foundation"|"NWBKGB2L"|"60-21-49"|"GB56NWBK60214932106211"|"Please quote your name"|"20140715102024"|"AA00044"|"Kelly College"
375|"Others"|"GBP"|"-"|"-"|"-"|"-"|"-"|"-"|"-"|""|"20141002231243"|""|"Queen Elizabeth’s Academy Trust"
381|"Course"|"GBP"|"HSBC"|"20019968"|"Victoria Street, Westminster, London SW1H 0NJ"|"Queenswood School Ltd"|"MIDLGB2110E"|"40-02-06"|"GB40MIDL40020620019968"|""|"20130525"|""|"Queenswood"
13|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00734106"|"12 Swan Street, Warwick, Warwickshire, CV34 4BJ"|"Warwick School"|""|"30-99-15"|""|"Please ensure the parents put the boys name on the transfer. Please allow GBP 20 as the bank charges in the UK."|"20130525"|""|"Warwick School"
78|"Course"|"GBP"|"Barclays Bank Plc"|"60208426"|"Solent and Dorset Business Centre, PO BOX 612, Ocean Way, Ocean Village, Southampton, SO14 6ZP"|"Brockenhurst College"|""|"20-53-53"|"GB34BARC20535360208426"|"Please include reference such as students name for processing purposes. Please ensure that the amount you pay includes all charges for transmission, both in your own country and in the UK. (GBP 20 bank charges) (26.02.09)"|"20130525"|""|"Brockenhurst College"
30020|"Course"|"GBP"|"Lloyds TSB Bank plc"|"00088500"|"University of Cambridge Branch, PO Box 1000, BX1 1LT"|"St. Andrew’s Tutorial Services Ltd trading as Select English Ltd"|"."|"30-91-56"|"GB06LOYD30915600088500"|""|"20141121133911"|"AA00032"|""
30020|"Course"|"GBP"|"Lloyds TSB Bank plc"|"00088500"|"University of Cambridge Branch, PO Box 1000, BX1 1LT"|"St. Andrew’s Tutorial Services Ltd trading as Select English Ltd"|"LOYDGB21018"|"30-91-56"|"GB06LOYD30915600088500"|""|"20141121134238"|"AA00032"|""
30020|"Course"|"GBP"|"Lloyds TSB Bank plc"|"00088500"|"University of Cambridge Branch, PO Box 1000, BX1 1LT"|"St. Andrew’s Tutorial Services Ltd trading as Select English Ltd"|"LOYDGB21018"|"30-91-56"|"GB06LOYD30915600088500"|""|"20141121134404"|"AA00032"|"Select English Ltd"
377|"Course"|"GBP"|"Barclays Bank PLC"|"13049779"|"25 James Street, Harrogate, HG1 1QX"|"-"|"BARCGB22"|"20-03-53"|"GB98BARC20035313049779"|""|"20180112105815"|"AA00078"|""
30020|"Course"|"GBP"|"Lloyds TSB Bank plc"|"00088500"|"University of Cambridge Branch, PO Box 1000, BX1 1LT"|"St. Andrew’s Tutorial Services Ltd trading as Select English Ltd"|"LOYDGB21018"|"30-91-56"|"GB06LOYD30915600088500"|""|"20141121134550"|"AA00032"|"Select English Ltd"
652|"Course"|"GBP"|"Barclays Bank Plc"|"50223050"|"PO Box 95, 1 North End, Croydon CR9 1RN"|""|"BARCGB22"|"20-24-61"|"GB07BARC20246150223050"|"*For payments made directly to school bank account, please ensure parents give the student's name as a reference*"|"20130525"|""|"Cambridge Tutors College"
509|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"02760046"|"41 Courtenay Street, Newton Abbot, Devon, TQ12 2QW"|"Stover School Association"|"LOYDGB21078"|"30-96-06"|"GB95LOYD30960602760046"|""|"20130525"|""|"Stover School"
655|"Course"|"GBP"|"Barclays Bank Plc"|"50449849"|"2 Carfax, Horsham, RH12 1DN"|"Christ's Hospital"|"RCGB22"|"20-42-58"|"GB57BARC20425850449849"|""|"20130525"|""|"Christ's Hospital"
455|"Course"|"GBP"|"Barclays Bank Plc"|"20395730"|""|""|""|"20-41-12"|""|""|"20130525"|""|"St. Francis' College"
30011|"Course"|"GBP"|"."|"."|"."|"Duff Miller and Company (London Tutors) Ltd"|"."|"."|"."|""|"20141217182248"|"AA00032"|"Duff Miller"
30011|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00407402"|"PO Box 1000, BX1 1LT"|"Chelsea Independent College Ltd"|"LOYDGB21027"|"30-95-74"|"GB13-LOYD-3095-7400-4074-02"|""|"20141217182139"|"AA00032"|"Chelsea Independent College"
30011|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00406805"|"PO Box 1000, BX1 1LT"|"Lansdowne Tutors Ltd"|"LOYDGB21027"|"30-95-74"|"GB30-LOYD-3095-7400-4068-05"|""|"20141217183233"|"AA00032"|"Lansdowne College"
30011|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00406805"|"PO Box 1000, BX1 1LT"|"Lansdowne Tutors Ltd"|"LOYDGB21027"|"30-95-74"|"GB30-LOYD-3095-7400-4068-05"|""|"20141217183421"|"AA00032"|"Lansdowne College"
51|"Course"|"GBP"|"Co-operative Bank"|"65060072"|"London City Office, 80 Cornhill, London EC3V 3NJ"|"The Harpur Trust"|"."|"08-02-28"|"."|"Swift code: CPBKGB22"|"20141218172121"|"AA00032"|"Bedford School Study Centre (BSSC)"
426|"Course"|"GBP"|"Barclays Bank Plc"|"90542725"|"Po Box 6, Portsmouth, PO6 3DH"|"Saint Michael's College (Tenbury) Limited"|""|"20-69-34"|"GB72BARC20693490542725"|""|"20130525"|""|"Saint Michael's College"
288|"Course"|"GBP"|"Lloyds TSB Bank plc"|"37250968"|"-"|"LVS Ascot"|"LOYDGB21653"|"30-63-54"|"GB90 LOYD 3063 5437 2509 68"|"The remittance advice should always to sent to the School Fee Administrator with full payment details"|"20140425170733"|"AA00044"|""
17|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"03788725"|"21 High Street, Colchester, Essex CO1 1DU"|"lchester Royal Grammar School"|"LOYDGB21115"|"30-92-16"|"GB72LOYD30921603788725"|"Please put down student's name as remarks and any bank charges are responsible by the remitter."|"20130525"|""|"Colchester Royal Grammar School"
17|"Course"|"GBP"|"Lloyds Bank PLC"|"39603560"|"27 High Street, Colchester, Essex, CO1 1DU"|"Colchester Royal Grammar School"|"LOYDGB21115"|"30-92-16"|"GB93 LOYD 3092 1639 6035 60"|""|"20150109103043"|"AA00032"|"Colchester Royal Grammar School"
17|"Course"|"GBP"|"Lloyds Bank PLC"|"39603560"|"27 High Street, Colchester, Essex, CO1 1DU"|"Colchester Royal Grammar School"|"LOYDGB21115"|"30-92-16"|"GB93 LOYD 3092 1639 6035 60"|""|"20150109103703"|"AA00032"|"Colchester Royal Grammar School"
50|"Course"|"GBP"|"HSBC"|"92732971"|"12 All Hallows, Bedford, MK40 1LJ"|"The Harpur Trust"|"MIDLGB2102H"|"40-10-02"|"GB60MIDL40100292732971"|""|"20150126183237"|"AA00032"|""
50|"Course"|"GBP"|"Co-operative Bank"|"65060072"|"London City Office, 80 Cornhill, London, EC3V 3NJ"|"The Harpur Trust R/C No. 1066861"|"CPBKGB22"|"08-02-28"|"GB62CPBK08022865060072"|"Please quote in your transfer instructions: 1. The name and initials of your son, 2. Your own name and initials, 3. That the transfer is in connection with Bedford School. Please send a copy of your bank instructions with the relevant paperwork without this we will not confirm receipt of the payment."|"20130525"|""|"Bedford School"
50|"Registration Fee"|"GBP"|"Co-operative Bank"|"65060072"|"London City Office, 80 Cornhill, London, EC3V 3NJ"|"The Harpur Trust R/C No. 1066861"|"CPBKGB22"|"08-02-28"|"GB62CPBK08022865060072"|"Please quote in your transfer instructions: 1. The name and initials of your son, 2. Your own name and initials, 3. That the transfer is in connection with Bedford School. Please send a copy of your bank instructions with the relevant paperwork without this we will not confirm receipt of the payment."|"20130525"|""|"Bedford School"
