"aa_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, first of all, it would be an advantage when applying for HKU since it is a very good school that is competitive. I personally believe that studying in UK will be a good opportunity to meet new friends and study in a new environment. UK boarding schools seem to provide a 
loving and warm atmosphere where I would enjoy my time there while making me a more independent person in general."|"20130720174033"|"AA00025"|""
"S012411"|"School Preferred"|"BOYS"|"20130723112237"|"AA00038"|""
"S012411"|"Other Requirement"|"sports and events orientated, CCF, well-planned curriculum and extracurricular activities"|"20130723112322"|"AA00038"|""
"S008707"|"Character"|"Loving"|"20130724151903"|"AA00038"|""
"S008707"|"English Standard"|"ABOVE AVERAGE"|"20130724151816"|"AA00038"|""
"S008707"|"Interests / Hobbies"|"Sports,Scouting,Drama,Community Service"|"20130724151831"|"AA00038"|""
"S008707"|"Learning Difficulties"|"Yes"|"20130724151946"|"AA00038"|""
"S008707"|"Preferred School Type"|"NO PREFERENCE"|"20130724152027"|"AA00038"|""
"S008707"|"Reasons to Study in UK"|"Good boarding school"|"20130724152045"|"AA00038"|""
"S008707"|"Relatives / Friends"|"yes,will be this Sept2013(Sussex)"|"20130724152008"|"AA00038"|""
"S012497"|"Received News from AA"|"friends"|"20130725101623"|"AA00025"|""
"S012498"|"Received News from AA"|"Referral"|"20130725134846"|"AA00025"|""
"S012508"|"Relatives / Friends"|"Yes"|"20130726162303"|"AA00038"|""
"S012508"|"Relatives / Friends"|"Yes,Flat 406 Compass Buiding Station Approah,Hayes,Middlessex,London"|"20130726162422"|"AA00038"|""
"S012508"|"Interests / Hobbies"|"Act,Lego"|"20130726162004"|"AA00038"|""
"S012508"|"Relatives / Friends"|"Yes"|"20130726162303"|"AA00038"|""
"S012511"|"Relatives / Friends"|"Yes, Flat 406,Compass Bldg Station Approah,Hayes,Middles,London"|"20130726162953"|"AA00038"|""
"S012511"|"Relatives / Friends act as"|"Yes, Flat 406,Compass Bldg Station Approah,Hayes,Middles,London"|"20130726164051"|"AA00025"|""
"S012508"|"Relatives / Friends act as"|"Yes, Flat 406,Compass Bldg Station Approah,Hayes,Middles,London"|"20130726164205"|"AA00025"|""
"S012508"|"Relatives / Friends act as"|"Yes, Flat 406,Compass Bldg Station Approah,Hayes Middlessex,London"|"20130726164234"|"AA00025"|""
"S012511"|"Relatives / Friends act as"|"Yes, Flat 406,Compass Bldg Station Approah,Hayes,Middles,London"|"20130726164158"|"AA00025"|""
"S012513"|"Guardian Type"|"YES"|"20130727100421"|"AA00025"|""
"S012521"|"Interests / Hobbies"|"Chinese Cheese"|"20130727150026"|"AA00038"|""
"S012521"|"Learning Difficulties"|"Nope"|"20130727150530"|"AA00038"|""
"S012521"|"Max Budget per Term"|"Nope"|"20130727150603"|"AA00038"|""
"S012521"|"Preferred School Type"|"Nope"|"20130727150544"|"AA00038"|""
"S012521"|"Religion Requirement"|"Nope"|"20130727151008"|"AA00038"|""
"S012516"|"Learning Difficulties"|"yes"|"20130727114322"|"AA00011"|""
"S012535"|"Received News from AA"|"From my sister"|"20130730104425"|"AA00025"|""
"S012567"|"Interests / Hobbies"|"eading, drama, hiking, sailing, basketball, making friends, TV games, swimming, debating"|"20130731113217"|"AA00011"|""
"S011493"|"English Standard"|"AVERAGE"|"20130731165623"|"AA00038"|""
"S009765"|"Received News from AA"|"Referred by friends"|"20130802120806"|"AA00011"|""
"S012613"|"School Applied Before"|"Badminton,Caterham"|"20130805111209"|"AA00038"|""
"S007293"|"English Standard"|"average"|"20130803163311"|"AA00011"|""
"S012618"|"Interests / Hobbies"|"ABOVE AVERAGE"|"20130806102942"|"AA00025"|""
"S012618"|"Special Talents"|"Swimming, Playing the Piano"|"20130806102956"|"AA00025"|""
"S004920"|"Character"|"Happy/like to make friends with other"|"20130810102912"|"AA00011"|""
"S008070"|"Preferred School Type"|"GIRLS"|"20130810154317"|"AA00038"|""
"S008070"|"Reasons to Study in UK"|"want to study together with her elder sister"|"20130810154447"|"AA00038"|""
"S008070"|"School Preferred"|"Headington School"|"20130810154431"|"AA00038"|""
"S030177"|"Studying in UK"|"Y"|"20130813164637"|"AA00025"|""
"S030177"|"Studying in UK School"|"David Cheng"|"20130813164637"|"AA00025"|""
"S030163"|"English Standard"|"excelent"|"20130814162551"|"AA00011"|""
"S030163"|"English Standard"|"excellent"|"20130814162604"|"AA00011"|""
"S030168"|"Interests / Hobbies"|"jogging, soccer"|"20130815104147"|"AA00011"|""
"S030168"|"Special Talents"|"jogging"|"20130815104315"|"AA00011"|""
"S030168"|"School Preferred"|"Sherborne School or Bryston School"|"20130815104412"|"AA00011"|""
"S030186"|"Relatives / Friends act as Guardian in UK"|"Yes, working"|"20130816144239"|"AA00011"|""
"S012197"|"Interests / Hobbies"|"Golf"|"20130824112822"|"AA00038"|""
"S030255"|"Interests / Hobbies"|"music, piano, guitar, drum, sport, basketball, badminton dancing, football, drama, bowling, swimming"|"20130826135830"|"AA00011"|""
"S030256"|"English Standard"|"ABOVE AVERAGE"|"20130826142337"|"AA00011"|""
"S030256"|"Preferred School Type"|"NO PREFERENCE"|"20130826142337"|"AA00011"|""
"S030269"|"English Standard"|"AVERAGE"|"20130827172608"|"AA00025"|""
"S030269"|"Character"|"Responsible, easy-going"|"20130827172608"|"AA00025"|""
"S030269"|"English Standard"|"Average"|"20130828095718"|"AA00011"|""
"S030269"|"Interests / Hobbies"|"Basketball, football, table tennis"|"20130827172608"|"AA00025"|""
"S030269"|"Preferred School Type"|"NO PREFERENCE"|"20130827172608"|"AA00025"|""
"S030269"|"Studying in UK School"|"Sister"|"20130827172608"|"AA00025"|""
"S012501"|"English Standard"|"ABOVE AVERAGE"|"20130726102448"|"AA00025"|""
"S030273"|"English Standard"|"AVERAGE"|"20130829095713"|"AA00025"|""
"S030273"|"Other Requirement"|"good rangingf\\"|"20130829095713"|"AA00025"|""
"S030273"|"Preferred School Type"|"GIRLS"|"20130829095713"|"AA00025"|""
"S030275"|"English Standard"|"ABOVE AVERAGE"|"20130828111015"|"AA00025"|""
"S030275"|"Interests / Hobbies"|"Drawing"|"20130828111015"|"AA00025"|""
"S030275"|"Preferred School Type"|"CO-ED"|"20130828111015"|"AA00025"|""
"S030274"|"English Standard"|"AVERAGE"|"20130829095713"|"AA00025"|""
"S030274"|"Preferred School Type"|"CO-ED"|"20130829095713"|"AA00025"|""
"S012666"|"English Standard"|"AVERAGE"|"20130813162340"|"AA00025"|""
"S030210"|"English Standard"|"AVERAGE"|"20130820122234"|"AA00025"|""
"S030210"|"Preferred School Type"|"BOYS"|"20130820122234"|"AA00025"|""
"S030278"|"English Standard"|"EXCELLENT"|"20130829095713"|"AA00025"|""
"S030278"|"Preferred School Type"|"NO PREFERENCE"|"20130829095713"|"AA00025"|""
"S030278"|"Preferred School Type"|"No preference"|"20130829173649"|"AA00011"|""
"S012616"|"English Standard"|"ABOVE AVERAGE"|"20130806103418"|"AA00025"|""
"S012616"|"Received News from AA"|"YES"|"20130806103422"|"AA00025"|""
"S030279"|"Relatives / Friends Studying in UK"|"Yes,"|"20130830101216"|"AA00011"|""
"S030279"|"Relatives / Friends Studying in UK"|"Yes, Caterham"|"20130830101506"|"AA00011"|""
"S012514"|"English Standard"|"ABOVE AVERAGE"|"20130727100645"|"AA00025"|""
"S012514"|"English Standard"|"above average"|"20130831111947"|"AA00011"|""
"S012595"|"English Standard"|"AVERAGE"|"20130803100620"|"AA00025"|""
"S012471"|"English Standard"|"AVERAGE"|"20130725163653"|"AA00025"|""
"S012471"|"Preferred School Type"|"GIRLS"|"20130725163713"|"AA00025"|""
"S012471"|"Received News from AA"|"YES"|"20130725163724"|"AA00025"|""
"S012471"|"English Standard"|"average"|"20130831121734"|"AA00011"|""
"S030220"|"English Standard"|"AVERAGE"|"20130821174109"|"AA00038"|""
"S030295"|"English Standard"|"AVERAGE"|"20130830143422"|"AA00025"|""
"S030297"|"Reasons to Study in UK"|"Currently,in process of assessment at Eton College"|"20130831133709"|"AA00038"|""
"S030302"|"English Standard"|"ABOVE AVERAGE"|"20130831094925"|"AA00025"|""
"S030305"|"English Standard"|"ABOVE AVERAGE"|"20130831094925"|"AA00025"|""
"S030305"|"Preferred School Type"|"NO PREFERENCE"|"20130831094925"|"AA00025"|""
"S030304"|"English Standard"|"ABOVE AVERAGE"|"20130815094225"|"AA00025"|""
"S030304"|"Preferred School Type"|"BOYS"|"20130815094225"|"AA00025"|""
"S030306"|"English Standard"|"AVERAGE"|"20130829095713"|"AA00025"|""
"S005071"|"Special Talents"|"Cello"|"20130902145016"|"AA00011"|""
"S030306"|"Interests / Hobbies"|"Basketball swimming drawing"|"20130829095713"|"AA00025"|""
"S030307"|"English Standard"|"EXCELLENT"|"20130831171300"|"AA00025"|""
"S030307"|"Preferred School Type"|"BOYS"|"20130831171300"|"AA00025"|""
"S030307"|"English Standard"|"excellent"|"20130902160134"|"AA00011"|""
"S030314"|"English Standard"|"AVERAGE"|"20130904102344"|"AA00011"|""
"S030314"|"Preferred School Type"|"CO-ED"|"20130904102344"|"AA00011"|""
"S030314"|"School Preferred"|"warwick"|"20130904102344"|"AA00011"|""
"S030314"|"Studying in UK School"|"my brother"|"20130904102344"|"AA00011"|""
"S030679"|"English Standard"|"ABOVE AVERAGE"|"20130904110639"|"AA00011"|""
"S030679"|"Interests / Hobbies"|"Reading / play Violin / play badminton"|"20130904110639"|"AA00011"|""
"S030679"|"Interests / Hobbies"|"reading / play Violin / play badminton"|"20130904110827"|"AA00011"|""
"S030396"|"English Standard"|"ABOVE AVERAGE"|"20130904111801"|"AA00011"|""
"S030396"|"Preferred School Type"|"CO-ED"|"20130904111801"|"AA00011"|""
"S030323"|"English Standard"|"EXCELLENT"|"20130904112906"|"AA00011"|""
"S030323"|"Preferred School Type"|"GIRLS"|"20130904112906"|"AA00011"|""
"S030315"|"School Preferred"|"girls & co-ed"|"20130904164147"|"AA00011"|""
"S030313"|"English Standard"|"AVERAGE"|"20130830143422"|"AA00025"|""
"S030313"|"Preferred School Type"|"NO PREFERENCE"|"20130830143422"|"AA00025"|""
"S030385"|"Preferred School Type"|"NO PREFERENCE"|"20130905110245"|"AA00011"|""
"S030322"|"English Standard"|"EXCELLENT"|"20130906113349"|"AA00011"|""
"S030322"|"Preferred School Type"|"NO PREFERENCE"|"20130906113349"|"AA00011"|""
"S012467"|"English Standard"|"ABOVE AVERAGE"|"20130720153008"|"AA00025"|""
"S012467"|"Interests / Hobbies"|"Gymnastics, Volleyball, Photography"|"20130720153013"|"AA00025"|""
"S012467"|"Preferred School Type"|"GIRLS"|"20130720153055"|"AA00025"|""
"S012467"|"Reasons to Study in UK"|"To be able to experience UK life and culture and for Sixth form to as a bridge between college and year 11"|"20130720153112"|"AA00025"|""
"S012467"|"Received News from AA"|"YES"|"20130720153127"|"AA00025"|""
"S012467"|"School Preferred"|"Headington School, Roedean School"|"20130720153104"|"AA00025"|""
"S012467"|"School Preferred"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School (just applied a week ago)"|"20130906123026"|"AA00011"|""
"S012467"|"Character"|"Bubbly, Fun Loving, Sociable"|"20130720153018"|"AA00025"|""
"S012467"|"Location Preference"|"Brighton and Oxford"|"20130720153026"|"AA00025"|""
"S012467"|"Interests / Hobbies"|"Gymnastics, Volleyball, Photography, Dance"|"20130906122622"|"AA00011"|""
"S012467"|"School Preferred"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School"|"20130906123042"|"AA00011"|""
"S012467"|"School Preferred"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School, Royal High School Bath"|"20130906124801"|"AA00011"|""
"S012467"|"School Preferred"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School, Royal High School Of Bath"|"20130906124826"|"AA00011"|""
"S012467"|"School Applied Before"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School"|"20130906123109"|"AA00011"|""
"S030330"|"English Standard"|"AVERAGE"|"20130906130300"|"AA00011"|""
"S030330"|"Preferred School Type"|"GIRLS"|"20130906130300"|"AA00011"|""
"S030324"|"English Standard"|"ABOVE AVERAGE"|"20130903102526"|"AA00038"|""
"S030324"|"Preferred School Type"|"CO-ED"|"20130903102526"|"AA00038"|""
"S030343"|"English Standard"|"ABOVE AVERAGE"|"20130906164750"|"AA00011"|""
"S030322"|"Preferred School Type"|"No preference"|"20130906113828"|"AA00011"|""
"S012660"|"Character"|"MODERATELY OUTGOING BUT SOCIABLE"|"20130813100823"|"AA00025"|""
"S012660"|"English Standard"|"ABOVE AVERAGE"|"20130813100812"|"AA00025"|""
"S012660"|"Interests / Hobbies"|"READING"|"20130813100817"|"AA00025"|""
"S012660"|"Know AA From"|"INTRODUCTION BY FRIENDS"|"20130813100845"|"AA00025"|""
"S012660"|"Preferred School Type"|"BOYS"|"20130813100839"|"AA00025"|""
"S012660"|"Received News from AA"|"YES"|"20130813100851"|"AA00025"|""
"S012660"|"Relatives / Friends act as Guardian in UK"|"DEPENDENT ON STUDYING LOCATION"|"20130813100831"|"AA00025"|""
"S030327"|"English Standard"|"ABOVE AVERAGE"|"20130907094229"|"AA00025"|""
"S012376"|"English Standard"|"ABOVE AVERAGE"|"20130710113735"|"AA00025"|""
"S012376"|"Preferred School Type"|"BOYS"|"20130710113818"|"AA00025"|""
"S012376"|"Received News from AA"|"YES"|"20130710113841"|"AA00025"|""
"S030333"|"English Standard"|"AVERAGE"|"20130907094229"|"AA00025"|""
"S030333"|"Preferred School Type"|"GIRLS"|"20130907094229"|"AA00025"|""
"S030336"|"English Standard"|"ABOVE AVERAGE"|"20130829095713"|"AA00025"|""
"S030336"|"Preferred School Type"|"NO PREFERENCE"|"20130829095713"|"AA00025"|""
"S012577"|"Interests / Hobbies"|"AVERAGE"|"20130801101115"|"AA00025"|""
"S012577"|"Preferred School Type"|"GIRLS"|"20130801101127"|"AA00025"|""
"S012577"|"Received News from AA"|"NO"|"20130801101207"|"AA00025"|""
"S030340"|"English Standard"|"ABOVE AVERAGE"|"20130907094229"|"AA00025"|""
"S030340"|"Interests / Hobbies"|"Art and Textiles, volleyball, badminton, singing, dancing"|"20130907094229"|"AA00025"|""
"S030340"|"Preferred School Type"|"NO PREFERENCE"|"20130907094229"|"AA00025"|""
"S030340"|"Interests / Hobbies"|"Art and textiles, volleyball, badminton, singing, dancing"|"20130907165542"|"AA00011"|""
"S030340"|"Reasons to Study in UK"|"To achieve goals and dreams, such as to study in Art Universities in London."|"20130907094229"|"AA00025"|""
"S030340"|"Studying in UK School"|"Relatives (cousins)"|"20130907094229"|"AA00025"|""
"S030340"|"Character"|"Cheerful and out going"|"20130907094229"|"AA00025"|""
"S012617"|"English Standard"|"ABOVE AVERAGE"|"20130806103135"|"AA00025"|""
"S012617"|"Received News from AA"|"YES"|"20130806103156"|"AA00025"|""
"S030341"|"Interests / Hobbies"|"sports, play football, swimming, tennis, watch movies, music appreciation, take care of fishes"|"20130909135049"|"AA00011"|""
"S030341"|"Reasons to Study in UK"|"high education standard, great facilities, beaugiful field"|"20130909135251"|"AA00011"|""
"S030278"|"Special Talents"|"Singing (ABRSM grade 8 - distinction with score 140)"|"20130829095713"|"AA00025"|""
"S012584"|"English Standard"|"ABOVE AVERAGE"|"20130801174207"|"AA00025"|""
"S012584"|"Preferred School Type"|"GIRLS"|"20130801174240"|"AA00025"|""
"S012584"|"Received News from AA"|"YES"|"20130801174255"|"AA00025"|""
"S030348"|"English Standard"|"ABOVE AVERAGE"|"20130911100928"|"AA00038"|""
"S030348"|"Preferred School Type"|"GIRLS"|"20130911100928"|"AA00038"|""
"S030351"|"English Standard"|"ABOVE AVERAGE"|"20130911100928"|"AA00038"|""
"S030351"|"Interests / Hobbies"|"Guitar, softball,"|"20130911100928"|"AA00038"|""
"S030352"|"English Standard"|"ABOVE AVERAGE"|"20130910095403"|"AA00038"|""
"S030352"|"Guardian in UK"|"Aunty"|"20130910095403"|"AA00038"|""
"S030352"|"Preferred School Type"|"NO PREFERENCE"|"20130910095403"|"AA00038"|""
"S030353"|"School Applied Before"|"St Edward's School"|"20130911162208"|"AA00038"|""
"S030355"|"English Standard"|"ABOVE AVERAGE"|"20130911100928"|"AA00038"|""
"S030355"|"Preferred School Type"|"CO-ED"|"20130911100928"|"AA00038"|""
"S030373"|"English Standard"|"EXCELLENT"|"20130912114716"|"AA00011"|""
"S030373"|"Preferred School Type"|"GIRLS"|"20130912114716"|"AA00011"|""
"S030373"|"Character"|"active, hardworking, considerate, humble"|"20130912114716"|"AA00011"|""
"S030373"|"School Preferred"|"Cheltenham Ladies College
St. Mary’s Calne
Badminton 
St. Catherine and 
Headington"|"20130912114716"|"AA00011"|""
"S030373"|"School Preferred"|"Cheltenham Ladies College,St. Mary’s Calne, Badminton, St. Catherine and 
Headington"|"20130912115231"|"AA00011"|""
"S030373"|"School Preferred"|"Cheltenham Ladies College,
St. Mary’s Calne, 
Badminton, 
St. Catherine and 
Headington"|"20130912115702"|"AA00011"|""
"S030448"|"Character"|"SPORTY"|"20130912115953"|"AA00011"|""
"S030448"|"English Standard"|"AVERAGE"|"20130912115953"|"AA00011"|""
"S030448"|"Guardian in UK"|"WONG TSZ KI KRISTY"|"20130912115953"|"AA00011"|""
"S030448"|"Guardian in UK"|"Wong Tsz Kristy"|"20130912120241"|"AA00011"|""
"S030448"|"Interests / Hobbies"|"TABLE TENNIS, BASKETBALL"|"20130912115953"|"AA00011"|""
"S030448"|"Preferred School Type"|"CO-ED"|"20130912115953"|"AA00011"|""
"S030448"|"Religion Requirement"|"N/A"|"20130912115953"|"AA00011"|""
"S030448"|"Studying in UK School"|"SISTER AT UCL"|"20130912115953"|"AA00011"|""
"S030384"|"English Standard"|"AVERAGE"|"20130912121205"|"AA00011"|""
"S030384"|"Interests / Hobbies"|"Reading, listening to music, table tennis, swimming"|"20130912121205"|"AA00011"|""
"S030384"|"Preferred School Type"|"NO PREFERENCE"|"20130912121205"|"AA00011"|""
"S030384"|"Special Talents"|"."|"20130912121205"|"AA00011"|""
"S030384"|"Special Talents"|"No"|"20130912121533"|"AA00011"|""
"S030354"|"Relatives / Friends act as Guardian in UK"|"NO"|"20130911172813"|"AA00038"|""
"S030354"|"Relatives / Friends Studying in UK"|"NO"|"20130911172804"|"AA00038"|""
"S030361"|"English Standard"|"ABOVE AVERAGE"|"20130910095403"|"AA00038"|""
"S030371"|"Received News from AA"|"YES"|"20130913151435"|"AA00025"|""
"S030375"|"English Standard"|"AVERAGE"|"20130913094513"|"AA00025"|""
"S012479"|"English Standard"|"AVERAGE"|"20130722164925"|"AA00038"|""
"S012479"|"School Preferred"|"GIRLS"|"20130722165025"|"AA00038"|""
"S030377"|"Reasons to Study in UK"|"looking for higher quality education with wider choice of subjects, including art, sports and others formal English training"|"20130913172143"|"AA00011"|""
"S030378"|"English Standard"|"AVERAGE"|"20130830095529"|"AA00025"|""
"S030381"|"Reasons to Study in UK"|"Her Maths is quite weak,would like to"|"20130914111913"|"AA00038"|""
"S030353"|"Relatives / Friends act as Guardian in UK"|"YES"|"20130911162047"|"AA00038"|""
"S030383"|"English Standard"|"AVERAGE"|"20130822094954"|"AA00025"|""
"S030387"|"Character"|"Introverted"|"20130914132502"|"AA00038"|""
"S030401"|"Special Talents"|"Piano"|"20130916184917"|"AA00038"|""
"S030425"|"Reasons to Study in UK"|"broaden my horizon              
improve my spoken english
increase my english writing and reading ability"|"20131002114842"|"AA00038"|""
"S030431"|"Interests / Hobbies"|"Harmonica playing ,guitar playing , basketball playing"|"20131002114842"|"AA00038"|""
"S030432"|"Interests / Hobbies"|"Playing piano, reading, swimming, & dancing"|"20131003095143"|"AA00038"|""
"S030436"|"Character"|"pleasant,"|"20131004112214"|"AA00011"|""
"S030436"|"Character"|"pleasant"|"20131004112507"|"AA00011"|""
"S030455"|"Interests / Hobbies"|"swimming, singing,"|"20131005151008"|"AA00011"|""
"S030465"|"Interests / Hobbies"|"outgoing"|"20131007155438"|"AA00011"|""
"S030480"|"Reasons to Study in UK"|"mom & daddy studied"|"20131010165550"|"AA00011"|""
"S030487"|"Character"|"POSITIVE, CHEERFUL, OUT-GOING, ENERGETIC & ENTHUSIASTIC"|"20131002114842"|"AA00038"|""
"S030487"|"English Standard"|"ABOVE AVERAGE"|"20131002114842"|"AA00038"|""
"S030487"|"Guardian in UK"|"AUNT"|"20131002114842"|"AA00038"|""
"S030487"|"Interests / Hobbies"|"READING & WRITING, PIANO, VIOLIN, GUITAR, BADMINTON, BASKETBALL"|"20131002114842"|"AA00038"|""
"S030487"|"Preferred School Type"|"GIRLS"|"20131002114842"|"AA00038"|""
"S030487"|"Reasons to Study in UK"|"FUTHER STUDY FOR UNIVERSITY IN U.K."|"20131002114842"|"AA00038"|""
"S030487"|"Special Talents"|"WRITING, PIANO & BADMINTON"|"20131002114842"|"AA00038"|""
"S030487"|"Studying in UK School"|"UNIVERSITY OF LONDON"|"20131002114842"|"AA00038"|""
"S030721"|"Interests / Hobbies"|"运动"|"20131012095506"|"AA00038"|""
"T002114"|"Religion Requirement"|"NIL"|"20140604103549"|"AA00011"|""
"S030509"|"Interests / Hobbies"|"travelling, reading, swimming, anchery"|"20131015151410"|"AA00011"|""
"S030688"|"Character"|"CARING, RESPONSIBLE, HARD WORKING"|"20131029110444"|"AA00038"|""
"S030688"|"Interests / Hobbies"|"BADMINTON, SWIMMING, DANCING, PLAYING THE PIANO, READING"|"20131029110444"|"AA00038"|""
"S030688"|"English Standard"|"ABOVE AVERAGE"|"20131029110444"|"AA00038"|""
"S030688"|"Preferred School Type"|"NO PREFERENCE"|"20131029110444"|"AA00038"|""
"S030700"|"Relatives / Friends Studying in UK"|"Yes, elder soster, University of Warwick"|"20131102131946"|"AA00011"|""
"S030695"|"Preferred School Type"|"GIRLS"|"20131028095227"|"AA00038"|""
"S030768"|"English Standard"|"WEAK"|"20131104115553"|"AA00011"|""
"S030768"|"Reasons to Study in UK"|"i hope good education"|"20131104115553"|"AA00011"|""
"S030768"|"Preferred School Type"|"NO PREFERENCE"|"20131104115553"|"AA00011"|""
"S030738"|"School Preferred"|"NO IDEA YET"|"20131104122706"|"AA00011"|""
"S030738"|"Special Talents"|"NIL"|"20131104122706"|"AA00011"|""
"S030738"|"School Applied Before"|"NIL"|"20131104122706"|"AA00011"|""
"S030738"|"Reasons to Study in UK"|"WANT TO SKIP IB EXAM"|"20131104122706"|"AA00011"|""
"S030738"|"Interests / Hobbies"|"SWIMMING, TENNIS"|"20131104122706"|"AA00011"|""
"S030738"|"Guardian in UK"|"Uncle , Sun Yat Lung"|"20131005094002"|"AA00038"|""
"S030738"|"English Standard"|"ABOVE AVERAGE"|"20131005094002"|"AA00038"|""
"S030738"|"Preferred School Type"|"NO PREFERENCE"|"20131005094002"|"AA00038"|""
"S030711"|"Special Talents"|"outgoing and like taking part in many activity"|"20131104151101"|"AA00011"|""
"S030733"|"Reasons to Study in UK"|"To switch from IB to UK A L Curriculum"|"20131108161210"|"AA00025"|""
"S030744"|"School Preferred"|"WHITGIFT SCHOOL"|"20131108094813"|"AA00025"|""
"S030744"|"Interests / Hobbies"|"BASKETBALL"|"20131108094813"|"AA00025"|""
"S030744"|"English Standard"|"WEAK"|"20131108094813"|"AA00025"|""
"S030767"|"Other Requirement"|"GOOD HISTORY"|"20131111121155"|"AA00038"|""
"S030772"|"Preferred School Type"|"GIRLS"|"20131112102615"|"AA00038"|""
"S030824"|"Reasons to Study in UK"|"I (Megan's mother) used to stydt in LSE"|"20131120114124"|"AA00011"|""
"S030784"|"Other Requirement"|"Must be a full boarding School with outstanding student academic achiervement"|"20131120162958"|"AA00038"|""
"S030784"|"Reasons to Study in UK"|"To obtain a better secondary education.My father is a law graduate of king's College London and he highly values a sound UK Secondary/tertiary education."|"20131120163815"|"AA00038"|""
"S030788"|"Character"|"jogging, computer"|"20131121162702"|"AA00011"|""
"S030795"|"School Preferred"|"Sevenoaks, Oakland, Bedford, St. Edmund"|"20131123113020"|"AA00011"|""
"S030801"|"Character"|"pleasant"|"20131123160919"|"AA00011"|""
"S030801"|"Reasons to Study in UK"|"can experience multi-national culture, more chance to learn English, widen horizon"|"20131123161122"|"AA00011"|""
"S030804"|"Character"|"Sunny Boy"|"20131123162309"|"AA00038"|""
"S030804"|"English Standard"|"Above Average"|"20131123162244"|"AA00038"|""
"S030804"|"Interests / Hobbies"|"Soller,Music"|"20131123162259"|"AA00038"|""
"S030804"|"Location Preference"|"Yes,Edingburgh"|"20131123162432"|"AA00038"|""
