"aa_id"|"consultant"|"priority"|"lastupdate"|"staffid"|"remarks"
"S045481"|"AA00129"|"5"|"20250426111153"|"AA00011"|""
"S045482"|"AA00084"|"2"|"20250426112007"|"AA00011"|""
"S045482"|"AA00115"|"1"|"20250426112013"|"AA00011"|""
"S045482"|"AA00007"|"3"|"20250426112019"|"AA00011"|""
"S045482"|"AA00133"|"4"|"20250426112025"|"AA00011"|""
"S045482"|"AA00129"|"5"|"20250426112031"|"AA00011"|""
"S045483"|"AA00084"|"2"|"20250426123313"|"AA00011"|""
"S045483"|"AA00115"|"3"|"20250426123321"|"AA00011"|""
"S045483"|"AA00007"|"1"|"20250426123327"|"AA00011"|""
"S045483"|"AA00133"|"4"|"20250426123334"|"AA00011"|""
"S045483"|"AA00129"|"5"|"20250426123340"|"AA00011"|""
"S045484"|"AA00084"|"2"|"20250426173040"|"AA00011"|""
"S045484"|"AA00007"|"1"|"20250426173046"|"AA00011"|""
"S045484"|"AA00133"|"3"|"20250426173102"|"AA00011"|""
"S045484"|"AA00115"|"4"|"20250426173108"|"AA00011"|""
"S045484"|"AA00129"|"5"|"20250426173114"|"AA00011"|""
"S045485"|"AA00084"|"2"|"20250426174302"|"AA00011"|""
"S045485"|"AA00007"|"1"|"20250426174309"|"AA00011"|""
"S045485"|"AA00133"|"3"|"20250426174315"|"AA00011"|""
"S045485"|"AA00115"|"4"|"20250426174321"|"AA00011"|""
"S045485"|"AA00129"|"5"|"20250426174329"|"AA00011"|""
"S045486"|"AA00084"|"1"|"20250426181049"|"AA00011"|""
"S045486"|"AA00133"|"3"|"20250426181056"|"AA00011"|""
"S045486"|"AA00007"|"2"|"20250426181103"|"AA00011"|""
"S045486"|"AA00115"|"4"|"20250426181109"|"AA00011"|""
"S045486"|"AA00129"|"5"|"20250426181116"|"AA00011"|""
"S045487"|"AA00084"|"2"|"20250428160626"|"AA00011"|""
"S045487"|"AA00115"|"1"|"20250428160632"|"AA00011"|""
"S045487"|"AA00007"|"3"|"20250428160639"|"AA00011"|""
"S045487"|"AA00129"|"4"|"20250428160645"|"AA00011"|""
"S045487"|"AA00133"|"5"|"20250428160650"|"AA00011"|""
"S045477"|"AA00084"|"2"|"20250428162026"|"AA00011"|""
"S045477"|"AA00133"|"3"|"20250428162034"|"AA00011"|""
"S045477"|"AA00129"|"4"|"20250428162040"|"AA00011"|""
"S045477"|"AA00007"|"5"|"20250428162049"|"AA00011"|""
"S044148"|"AA00115"|"8"|"20250428180339"|"AA00139"|""
"S044866"|"AA00129"|"3"|"20250411112026"|"AA00011"|""
"S044866"|"AA00133"|"5"|"20250411112034"|"AA00011"|""
"S045464"|"AA00084"|"2"|"20250411113801"|"AA00011"|""
"S045464"|"AA00133"|"3"|"20250411113807"|"AA00011"|""
"S045464"|"AA00115"|"4"|"20250411113813"|"AA00011"|""
"S045464"|"AA00129"|"5"|"20250411113818"|"AA00011"|""
"S045465"|"AA00084"|"2"|"20250411150157"|"AA00011"|""
"S045465"|"AA00115"|"1"|"20250411150203"|"AA00011"|""
"S045465"|"AA00133"|"3"|"20250411150213"|"AA00011"|""
"S045465"|"AA00129"|"4"|"20250411150219"|"AA00011"|""
"S045465"|"AA00007"|"5"|"20250411150227"|"AA00011"|""
"S041133"|"AA00082"|"999"|"20250411150913"|"AA00136"|"major"
"S041133"|"AA00084"|"1"|"20250411150922"|"AA00136"|""
"S041133"|"AA00080"|"99"|"20250411150932"|"AA00136"|""
"S041133"|"AA00133"|"4"|"20250411150944"|"AA00136"|""
"S045466"|"AA00084"|"1"|"20250412094245"|"AA00011"|""
"S045466"|"AA00133"|"2"|"20250412094252"|"AA00011"|""
"S045466"|"AA00115"|"3"|"20250412094259"|"AA00011"|""
"S045466"|"AA00129"|"4"|"20250412094308"|"AA00011"|""
"S045466"|"AA00007"|"5"|"20250412094343"|"AA00011"|""
"S045477"|"AA00115"|"1"|"20250412094438"|"AA00136"|""
"S045467"|"AA00084"|"2"|"20250412110121"|"AA00011"|""
"S045467"|"AA00115"|"1"|"20250412110127"|"AA00011"|""
"S045467"|"AA00007"|"3"|"20250412110136"|"AA00011"|""
"S045467"|"AA00129"|"4"|"20250412110143"|"AA00011"|""
"S045467"|"AA00133"|"5"|"20250412110219"|"AA00011"|""
"S040867"|"AA00007"|"1"|"20250412154745"|"AA00007"|""
"S045470"|"AA00115"|"1"|"20250414103443"|"AA00136"|""
"S045469"|"AA00007"|"1"|"20250414135404"|"AA00136"|""
"S045469"|"AA00133"|"2"|"20250414135649"|"AA00136"|""
"S045469"|"AA00084"|"3"|"20250414135657"|"AA00136"|""
"S045469"|"AA00115"|"4"|"20250414135704"|"AA00136"|""
"S045469"|"AA00129"|"5"|"20250414135712"|"AA00136"|""
"S045468"|"AA00084"|"2"|"20250414140026"|"AA00011"|""
"S045468"|"AA00115"|"1"|"20250414140032"|"AA00011"|""
"S045468"|"AA00133"|"3"|"20250414140038"|"AA00011"|""
"S045468"|"AA00129"|"4"|"20250414140044"|"AA00011"|""
"S045468"|"AA00007"|"5"|"20250414140052"|"AA00011"|""
"S044816"|"AA00133"|"8"|"20250415104518"|"AA00139"|""
"S041250"|"AA00115"|"4"|"20250415120231"|"AA00139"|""
"S041249"|"AA00115"|"7"|"20250415143801"|"AA00139"|""
"S043921"|"AA00115"|"7"|"20250415143828"|"AA00139"|""
"S045470"|"AA00084"|"2"|"20250416144513"|"AA00011"|""
"S045470"|"AA00133"|"3"|"20250416144518"|"AA00011"|""
"S045470"|"AA00129"|"4"|"20250416144524"|"AA00011"|""
"S043921"|"AA00082"|"9"|"20250416155324"|"AA00084"|""
"S043921"|"AA00084"|"1"|"20250416155327"|"AA00084"|""
"S045471"|"AA00084"|"1"|"20250416162527"|"AA00011"|""
"S044878"|"AA00100"|"999"|"20250416170056"|"AA00136"|""
"S044878"|"AA00129"|"5"|"20250416170113"|"AA00136"|""
"S044338"|"AA00133"|"3"|"20250416173049"|"AA00011"|""
"S044338"|"AA00129"|"4"|"20250416173056"|"AA00011"|""
"S044338"|"AA00115"|"5"|"20250416173106"|"AA00011"|""
"S042714"|"AA00115"|"2"|"20250417104534"|"AA00011"|""
"S042714"|"AA00129"|"5"|"20250417104551"|"AA00011"|""
"S042714"|"AA00133"|"4"|"20250417104601"|"AA00011"|""
"S045470"|"AA00007"|"5"|"20250417170142"|"AA00011"|""
"S045472"|"AA00007"|"1"|"20250417222125"|""|""
"S045472"|"AA00115"|"3"|"20250418111155"|"AA00139"|""
"S045472"|"AA00084"|"2"|"20250418111319"|"AA00139"|""
"S045472"|"AA00133"|"4"|"20250418111328"|"AA00139"|""
"S045472"|"AA00129"|"5"|"20250418111333"|"AA00139"|""
"S045473"|"AA00007"|"1"|"20250418213034"|""|""
"S045473"|"AA00084"|"2"|"20250419084631"|"AA00139"|""
"S045473"|"AA00115"|"3"|"20250419084638"|"AA00139"|""
"S045473"|"AA00133"|"4"|"20250419084645"|"AA00139"|""
"S045459"|"AA00129"|"4"|"20250405160015"|"AA00011"|""
"S045459"|"AA00007"|"5"|"20250405160024"|"AA00011"|""
"S045427"|"AA00084"|"2"|"20250405160032"|"AA00136"|""
"S045427"|"AA00007"|"3"|"20250405160041"|"AA00136"|""
"S045427"|"AA00133"|"4"|"20250405160049"|"AA00136"|""
"S045427"|"AA00129"|"5"|"20250405160056"|"AA00136"|""
"S045460"|"AA00084"|"1"|"20250405160113"|"AA00011"|""
"S045426"|"AA00084"|"2"|"20250405160115"|"AA00136"|""
"S045460"|"AA00133"|"2"|"20250405160119"|"AA00011"|""
"S045460"|"AA00007"|"3"|"20250405160125"|"AA00011"|""
"S045426"|"AA00007"|"3"|"20250405160122"|"AA00136"|""
"S045460"|"AA00115"|"4"|"20250405160131"|"AA00011"|""
"S045426"|"AA00129"|"4"|"20250405160130"|"AA00136"|""
"S045460"|"AA00129"|"5"|"20250405160137"|"AA00011"|""
"S045426"|"AA00133"|"5"|"20250405160140"|"AA00136"|""
"S045425"|"AA00084"|"2"|"20250405160152"|"AA00136"|""
"S045425"|"AA00007"|"3"|"20250405160158"|"AA00136"|""
"S045425"|"AA00129"|"4"|"20250405160209"|"AA00136"|""
"S045425"|"AA00133"|"5"|"20250405160215"|"AA00136"|""
"S045424"|"AA00084"|"2"|"20250405160251"|"AA00136"|""
"S045424"|"AA00007"|"3"|"20250405160257"|"AA00136"|""
"S045424"|"AA00129"|"4"|"20250405160302"|"AA00136"|""
"S045424"|"AA00133"|"5"|"20250405160317"|"AA00136"|""
"S045423"|"AA00084"|"2"|"20250405160330"|"AA00136"|""
"S045423"|"AA00007"|"3"|"20250405160344"|"AA00136"|""
"S045423"|"AA00133"|"4"|"20250405160350"|"AA00136"|""
"S045423"|"AA00129"|"5"|"20250405160411"|"AA00136"|""
"S045422"|"AA00084"|"2"|"20250405160435"|"AA00136"|""
"S045422"|"AA00007"|"3"|"20250405160441"|"AA00136"|""
"S045422"|"AA00133"|"4"|"20250405160447"|"AA00136"|""
"S045422"|"AA00129"|"5"|"20250405160454"|"AA00136"|""
"S045189"|"AA00115"|"2"|"20250405191353"|"AA00139"|""
"S045189"|"AA00084"|"3"|"20250405191402"|"AA00139"|""
"S045421"|"AA00084"|"2"|"20250407112601"|"AA00011"|""
"S045421"|"AA00133"|"3"|"20250407112607"|"AA00011"|""
"S045421"|"AA00115"|"4"|"20250407112612"|"AA00011"|""
"S045421"|"AA00129"|"5"|"20250407112620"|"AA00011"|""
"S045464"|"AA00007"|"1"|"20250407121528"|"AA00011"|""
"S044319"|"AA00082"|"999"|"20250407145632"|"AA00136"|""
"S044319"|"AA00133"|"3"|"20250407145637"|"AA00136"|""
"S042772"|"AA00133"|"7"|"20250407160932"|"AA00136"|""
"S044731"|"AA00082"|"999"|"20250407161009"|"AA00136"|""
"S044731"|"AA00133"|"4"|"20250407161018"|"AA00136"|""
"S042688"|"AA00080"|"999"|"20250407161045"|"AA00136"|""
"S042688"|"AA00133"|"4"|"20250407161056"|"AA00136"|""
"S044481"|"AA00080"|"999"|"20250407161217"|"AA00136"|""
"S044481"|"AA00133"|"6"|"20250407161224"|"AA00136"|""
"S044268"|"AA00100"|"999"|"20250407161247"|"AA00136"|""
"S045398"|"AA00007"|"1"|"20250407161333"|"AA00136"|""
"S045398"|"AA00084"|"2"|"20250407161338"|"AA00136"|""
"S045398"|"AA00115"|"4"|"20250407161351"|"AA00136"|""
"S045398"|"AA00133"|"3"|"20250407161356"|"AA00136"|""
"S045398"|"AA00129"|"5"|"20250407161402"|"AA00136"|""
"S039556"|"AA00133"|"6"|"20250407161425"|"AA00136"|""
"S043520"|"AA00133"|"6"|"20250407161441"|"AA00136"|""
"S045461"|"AA00007"|"1"|"20250407165256"|"AA00136"|""
"S044103"|"AA00100"|"999"|"20250408105711"|"AA00136"|""
"S044103"|"AA00115"|"1"|"20250408105718"|"AA00136"|""
"S045461"|"AA00084"|"2"|"20250409142455"|"AA00011"|""
"S045461"|"AA00133"|"3"|"20250409142501"|"AA00011"|""
"S045461"|"AA00115"|"4"|"20250409142507"|"AA00011"|""
"S045461"|"AA00129"|"5"|"20250409142512"|"AA00011"|""
"S043212"|"AA00129"|"5"|"20250409161248"|"AA00011"|""
"S043212"|"AA00133"|"3"|"20250409161255"|"AA00011"|""
"S038940"|"AA00133"|"6"|"20250410102722"|"AA00139"|""
"S037932"|"AA00133"|"6"|"20250410102739"|"AA00139"|""
"S045462"|"AA00084"|"2"|"20250410115726"|"AA00011"|""
"S045462"|"AA00115"|"1"|"20250410115732"|"AA00011"|""
"S045462"|"AA00007"|"3"|"20250410115738"|"AA00011"|""
"S045462"|"AA00133"|"4"|"20250410115744"|"AA00011"|""
"S045462"|"AA00129"|"5"|"20250410115756"|"AA00011"|""
"S045359"|"AA00133"|"5"|"20250410120243"|"AA00011"|""
"S045360"|"AA00133"|"5"|"20250410120301"|"AA00011"|""
"S045463"|"AA00084"|"2"|"20250411105404"|"AA00011"|""
"S045463"|"AA00115"|"1"|"20250411105412"|"AA00011"|""
"S045463"|"AA00133"|"3"|"20250411105418"|"AA00011"|""
"S045463"|"AA00129"|"4"|"20250411105424"|"AA00011"|""
"S045463"|"AA00007"|"N"|"20250411105432"|"AA00011"|""
"S045428"|"AA00129"|"5"|"20250405160010"|"AA00136"|""
"S045451"|"AA00115"|"2"|"20250403170035"|"AA00011"|""
"S045453"|"AA00084"|"1"|"20250403170059"|"AA00011"|""
"S045453"|"AA00115"|"2"|"20250403170104"|"AA00011"|""
"S045456"|"AA00084"|"2"|"20250405095719"|"AA00011"|""
"S045456"|"AA00115"|"1"|"20250405095725"|"AA00011"|""
"S045456"|"AA00007"|"3"|"20250405095731"|"AA00011"|""
"S045456"|"AA00129"|"4"|"20250405095737"|"AA00011"|""
"S045456"|"AA00133"|"5"|"20250405095752"|"AA00011"|""
"S042440"|"AA00080"|"999"|"20250405113331"|"AA00136"|""
"S042440"|"AA00129"|"2"|"20250405113345"|"AA00136"|""
"S045269"|"AA00133"|"2"|"20250405115740"|"AA00011"|""
"S045457"|"AA00133"|"3"|"20250405121533"|"AA00011"|""
"S045457"|"AA00007"|"4"|"20250405121552"|"AA00011"|""
"S045457"|"AA00129"|"5"|"20250405121559"|"AA00011"|""
"S045458"|"AA00133"|"3"|"20250405121851"|"AA00011"|""
"S045458"|"AA00129"|"4"|"20250405121857"|"AA00011"|""
"S045458"|"AA00007"|"5"|"20250405121903"|"AA00011"|""
"S045420"|"AA00084"|"2"|"20250405135216"|"AA00011"|""
"S045420"|"AA00133"|"3"|"20250405135224"|"AA00011"|""
"S045420"|"AA00129"|"4"|"20250405135230"|"AA00011"|""
"S045420"|"AA00007"|"5"|"20250405135242"|"AA00011"|""
"S044348"|"AA00115"|"1"|"20250405151528"|"AA00011"|""
"S044348"|"AA00129"|"4"|"20250405151600"|"AA00011"|""
"S044348"|"AA00133"|"5"|"20250405151613"|"AA00011"|""
"S045457"|"AA00084"|"1"|"20250405154717"|"AA00011"|""
"S045457"|"AA00115"|"2"|"20250405154725"|"AA00011"|""
"S045458"|"AA00084"|"1"|"20250405155007"|"AA00011"|""
"S045458"|"AA00115"|"2"|"20250405155013"|"AA00011"|""
"S045438"|"AA00084"|"2"|"20250405155206"|"AA00136"|""
"S045438"|"AA00007"|"N"|"20250405155213"|"AA00136"|""
"S045438"|"AA00133"|"N"|"20250405155219"|"AA00136"|""
"S045438"|"AA00129"|"N"|"20250405155226"|"AA00136"|""
"S045437"|"AA00084"|"2"|"20250405155250"|"AA00136"|""
"S045437"|"AA00007"|"3"|"20250405155256"|"AA00136"|""
"S045437"|"AA00129"|"N"|"20250405155301"|"AA00136"|""
"S045437"|"AA00133"|"N"|"20250405155306"|"AA00136"|""
"S045436"|"AA00084"|"2"|"20250405155320"|"AA00136"|""
"S045436"|"AA00007"|"3"|"20250405155326"|"AA00136"|""
"S045436"|"AA00133"|"N"|"20250405155333"|"AA00136"|""
"S045436"|"AA00129"|"N"|"20250405155338"|"AA00136"|""
"S045435"|"AA00084"|"2"|"20250405155403"|"AA00136"|""
"S045435"|"AA00007"|"3"|"20250405155418"|"AA00136"|""
"S045435"|"AA00133"|"4"|"20250405155426"|"AA00136"|""
"S045435"|"AA00129"|"5"|"20250405155434"|"AA00136"|""
"S045434"|"AA00115"|"1"|"20250405155502"|"AA00136"|""
"S045434"|"AA00084"|"2"|"20250405155506"|"AA00136"|""
"S045434"|"AA00007"|"3"|"20250405155513"|"AA00136"|""
"S045434"|"AA00133"|"4"|"20250405155520"|"AA00136"|""
"S045434"|"AA00129"|"5"|"20250405155528"|"AA00136"|""
"S045433"|"AA00084"|"2"|"20250405155545"|"AA00136"|""
"S045433"|"AA00007"|"3"|"20250405155552"|"AA00136"|""
"S045433"|"AA00133"|"4"|"20250405155600"|"AA00136"|""
"S045433"|"AA00129"|"5"|"20250405155607"|"AA00136"|""
"S045432"|"AA00115"|"1"|"20250405155635"|"AA00136"|""
"S045432"|"AA00084"|"2"|"20250405155640"|"AA00136"|""
"S045432"|"AA00007"|"3"|"20250405155645"|"AA00136"|""
"S045432"|"AA00129"|"4"|"20250405155652"|"AA00136"|""
"S045432"|"AA00133"|"5"|"20250405155704"|"AA00136"|""
"S045431"|"AA00084"|"2"|"20250405155732"|"AA00136"|""
"S045431"|"AA00007"|"3"|"20250405155739"|"AA00136"|""
"S045431"|"AA00133"|"4"|"20250405155746"|"AA00136"|""
"S045431"|"AA00129"|"5"|"20250405155753"|"AA00136"|""
"S045430"|"AA00084"|"2"|"20250405155808"|"AA00136"|""
"S045430"|"AA00007"|"3"|"20250405155814"|"AA00136"|""
"S045430"|"AA00129"|"4"|"20250405155822"|"AA00136"|""
"S045430"|"AA00133"|"5"|"20250405155831"|"AA00136"|""
"S045429"|"AA00084"|"2"|"20250405155852"|"AA00136"|""
"S045429"|"AA00007"|"3"|"20250405155901"|"AA00136"|""
"S045429"|"AA00133"|"4"|"20250405155908"|"AA00136"|""
"S045429"|"AA00129"|"5"|"20250405155919"|"AA00136"|""
"S045459"|"AA00084"|"1"|"20250405155921"|"AA00011"|""
"S045459"|"AA00115"|"2"|"20250405155934"|"AA00011"|""
"S045459"|"AA00133"|"3"|"20250405155946"|"AA00011"|""
"S045428"|"AA00084"|"2"|"20250405155944"|"AA00136"|""
"S045428"|"AA00007"|"3"|"20250405155950"|"AA00136"|""
"S045428"|"AA00133"|"4"|"20250405160002"|"AA00136"|""
"S045439"|"AA00129"|"4"|"20250402122429"|"AA00011"|""
"S045439"|"AA00133"|"5"|"20250402122446"|"AA00011"|""
"S045440"|"AA00084"|"2"|"20250402123043"|"AA00011"|""
"S045440"|"AA00115"|"1"|"20250402123049"|"AA00011"|""
"S045440"|"AA00133"|"3"|"20250402123056"|"AA00011"|""
"S045440"|"AA00129"|"5"|"20250402123102"|"AA00011"|""
"S045440"|"AA00007"|"4"|"20250402123115"|"AA00011"|""
"S045441"|"AA00084"|"2"|"20250402135022"|"AA00011"|""
"S045441"|"AA00115"|"1"|"20250402135028"|"AA00011"|""
"S045441"|"AA00007"|"3"|"20250402135033"|"AA00011"|""
"S045441"|"AA00129"|"4"|"20250402135041"|"AA00011"|""
"S045441"|"AA00133"|"5"|"20250402135047"|"AA00011"|""
"S045442"|"AA00084"|"2"|"20250402135450"|"AA00011"|""
"S045442"|"AA00115"|"1"|"20250402135456"|"AA00011"|""
"S045442"|"AA00133"|"3"|"20250402135501"|"AA00011"|""
"S045442"|"AA00129"|"4"|"20250402135508"|"AA00011"|""
"S045442"|"AA00007"|"5"|"20250402135515"|"AA00011"|""
"S045443"|"AA00084"|"2"|"20250402140118"|"AA00011"|""
"S045443"|"AA00115"|"1"|"20250402140124"|"AA00011"|""
"S045443"|"AA00007"|"3"|"20250402140132"|"AA00011"|""
"S045443"|"AA00129"|"4"|"20250402140139"|"AA00011"|""
"S045443"|"AA00133"|"5"|"20250402140145"|"AA00011"|""
"S045444"|"AA00084"|"2"|"20250402140503"|"AA00011"|""
"S045444"|"AA00115"|"1"|"20250402140508"|"AA00011"|""
"S045444"|"AA00007"|"3"|"20250402140514"|"AA00011"|""
"S045444"|"AA00133"|"4"|"20250402140520"|"AA00011"|""
"S045444"|"AA00129"|"5"|"20250402140529"|"AA00011"|""
"S045445"|"AA00084"|"2"|"20250402140712"|"AA00011"|""
"S045445"|"AA00133"|"3"|"20250402140719"|"AA00011"|""
"S045445"|"AA00115"|"1"|"20250402140725"|"AA00011"|""
"S045445"|"AA00129"|"4"|"20250402140731"|"AA00011"|""
"S045445"|"AA00007"|"5"|"20250402140738"|"AA00011"|""
"S045446"|"AA00084"|"2"|"20250402140930"|"AA00011"|""
"S045446"|"AA00115"|"1"|"20250402140937"|"AA00011"|""
"S045446"|"AA00133"|"3"|"20250402140943"|"AA00011"|""
"S045446"|"AA00129"|"4"|"20250402140955"|"AA00011"|""
"S045446"|"AA00007"|"5"|"20250402141006"|"AA00011"|""
"S045447"|"AA00084"|"2"|"20250402145407"|"AA00011"|""
"S045447"|"AA00133"|"3"|"20250402145415"|"AA00011"|""
"S045447"|"AA00115"|"1"|"20250402145420"|"AA00011"|""
"S045447"|"AA00007"|"4"|"20250402145426"|"AA00011"|""
"S045447"|"AA00129"|"5"|"20250402145431"|"AA00011"|""
"S045448"|"AA00084"|"2"|"20250402180824"|"AA00011"|""
"S045448"|"AA00115"|"1"|"20250402180830"|"AA00011"|""
"S045448"|"AA00133"|"3"|"20250402180837"|"AA00011"|""
"S045448"|"AA00129"|"4"|"20250402180854"|"AA00011"|""
"S045448"|"AA00007"|"5"|"20250402180906"|"AA00011"|""
"S045449"|"AA00133"|"3"|"20250403104903"|"AA00011"|""
"S045449"|"AA00129"|"4"|"20250403104913"|"AA00011"|""
"S045449"|"AA00007"|"5"|"20250403104922"|"AA00011"|""
"S045450"|"AA00133"|"3"|"20250403105814"|"AA00011"|""
"S045450"|"AA00129"|"4"|"20250403105825"|"AA00011"|""
"S045450"|"AA00007"|"5"|"20250403105838"|"AA00011"|""
"S045451"|"AA00007"|"3"|"20250403110117"|"AA00011"|""
"S045451"|"AA00133"|"4"|"20250403110124"|"AA00011"|""
"S045451"|"AA00129"|"5"|"20250403110131"|"AA00011"|""
"S043477"|"AA00133"|"7"|"20250403111839"|"AA00139"|""
"S045453"|"AA00133"|"3"|"20250403152751"|"AA00011"|""
"S045453"|"AA00129"|"4"|"20250403152759"|"AA00011"|""
"S045453"|"AA00007"|"5"|"20250403152806"|"AA00011"|""
"S045454"|"AA00084"|"2"|"20250403163406"|"AA00011"|""
"S045454"|"AA00115"|"1"|"20250403163413"|"AA00011"|""
"S045454"|"AA00133"|"3"|"20250403163420"|"AA00011"|""
"S045454"|"AA00129"|"4"|"20250403163427"|"AA00011"|""
"S045454"|"AA00007"|"5"|"20250403163434"|"AA00011"|""
"S045455"|"AA00084"|"2"|"20250403163954"|"AA00011"|""
"S045455"|"AA00115"|"1"|"20250403164000"|"AA00011"|""
"S045455"|"AA00007"|"3"|"20250403164006"|"AA00011"|""
"S045455"|"AA00129"|"4"|"20250403164014"|"AA00011"|""
"S045455"|"AA00133"|"5"|"20250403164020"|"AA00011"|""
"S045449"|"AA00084"|"1"|"20250403165902"|"AA00011"|""
"S045449"|"AA00115"|"2"|"20250403165907"|"AA00011"|""
"S045450"|"AA00084"|"1"|"20250403165943"|"AA00011"|""
"S045450"|"AA00115"|"2"|"20250403165948"|"AA00011"|""
"S045451"|"AA00084"|"1"|"20250403170029"|"AA00011"|""
"S044604"|"AA00129"|"5"|"20250328121722"|"AA00011"|""
"S044604"|"AA00133"|"2"|"20250328121808"|"AA00011"|""
"S045402"|"AA00084"|"2"|"20250328142505"|"AA00011"|""
"S045402"|"AA00133"|"3"|"20250328142511"|"AA00011"|""
"S045402"|"AA00007"|"4"|"20250328142517"|"AA00011"|""
"S045402"|"AA00129"|"5"|"20250328142523"|"AA00011"|""
"S044753"|"AA00129"|"6"|"20250328153051"|"AA00136"|""
"S045374"|"AA00133"|"2"|"20250328154444"|"AA00011"|""
"S045374"|"AA00115"|"3"|"20250328154509"|"AA00011"|""
"S045374"|"AA00129"|"4"|"20250328154541"|"AA00011"|""
"S045374"|"AA00007"|"5"|"20250328154701"|"AA00011"|""
"S045373"|"AA00115"|"3"|"20250328155014"|"AA00011"|""
"S045373"|"AA00133"|"2"|"20250328155026"|"AA00011"|""
"S045373"|"AA00129"|"4"|"20250328155035"|"AA00011"|""
"S045373"|"AA00007"|"5"|"20250328155251"|"AA00011"|""
"S045416"|"AA00084"|"2"|"20250328164517"|"AA00011"|""
"S045416"|"AA00115"|"1"|"20250328164523"|"AA00011"|""
"S045416"|"AA00007"|"3"|"20250328164530"|"AA00011"|""
"S045416"|"AA00129"|"4"|"20250328164535"|"AA00011"|""
"S045416"|"AA00133"|"5"|"20250328164545"|"AA00011"|""
"S044605"|"AA00133"|"2"|"20250328173311"|"AA00011"|""
"S044605"|"AA00129"|"5"|"20250328173324"|"AA00011"|""
"S045417"|"AA00084"|"2"|"20250329100724"|"AA00011"|""
"S045417"|"AA00115"|"1"|"20250329100731"|"AA00011"|""
"S045417"|"AA00007"|"3"|"20250329100737"|"AA00011"|""
"S045417"|"AA00129"|"4"|"20250329100743"|"AA00011"|""
"S045417"|"AA00133"|"5"|"20250329100751"|"AA00011"|""
"S045418"|"AA00097"|"1"|"20250329103303"|"AA00136"|""
"S045414"|"AA00084"|"1"|"20250329104655"|"AA00011"|""
"S045414"|"AA00133"|"2"|"20250329104701"|"AA00011"|""
"S045414"|"AA00007"|"3"|"20250329104707"|"AA00011"|""
"S045414"|"AA00115"|"4"|"20250329104712"|"AA00011"|""
"S045414"|"AA00129"|"5"|"20250329104718"|"AA00011"|""
"S045396"|"AA00115"|"1"|"20250331101439"|"AA00011"|""
"S045396"|"AA00084"|"5"|"20250331101445"|"AA00011"|""
"S045397"|"AA00115"|"1"|"20250331101459"|"AA00011"|""
"S045397"|"AA00084"|"4"|"20250331101504"|"AA00011"|""
"S044570"|"AA00115"|"1"|"20250331164058"|"AA00011"|""
