"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S012140"|"Y"|"Discovery Summer"|"MH2"|"Malaysian Airline"|"Heathrow"|"20130703"|"0550"|""|""|"20130704164143"|"AA00033"|"Return to T3 on 05 Jul to meet DS representatives for pick up"|0|0
"S030009"|"Y"|"Summer Boarding Courses"|"CX257"|"Cathay Pacific"|"Heathrow"|"20130729"|"1600"|""|""|"20130706151659"|"AA00033"|""|0|0
"S030010"|"Y"|"Concord Summer"|"CX257"|"Cathay Pacific"|"Heathrow"|"20130728"|"1600"|""|""|"20130706152048"|"AA00033"|""|0|0
"S030011"|"Y"|"Heathfield Summer"|"CX251"|"Cathay Pacific"|"Heathrow"|"20130720"|"0540"|""|""|"20130706152413"|"AA00033"|""|0|0
"S030024"|"Y"|"Discovery Summer"|"CX251"|"Cathay Pacific"|"Heathrow"|"20130724"|"0540"|""|""|"20130706153009"|"AA00033"|"Enrolled to UM"|0|0
"S030025"|"Y"|"Discovery Summer"|"CX251"|"Cathay Pacific"|"Heathrow"|"20130724"|"0540"|""|""|"20130706153608"|"AA00033"|"Enrolled to UM"|0|0
"S030061"|"Y"|"Discovery Summer"|"CX251"|"Cathay Pacific"|"Heathrow"|"20130731"|"0540"|""|""|"20130706154008"|"AA00033"|"Enrolled to UM"|0|0
"S012168"|"N"|""|"BA38"|"British Airways"|"Heathrow"|"20130719"|"1450"|""|""|"20130708120756"|"AA00033"|""|0|0
"S010859"|"Y"|"WHG"|"LH2470"|"Lufthansa"|"London Heathrow T1"|"20130829"|"0850"|""|""|"20130725141341"|"AA00019"|"airport transfer + homestay + transfer to sch on 31/8, request sent to whg (25/7/2013)"|0|0
"S007990"|"N"|""|"sf556"|"cx"|"france"|"20131129"|"0900"|""|""|"20131129212607"|""|""|1|1
"S007990"|"N"|""|"ba55"|"baedfcr"|"dewcefd"|"20131129"|"1200"|""|""|"20131129212628"|""|""|1|2
"S007990"|"Y"|"school"|"edd"|"ed3"|"ref"|"20131129"|""|""|""|"20131129212651"|""|""|1|3
"S006369"|"Y"|""|"Air France"|""|""|"20141203"|"0520"|""|""|"20141203124306"|"AA00003"|""|369|1
"S007454"|"Y"|"School"|"Cathay Pacific CX237"|""|"London Heathrow T3"|"20140901"|"0620"|"family acknowledged confirmation"|""|"20140901114657"|"AA00032"|"[30Aug14] email sch stu contact no
[28Aug14] ask p for stu contact no
[5Aug14] req to sch"|195|1
"S012537"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711120636"|"AA00032"|""|11|1
"S030263"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711123253"|"AA00032"|""|14|1
"S031091"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711123706"|"AA00032"|""|17|1
"S030523"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711130245"|"AA00032"|""|20|1
"S012361"|"N"|""|"CX253"|""|"LONDON HEATHROW T3"|"20140106"|"2010"|""|""|"20131213165828"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014, Brother of WONG Andy"|2|1
"S006434"|"N"|""|""|""|""|"20140709"|""|""|""|"20140709172840"|"AA00003"|"for the beginning of Sep14, didn't give itin"|9|1
"S009612"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711122839"|"AA00032"|""|12|1
"S012539"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711123532"|"AA00032"|""|15|1
"S030324"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711123844"|"AA00032"|""|18|1
"S030695"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711130333"|"AA00032"|""|21|1
"S011141"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711130607"|"AA00032"|""|23|1
"S031804"|"Y"|"Quest"|"Air France AF1680"|""|"London Heathrow T4"|"20140904"|"0750"|"family acknowledged confirmation"|"[26Aug] req sent - pick up from airport to school"|"20140901114759"|"AA00032"|"Change flight from
Paris T2E AF185 0605"|365|1
"S030442"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711133502"|"AA00032"|""|28|1
"S006121"|"Y"|"School"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140908"|"0540"|"family acknowledged confirmation"|""|"20140906102839"|"AA00032"|"[30Aug14] req to sch"|367|1
"S030432"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711150553"|"AA00032"|""|32|1
"S006369"|"N"|""|"Emirate"|""|"Edinburgh"|"20150205"|""|"sch/guardian cfm booking will be made"|""|"20150205163520"|""|""|370|1
"S012523"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711150829"|"AA00032"|""|35|1
"S031580"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102509"|"AA00032"|""|37|1
"S031113"|"Y"|""|"British Airways BA28"|""|"London Heathrow T5"|"20140910"|"0535"|"request made"|""|"20140906113526"|"AA00032"|""|368|1
"S006419"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102653"|"AA00032"|""|40|1
"S012281"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102816"|"AA00032"|""|41|1
"S030906"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102936"|"AA00032"|""|43|1
"S031804"|"N"|""|"Air France AF185"|""|"Paris T2E"|"20140904"|"0605"|""|""|"20140828161413"|"AA00032"|""|360|1
"S011767"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103157"|"AA00032"|""|46|1
"S031074"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103331"|"AA00032"|""|49|1
"S031804"|"N"|""|"Air France AF1680"|""|"London Heathrow T4"|"20140904"|"0750"|"request made"|""|"20140828161423"|"AA00032"|"[16Aug14] sch ask if the stu will arrive earlier
[15Aug14] req to sch"|360|2
"S011715"|"Y"|"School"|"British Airways BA26"|"71"|"London Heathrow T5"|"20140829"|"0455"|"family acknowledged confirmation"|""|"20140828163641"|"AA00032"|"[15Aug14] chase
[6Aug14] ask if the sch can help"|321|1
"S008681"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140902"|"0455"|"confirmation emailed family"|""|"20140828191047"|"AA00032"|"[15Aug14] chase
[5Aug14] req to sch/ travel with mum"|208|1
"S012343"|"N"|""|"Aeroflot Russian Airlines SU213"|""|"Moscow (Sheremetyevo) Russia"|"20140902"|"1710"|"itin requested"|""|"20140830095638"|"AA00032"|""|349|1
"S030834"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104217"|"AA00032"|""|58|1
"S011001"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104225"|"AA00032"|""|59|1
"S030389"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140826"|"0455"|"family acknowledged confirmation"|""|"20140830111122"|"AA00032"|"[15Aug14] chase
[5Aug14] req to sch/ travel with mum/ will take the coach on 2nd Sept"|65|1
"S009413"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104620"|"AA00032"|""|62|1
"S011037"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104909"|"AA00032"|""|64|1
"S012549"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712105506"|"AA00032"|""|70|1
"S012420"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712111729"|"AA00032"|""|72|1
"S031599"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712111820"|"AA00032"|""|74|1
"S009432"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712112411"|"AA00032"|""|76|1
"S030965"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113119"|"AA00032"|""|79|1
"S012306"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113208"|"AA00032"|""|81|1
"S030948"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712114856"|"AA00032"|""|83|1
"S011487"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115042"|"AA00032"|""|84|1
"S007381"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115254"|"AA00032"|""|86|1
"S012645"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115310"|"AA00032"|""|87|1
"S030557"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115752"|"AA00032"|""|90|1
"S011140"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120209"|"AA00032"|""|97|1
"S030198"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120240"|"AA00032"|""|99|1
"S010920"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120403"|"AA00032"|""|101|1
"S030171"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120425"|"AA00032"|""|102|1
"S008533"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120645"|"AA00032"|""|105|1
"S008413"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120701"|"AA00032"|""|107|1
"S031096"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120845"|"AA00032"|""|113|1
"S011679"|"N"|""|"CX253"|""|"London Heathrow T3"|"20140106"|"2010"|""|""|"20131213165807"|"AA00002"|"Mother will send student to school on the next day, 7 Jan 2014, brother of LEI Chi Kit Jacky"|4|1
"S010882"|"Y"|"School"|""|""|""|"20140901"|""|"family acknowledged confirmation"|""|"20140830112406"|"AA00032"|"[28Aug14] ask sch for the fee
[15Aug14] stu will be back next week
[11Aug14] ask p & stu to send itin
[7Aug14] will send itin tdy"|88|1
"S012279"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711120118"|"AA00032"|""|10|1
"S030563"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711122948"|"AA00032"|""|13|1
"S030266"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711123637"|"AA00032"|""|16|1
"S009208"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140112"|"0450"|"Central City Cars (tel 01902 42346)"|"Angus should look for the driver inside the terminal once he has his luggage and has cleared customs.  The driver will be carrying a sign with either the School’s name or Angus’ name on it."|"20140113172427"|"AA00003"|"to be billed on sch bill"|6|1
"S011778"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711124127"|"AA00032"|""|19|1
"S030588"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711130538"|"AA00032"|""|22|1
"S030215"|"Y"|"School"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140902"|"0540"|"family acknowledged confirmation"|""|"20140830112503"|"AA00032"|"[30Aug14] will share taxi
[16Aug14] give sch contact no.
[7aug14] asking student phone no. [4Aug14] req to sch"|312|1
"S030334"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711132040"|"AA00032"|""|25|1
"S012595"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711132701"|"AA00032"|""|27|1
"S008018"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711144954"|"AA00032"|""|29|1
"S030399"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711150157"|"AA00032"|""|31|1
"S006269"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711150650"|"AA00032"|""|33|1
"S007806"|"N"|""|""|""|""|"20140711"|""|""|""|"20140711150858"|"AA00032"|""|36|1
"S010012"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102638"|"AA00032"|""|39|1
"S012334"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102847"|"AA00032"|""|42|1
"S006610"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712102957"|"AA00032"|""|44|1
"S030647"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103231"|"AA00032"|""|47|1
"S012282"|"N"|""|""|""|""|"20140714"|""|"itin requested"|""|"20140811153101"|"AA00032"|"[4Aug14]will reply and send us asap"|305|1
"S030393"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103507"|"AA00032"|""|52|1
"S012152"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103815"|"AA00032"|""|54|1
"S012113"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712103837"|"AA00032"|""|56|1
"S030989"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104236"|"AA00032"|""|60|1
"S012490"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712104657"|"AA00032"|""|63|1
"S030460"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712105224"|"AA00032"|""|67|1
"S011704"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712105250"|"AA00032"|""|68|1
"S011685"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712105258"|"AA00032"|""|69|1
"S012251"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712105645"|"AA00032"|""|71|1
"S031128"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712111746"|"AA00032"|""|73|1
"S030745"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113053"|"AA00032"|""|77|1
"S031193"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113107"|"AA00032"|""|78|1
"S009290"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113159"|"AA00032"|""|80|1
"S012075"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712113219"|"AA00032"|""|82|1
"S011828"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115213"|"AA00032"|""|85|1
"S012432"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115741"|"AA00032"|""|89|1
"S030452"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712115802"|"AA00032"|""|91|1
"S030744"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120033"|"AA00032"|""|92|1
"S011770"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120115"|"AA00032"|""|93|1
"S011126"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120123"|"AA00032"|""|94|1
"S010220"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120130"|"AA00032"|""|95|1
"S010864"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120152"|"AA00032"|""|96|1
"S030897"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120232"|"AA00032"|""|98|1
"S030304"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120250"|"AA00032"|""|100|1
"S012027"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120614"|"AA00032"|""|104|1
"S031484"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120654"|"AA00032"|""|106|1
"S030440"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120711"|"AA00032"|""|108|1
"S030527"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120733"|"AA00032"|""|109|1
"S030564"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120754"|"AA00032"|""|110|1
"S031058"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120838"|"AA00032"|""|112|1
"S030580"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120925"|"AA00032"|""|114|1
"S030598"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120938"|"AA00032"|""|115|1
"S012464"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712120948"|"AA00032"|""|116|1
"S011360"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712121043"|"AA00032"|""|117|1
"S030708"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712121052"|"AA00032"|""|118|1
"S030973"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712121101"|"AA00032"|""|119|1
"S030354"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712121130"|"AA00032"|""|120|1
"S011044"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712121235"|"AA00032"|""|121|1
"S030645"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122026"|"AA00032"|""|122|1
"S010184"|"N"|""|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140830"|"1505"|""|""|"20140724120716"|"AA00032"|""|126|1
"S006369"|"N"|""|""|""|""|"20140726"|""|""|""|"20140726105851"|"AA00003"|""|5|2
"S031131"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122154"|"AA00032"|""|124|1
"S011732"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122213"|"AA00032"|""|125|1
"S031276"|"Y"|"WHG"|"British Airways BA26"|""|"London Heathrow T5"|"20140829"|"0455"|"confirmation emailed family"|""|"20140830115532"|"AA00032"|"[28Aug14] req to whg
[19Aug14] chase
[16Aug14] ask ag for the cost
[7Aug14] ask how much, frm airport to hotel, hotel to ashford"|295|1
"S007899"|"Y"|"School"|"British Airways BA0028"|""|"London Heathrow T5"|"20140902"|"0535"|"family acknowledged confirmation"|"[23Aug] req to school"|"20140830133713"|"AA00032"|"[30Aug14] waiting for driver details
[28Aug14] req to sch"|364|1
"S012616"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122330"|"AA00032"|""|127|1
"S011053"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122415"|"AA00032"|""|128|1
"S009138"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122435"|"AA00032"|""|129|1
"S009205"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122444"|"AA00032"|""|130|1
"S011645"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122806"|"AA00032"|""|131|1
"S012218"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712122818"|"AA00032"|""|132|1
"S030462"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123042"|"AA00032"|""|133|1
"S011448"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123110"|"AA00032"|""|134|1
"S011204"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123216"|"AA00032"|""|135|1
"S011942"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123255"|"AA00032"|""|136|1
"S030893"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123307"|"AA00032"|""|137|1
"S030474"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123315"|"AA00032"|""|138|1
"S030540"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712123335"|"AA00032"|""|139|1
"S031492"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712140925"|"AA00032"|""|140|1
"S009308"|"N"|""|""|""|""|"20140714"|""|""|""|"20140807134423"|"AA00032"|"email to Mr Ng, ask him to arrange with guardian"|244|1
"S012319"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141232"|"AA00032"|""|142|1
"S031220"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141257"|"AA00032"|""|143|1
"S007275"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141325"|"AA00032"|""|144|1
"S012577"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141354"|"AA00032"|""|145|1
"S009765"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141401"|"AA00032"|""|146|1
"S031234"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141440"|"AA00032"|""|147|1
"S012417"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141451"|"AA00032"|""|148|1
"S030428"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141501"|"AA00032"|""|149|1
"S012649"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141733"|"AA00032"|""|150|1
"S031179"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141809"|"AA00032"|""|151|1
"S030182"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141855"|"AA00032"|""|152|1
"S030486"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141905"|"AA00032"|""|153|1
"S030552"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141913"|"AA00032"|""|154|1
"S012347"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712141922"|"AA00032"|""|155|1
"S030510"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712142937"|"AA00032"|""|156|1
"S012611"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143155"|"AA00032"|""|157|1
"S010098"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143304"|"AA00032"|""|158|1
"S030797"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143400"|"AA00032"|""|159|1
"S030636"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143407"|"AA00032"|""|160|1
"S031142"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143656"|"AA00032"|""|161|1
"S030592"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712143936"|"AA00032"|""|162|1
"S012010"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712144006"|"AA00032"|""|163|1
"S012371"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712144142"|"AA00032"|""|164|1
"S011692"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145038"|"AA00032"|""|166|1
"S012163"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145047"|"AA00032"|""|167|1
"S011376"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145142"|"AA00032"|""|168|1
"S011940"|"N"|""|"Cathay Pacific CX239"|"160"|"London Heathrow T3"|"20140830"|"1810"|"confirmation emailed family"|""|"20140830174841"|"AA00032"|"will arrive a day earlier, frm host family to sch on 31Aug
[4Aug14] req to q"|352|1
"S011783"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145505"|"AA00032"|""|170|1
"S030450"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145525"|"AA00032"|""|171|1
"S031531"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145536"|"AA00032"|""|172|1
"S012246"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712145602"|"AA00032"|""|173|1
"S011515"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712150719"|"AA00032"|""|174|1
"S010136"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712150728"|"AA00032"|""|175|1
"S031245"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712150750"|"AA00032"|""|176|1
"S030653"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712150937"|"AA00032"|""|177|1
"S012368"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712150950"|"AA00032"|""|178|1
"S009938"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712173458"|"AA00032"|""|179|1
"S009860"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712173632"|"AA00032"|""|180|1
"S030759"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712173852"|"AA00032"|""|181|1
"S030458"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174010"|"AA00032"|""|182|1
"S012146"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174019"|"AA00032"|""|183|1
"S012667"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174026"|"AA00032"|""|184|1
"S030726"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174034"|"AA00032"|""|185|1
"S030282"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174056"|"AA00032"|""|186|1
"S010861"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174118"|"AA00032"|""|187|1
"S009338"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174146"|"AA00032"|""|188|1
"S030898"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174209"|"AA00032"|""|189|1
"S007599"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174226"|"AA00032"|""|190|1
"S031334"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174646"|"AA00032"|""|191|1
"S009585"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174736"|"AA00032"|""|192|1
"S030521"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174754"|"AA00032"|""|193|1
"S010169"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712174803"|"AA00032"|""|194|1
"S031517"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140831"|"0455"|"confirmation emailed family"|""|"20140830193532"|"AA00032"|"[28Aug14] ask sch for driver details
[13Aug14] fwd to house staff (Mrs Jayne Bloye)/ chase
travel as UM/ [4Aug14] req to sch"|75|1
"S031050"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712175034"|"AA00032"|""|196|1
"S012373"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712175055"|"AA00032"|""|197|1
"S031157"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712175122"|"AA00032"|""|198|1
"S006369"|"N"|""|"British Airways"|""|""|"20131213"|""|""|""|"20140726113106"|"AA00003"|""|5|1
"S012508"|"N"|""|""|""|""|"20140712"|""|""|""|"20140712175218"|"AA00032"|""|200|1
"S030678"|"N"|""|"Emirate EK0381"|""|"Dubai T3"|"20140831"|"0435"|""|""|"20140901100758"|"AA00032"|""|34|1
"S030363"|"N"|""|""|""|""|"20140714"|""|""|""|"20140714102416"|"AA00032"|""|202|1
"S030268"|"N"|""|""|""|""|"20140714"|""|""|""|"20140714102424"|"AA00032"|""|203|1
